Ano;Mes;MDQI
2008;01;0,0009211899660453569
2008;02;6,625249791798747e-05
2008;03;0,00101372282520993
2008;04;2,5790037160263953e-05
2008;05;0,0002615882443490211
2008;06;9,538780867494888e-06
2008;07;0,00013484212093691698
2008;08;0,0012797283114517118
2008;09;9,524649340283783e-06
2008;10;0,003003396270961659
2008;11;9,397465595383853e-06
2008;12;1,0557618393843803e-05
2009;01;0,00046945845106718915
2009;02;0,0001994665065847264
2009;03;0,00043645905575068005
2009;04;5,584779553828119e-05
2009;05;1,954253456580673e-05
2009;06;8,054970510329014e-06
2009;07;0,0006235148904540421
2009;08;1,388080656703557e-05
2009;09;0,003059164747605271
2009;10;7,925051631130162e-05
2009;11;0,0009096322750515236
2009;12;9,518267360252963e-06
2010;01;0,0004918181739608869
2010;02;6,955739572265318e-05
2010;03;0,00027057316052098396
2010;04;0,00032783729977039095
2010;05;0,0010245676327051605
2010;06;4,095316585777805e-05
2010;07;0,0006822929265379031
2010;08;0,0032540303024434928
2010;09;0,0015682462322522148
2010;10;0,00011672185620655036
2010;11;7,71581385726253e-06
2010;12;0,00024188160172527898
2011;01;0,0004628941287497733
2011;02;0,0011054841388546098
2011;03;0,00011244137102873543
2011;04;0,0035100028602211065
2011;05;0,00047187904492173633
2011;06;0,0002432742409391474
2011;07;0,001698504723959853
2011;08;0,00018806783439396369
2011;09;0,0003392838368113848
2011;10;0,00118071644983069
2011;11;0,00021672110130948382
2011;12;7,795132751931305e-06
2012;01;0,002466708218826936
2012;02;0,0002946569611727616
2012;03;4,74956071008025e-05
2012;04;0,0007491970466238651
2012;05;2,9922369230220528e-05
2012;06;0,0004532404722417237
2012;07;0,00010435770247267637
2012;08;0,00020498464003280411
2012;09;0,0009552347133617548
2012;10;0,00014262357801735366
2012;11;0,000328261245586724
2012;12;1,217134763020853e-05
2013;01;0,0008156033722674233
2013;02;0,001429469588065174
2013;03;0,0009751574315951117
2013;04;0,0006761229194152486
2013;05;0,00022690674143867407
2013;06;3,63462879869583e-05
2013;07;2,1334047531601474e-05
2013;08;0,0017772902674403378
2013;09;0,00041476032364588875
2013;10;0,0008761455699740895
2013;11;6,557028625952041e-06
2013;12;0,0006960369763899926
2014;01;0,000722690860133
2014;02;0,000583198034054235
2014;03;5,7533549977850885e-05
2014;04;0,00016360069052294565
2014;05;0,0002867104528846313
2014;06;0,0001934606075200074
2014;07;3,2479719799713776e-05
2014;08;0,0006191386755757649
2014;09;0,00014944090025741991
2014;10;0,0009077637224696425
2014;11;2,3119178517365387e-05
2014;12;7,487430143302439e-05
2015;01;0,0004840503925519448
2015;02;7,2222197996746994e-06
2015;03;0,0030154445375484163
2015;04;0,00011685359850861515
2015;05;0,0028333392959261055
2015;06;0,0008322197689890982
2015;07;0,0006119179210266075
2015;08;0,0019761618823150484
2015;09;0,0010311210144853804
2015;10;0,003108767319827678
2015;11;0,0005574180908419791
2015;12;0,00031588066018264796
2016;01;0,00046257958830539715
2016;02;9,8530855244315e-06
2016;03;0,0001482853060161248
2016;04;0,0004661566881126723
2016;05;0,0011650031032833755
2016;06;0,0019107803203221537
2016;07;0,0010891988561887171
2016;08;1,8571561889688974e-05
2016;09;0,0028871134038100854
2016;10;2,4643560033298623e-05
2016;11;0,0013853984016677463
2016;12;1,4154319996927899e-05
2017;01;0,0015380207189705309
2017;02;0,00021041339319932768
2017;03;0,001983587771936625
2017;04;1,1291090241671727e-05
2017;05;2,1293020517117618e-05
2017;06;7,334262622562736e-06
2017;07;6,75167901689208e-05
2017;08;0,0014826616007603236
2017;09;0,0007588347481818376
2017;10;3,407977336458388e-05
2017;11;1,15878523131049e-05
2017;12;7,951035406969933e-05
