Ano;Mes;MDQI
2008;01;0,0738098879790176
2008;02;0,04002034878963427
2008;03;0,05097574919754302
2008;04;0,034238032692795885
2008;05;0,021860991469984246
2008;06;0,02532423912416959
2008;07;0,022650294554337837
2008;08;0,026491415608213078
2008;09;0,028634954973516355
2008;10;0,033886744506882935
2008;11;0,08072799969095264
2008;12;0,08560504461238697
2009;01;0,062304113245523846
2009;02;0,0559307780775397
2009;03;0,09160311455019268
2009;04;0,053240275738923655
2009;05;0,02888237385244112
2009;06;0,02763290671716075
2009;07;0,021715314527097206
2009;08;0,02498974490498119
2009;09;0,02374851148319432
2009;10;0,028507512497488396
2009;11;0,05748807755780636
2009;12;0,06465617720941692
2010;01;0,08296561761069915
2010;02;0,05631323294725191
2010;03;0,0446059396909028
2010;04;0,03369723046961709
2010;05;0,039352693338656604
2010;06;0,025078769263849998
2010;07;0,018145846183108817
2010;08;0,024943533185938473
2010;09;0,027455766574402133
2010;10;0,030023153035529885
2010;11;0,05035545556483515
2010;12;0,10223318607829676
2011;01;0,09737359094559275
2011;02;0,061949815981918295
2011;03;0,04220624350044163
2011;04;0,03151331622126646
2011;05;0,03776501790374029
2011;06;0,031113501527045527
2011;07;0,030248687982785124
2011;08;0,024540692600772403
2011;09;0,025017000670828994
2011;10;0,031988829947559666
2011;11;0,03472977466931727
2011;12;0,0386453396257539
2012;01;0,07194408553095401
2012;02;0,06198630866904492
2012;03;0,07496980834355876
2012;04;0,04011018805695465
2012;05;0,025527922282738064
2012;06;0,03310903383046627
2012;07;0,024381382088126048
2012;08;0,0245084161010194
2012;09;0,026104599041707904
2012;10;0,03153147486365342
2012;11;0,06671929874046847
2012;12;0,042481142661569334
2013;01;0,06462521737062962
2013;02;0,06895790070644653
2013;03;0,06492180809005448
2013;04;0,03905146067801558
2013;05;0,05377140737486223
2013;06;0,02758418883447856
2013;07;0,037283773166041076
2013;08;0,02374790323905925
2013;09;0,02855429504293755
2013;10;0,025636886994252907
2013;11;0,056695014403814505
2013;12;0,055820345181223384
2014;01;0,07110165256865553
2014;02;0,03937830476134413
2014;03;0,15214628684856707
2014;04;0,030732470862270753
2014;05;0,02841556378653277
2014;06;0,028666513778157134
2014;07;0,020949614282229
2014;08;0,02386978942963869
2014;09;0,030642250289936293
2014;10;0,033469098369355826
2014;11;0,09188201360707735
2014;12;0,0498697573740034
2015;01;0,06835833305739819
2015;02;0,06196568772761365
2015;03;0,05493148223774818
2015;04;0,04385886407925349
2015;05;0,036713655553581484
2015;06;0,02625227033304759
2015;07;0,01970663030415095
2015;08;0,02447762806862133
2015;09;0,032186424236180865
2015;10;0,036533902103907556
2015;11;0,034203688987162674
2015;12;0,04671510438872855
2016;01;0,03903657452094395
2016;02;0,04831133823639424
2016;03;0,04667699613560248
2016;04;0,05247066196227905
2016;05;0,02823513780675829
2016;06;0,028554213284376306
2016;07;0,02558252579281508
2016;08;0,023631723664186095
2016;09;0,019162510265809344
2016;10;0,040347963711383474
2016;11;0,04347681143246314
2016;12;0,08219041590811738
2017;01;0,0651849008763819
2017;02;0,04565430726876241
2017;03;0,04697403191171152
2017;04;0,049104769303911694
2017;05;0,030340315263913273
2017;06;0,026040341922478994
2017;07;0,02589881768812714
2017;08;0,02302972021284074
2017;09;0,027108399997220207
2017;10;0,027833518654936634
2017;11;0,04284439874140871
2017;12;0,05389070729159903
