Ano;Mes;MDQI
2008;01;0,00019519884230942243
2008;02;8,108898682154895e-06
2008;03;8,07036120681808e-06
2008;04;0,00013898955411742245
2008;05;4,500017584684101e-06
2008;06;0,00012741049788102246
2008;07;0,00013165765733475767
2008;08;0,003208799352187359
2008;09;0,003724920050346922
2008;10;8,703330713235183e-06
2008;11;1,1982739132549841e-05
2008;12;1,4181754203668282e-05
2009;01;0,0004646292881557678
2009;02;1,0314718485709977e-05
2009;03;8,065416132549197e-06
2009;04;0,00020814707711099584
2009;05;0,0033624922604642616
2009;06;4,527380328971923e-06
2009;07;3,220232363897018e-05
2009;08;0,0015000190484260835
2009;09;0,0031437853069236814
2009;10;1,3831372730067505e-05
2009;11;1,080234990456732e-05
2009;12;1,0250080726813318e-05
2010;01;0,0004622853229523169
2010;02;9,920525422561821e-06
2010;03;7,931899127289338e-06
2010;04;0,0022313444336931935
2010;05;0,003351489470215996
2010;06;4,476281228193458e-06
2010;07;8,785913453525539e-05
2010;08;0,002152630389839194
2010;09;1,6382371709575602e-05
2010;10;1,0691250569326403e-05
2010;11;1,4389506779215501e-05
2010;12;1,461763953882e-05
2011;01;0,0004954354596908933
2011;02;0,0001713946703516355
2011;03;5,152767388176739e-06
2011;04;3,832432558384811e-06
2011;05;0,0009628306855229864
2011;06;0,004500650389354708
2011;07;0,0011194560228413376
2011;08;0,0003318243735906291
2011;09;0,0009745058410360116
2011;10;0,0002313107940013005
2011;11;7,296951591164679e-06
2011;12;1,2379324549291448e-05
2012;01;0,0005454883401446704
2012;02;1,1794561139683062e-05
2012;03;1,8642929993691278e-05
2012;04;0,002770649453219182
2012;05;4,658259961288377e-06
2012;06;0,003891906801780865
2012;07;0,0012117607791443197
2012;08;0,004275382640945792
2012;09;0,0028655762527353343
2012;10;0,0001220741034016612
2012;11;0,00012842736998651394
2012;12;1,1453351073004447e-05
2013;01;0,0005289294650339229
2013;02;1,0818409621954837e-05
2013;03;0,0013243205596526484
2013;04;1,8589852863205254e-05
2013;05;0,001520061434437869
2013;06;0,0021284308447253666
2013;07;7,396842091396129e-05
2013;08;0,006222827064146197
2013;09;0,005242297628143259
2013;10;8,278054326111192e-06
2013;11;1,4599013092407206e-05
2013;12;7,441954746052047e-05
2014;01;0,0005054007358336017
2014;02;0,0012086123563231983
2014;03;0,001859684190150528
2014;04;0,00011558616596088588
2014;05;7,259369026721165e-06
2014;06;0,003400655376626944
2014;07;0,0021851442531571038
2014;08;7,422556477594323e-06
2014;09;3,108358300353973e-05
2014;10;0,001288261078083949
2014;11;0,0019518732317156172
2014;12;0,00010469937530808735
2015;01;0,000460960043048256
2015;02;1,4448270745110738e-05
2015;03;0,0018888947438568228
2015;04;0,0012069403207470115
2015;05;0,003220637859987066
2015;06;0,0015205252824042905
2015;07;0,0025944035447241815
2015;08;5,518702884074127e-06
2015;09;7,460468713655766e-06
2015;10;9,697290641280793e-06
2015;11;1,0797239994489473e-05
2015;12;1,2805173313787072e-05
2016;01;0,0005118804083495422
2016;02;9,959038537926872e-06
2016;03;6,616509371766292e-06
2016;04;4,1543568932891345e-06
2016;05;1,089399861435063e-05
2016;06;0,0019291392417792785
2016;07;0,002698853403431541
2016;08;0,0013972010642274554
2016;09;0,002186770688084139
2016;10;0,001595740851048864
2016;11;9,744598518453112e-06
2016;12;1,244864876676748e-05
2017;01;0,00045710783019279564
2017;02;5,753576250866566e-05
2017;03;0,0020926219135862906
2017;04;0,0036591759472853497
2017;05;2,1471512475492708e-05
2017;06;0,00045131747789555095
2017;07;0,0021727222265936676
2017;08;0,002886222267479542
2017;09;0,000984740990921938
2017;10;0,0030886785531219073
2017;11;1,3873405861353014e-05
2017;12;1,2067365570649305e-05
