Ano;Mes;MDQI
2008;01;0,004467403712774634
2008;02;8,819880998158697e-05
2008;03;0,00048481013624708183
2008;04;4,559061771454571e-05
2008;05;1,5171487856934969e-05
2008;06;1,844677538102555e-06
2008;07;0,00016563526263625706
2008;08;0,0008955826205404382
2008;09;7,83655809538526e-05
2008;10;0,0012334696551847186
2008;11;0,0024570696014719817
2008;12;0,002535226246937052
2009;01;0,0022215498899246255
2009;02;0,0035215620539595987
2009;03;0,00016120447609133733
2009;04;0,00010621459087811557
2009;05;8,403164705113946e-05
2009;06;0,00012657758253833352
2009;07;7,467062146014276e-07
2009;08;7,170357689881259e-07
2009;09;8,758385873428753e-06
2009;10;0,0001564126991247891
2009;11;6,205474798536685e-05
2009;12;0,010800178295945274
2010;01;0,005647531958927083
2010;02;0,0009710891361618175
2010;03;0,00029469181090558197
2010;04;1,0781910264255936e-06
2010;05;1,0631909678099797e-06
2010;06;1,5002695988557073e-05
2010;07;8,406626257102166e-07
2010;08;5,807000713950043e-05
2010;09;0,0006902057740348709
2010;10;0,0007153148831425542
2010;11;0,0007223726579749139
2010;12;0,004103941861117866
2011;01;0,005752389559522413
2011;02;0,0024864049047005083
2011;03;4,9287555237963094e-05
2011;04;6,847279504314195e-07
2011;05;6,082441350726861e-07
2011;06;0,0008984499394373458
2011;07;4,326939985273174e-06
2011;08;0,00016786549113152359
2011;09;5,175827917850632e-05
2011;10;0,00038443501873728205
2011;11;0,0026429170310032554
2011;12;0,0021132200247815265
2012;01;0,004586039338693145
2012;02;6,857054984463118e-06
2012;03;0,0010170089192128758
2012;04;4,419561226329364e-05
2012;05;7,081346353041354e-06
2012;06;7,128324558595747e-06
2012;07;3,193034455418157e-05
2012;08;9,939599280456092e-07
2012;09;1,0730811163477469e-06
2012;10;1,9112712049235217e-05
2012;11;0,002950671585261711
2012;12;0,0046026279156967395
2013;01;0,0013325375080764092
2013;02;7,333633445652076e-05
2013;03;0,00010899438196046401
2013;04;9,248937240902007e-07
2013;05;2,188195363981005e-05
2013;06;5,493153333684894e-06
2013;07;1,3010490401432823e-05
2013;08;7,912118830213803e-07
2013;09;0,00017539255351200033
2013;10;0,0003277793028386823
2013;11;0,002592625296017091
2013;12;0,002473988204256617
2014;01;0,0014590555205637402
2014;02;0,0005265379091964891
2014;03;0,0007793931555187483
2014;04;9,708829147908185e-07
2014;05;1,790116885335873e-06
2014;06;2,6009442296238247e-06
2014;07;2,5561088895859472e-05
2014;08;5,3040866608045775e-05
2014;09;4,4844570843180125e-05
2014;10;2,8557803902802943e-05
2014;11;0,0003330383893236401
2014;12;0,00037388531176752
2015;01;0,0013869301449709842
2015;02;0,0012465096394219692
2015;03;0,0002064568507258914
2015;04;8,635748031560441e-07
2015;05;8,604429227857511e-07
2015;06;8,073657922997334e-07
2015;07;9,890148537767254e-06
2015;08;9,578608858827585e-06
2015;09;9,393036705097278e-05
2015;10;0,0009479707373449913
2015;11;0,0031833871100269925
2015;12;0,0009498754761267722
2016;01;0,001646694762664785
2016;02;0,0051047473066298315
2016;03;0,0007367072744297448
2016;04;0,0002353164689949052
2016;05;3,224188423312125e-06
2016;06;0,0007906308367947862
2016;07;3,8853448530618654e-05
2016;08;3,6593549589738845e-06
2016;09;7,920360620661942e-07
2016;10;0,0029948358787213023
2016;11;0,0009191041959720009
2016;12;0,0032514543515204967
2017;01;0,0030759944376222204
2017;02;0,0019768672618806723
2017;03;6,590300478141209e-05
2017;04;4,708271145727685e-05
2017;05;1,1136307253525929e-05
2017;06;2,7644613521149097e-06
2017;07;1,2362685672209068e-06
2017;08;1,1175867847676997e-06
2017;09;6,346508316685247e-06
2017;10;0,00010978064876921651
2017;11;0,002722314813792833
2017;12;0,006230736873500274
