Ano;Mes;MDQI
2008;01;0,00043058192431324864
2008;02;4,21221192073762e-05
2008;03;0,0004837637270250987
2008;04;6,0110744861780556e-06
2008;05;7,104341917767818e-05
2008;06;1,0045401983625187e-05
2008;07;6,63356370459842e-05
2008;08;0,0003245027287784418
2008;09;9,745583109497967e-05
2008;10;0,0060375385746565206
2008;11;8,509565103904876e-06
2008;12;0,00017489908420979152
2009;01;0,0011288507737744846
2009;02;0,0009312493905992422
2009;03;0,0008841741090870776
2009;04;0,003817664269879314
2009;05;1,8589339112157237e-05
2009;06;0,0002989370539091972
2009;07;0,002304324235850156
2009;08;0,0003638859575478093
2009;09;7,1647892714224985e-06
2009;10;0,0003439454422951357
2009;11;0,00020445736605003917
2009;12;8,974654154377365e-06
2010;01;0,00046550151476801386
2010;02;1,8998501661475263e-05
2010;03;3,0415686068361325e-05
2010;04;1,7188145749597154e-05
2010;05;0,00022258849051664937
2010;06;4,482586108274589e-05
2010;07;5,8797496472576896e-05
2010;08;0,0031195528045040418
2010;09;2,470566310822815e-05
2010;10;0,00022798608362534383
2010;11;6,655538095515238e-05
2010;12;1,3760662273153883e-05
2011;01;0,00045828338959630783
2011;02;0,00014740569751601324
2011;03;0,0018441634225638676
2011;04;0,001745011983936763
2011;05;0,00018490489910298402
2011;06;0,0001279741591403311
2011;07;8,483252726431662e-05
2011;08;0,0003899067654328068
2011;09;0,0020512387516482687
2011;10;0,0011368724931771293
2011;11;0,0007639502488790596
2011;12;0,00038993521124629135
2012;01;0,0005155163663272341
2012;02;6,441088540770592e-05
2012;03;5,962953651700017e-05
2012;04;0,000317080504894984
2012;05;1,672613832891883e-05
2012;06;4,053433602170924e-05
2012;07;0,0004516839608678908
2012;08;0,00017602980529580263
2012;09;1,831246652757423e-05
2012;10;0,0025281216734398993
2012;11;0,0017048009819949949
2012;12;8,619081485820416e-06
2013;01;0,0006278062150575183
2013;02;0,0002095110357280799
2013;03;0,0009447139116355839
2013;04;0,00020029076551988885
2013;05;0,0010809693582266061
2013;06;1,2022148972356113e-05
2013;07;0,0002220053513402159
2013;08;6,109449591145477e-05
2013;09;4,987428183091744e-05
2013;10;5,736809434497797e-05
2013;11;9,273809292856609e-06
2013;12;1,2999736762442015e-05
2014;01;0,0012527536258598387
2014;02;0,0003288165871894702
2014;03;0,0025022715404358093
2014;04;0,00029974538910905
2014;05;0,00023344056836100742
2014;06;0,00020642676453695328
2014;07;1,733061186546564e-05
2014;08;0,00040655467777464305
2014;09;7,510903706995834e-05
2014;10;0,0009353552389991649
2014;11;3,644122050972736e-05
2014;12;0,00012163429845996073
2015;01;0,0005453702475792755
2015;02;7,404140473456833e-05
2015;03;0,002248513549793458
2015;04;0,00027574518217523885
2015;05;0,00045377472815900564
2015;06;3,068734358713882e-05
2015;07;0,00041113445374565656
2015;08;3,480345279835406e-05
2015;09;1,6570871596982294e-05
2015;10;0,003885506112749305
2015;11;9,450173336460856e-06
2015;12;5,8989505713597654e-05
2016;01;0,0004804355668474056
2016;02;0,0010277766679006068
2016;03;0,000574719215641966
2016;04;0,0012338061065462216
2016;05;0,002567597351103092
2016;06;9,458991538641069e-05
2016;07;0,0007766062653952299
2016;08;0,0005939841428243815
2016;09;0,000145691397020741
2016;10;4,938904366256007e-05
2016;11;2,818885296941201e-05
2016;12;1,5801649390670764e-05
2017;01;0,0005274778308974899
2017;02;0,0009960553032289988
2017;03;0,0013092896801603937
2017;04;0,0006536712821136878
2017;05;1,7927973948641313e-05
2017;06;6,356454071569705e-06
2017;07;0,002097352496936528
2017;08;0,00015638797108471684
2017;09;0,000967547840216528
2017;10;0,0004275761339397299
2017;11;6,687136653327667e-06
2017;12;0,0002020932819010269
