Ano;Mes;MDQI
2008;01;2,0173363578699948e-05
2008;02;0,0003399183775800651
2008;03;0,0027008066834772236
2008;04;2,6720725374293202e-05
2008;05;0,001242046071361707
2008;06;6,091350769215775e-06
2008;07;4,17692624174796e-06
2008;08;4,7944825409311266e-06
2008;09;5,847696738447144e-06
2008;10;6,189598362267643e-06
2008;11;9,19793966151582e-06
2008;12;1,1455669349847733e-05
2009;01;0,0006001552469166369
2009;02;0,002521710444334452
2009;03;6,779083920578848e-06
2009;04;4,1827275281948325e-06
2009;05;0,0013807716727509435
2009;06;4,974603128192883e-06
2009;07;5,364318580631957e-06
2009;08;2,644825204956269e-05
2009;09;0,0032308118389869187
2009;10;0,0017091740772861154
2009;11;0,0014231628892170094
2009;12;0,0049603834265585095
2010;01;0,0004595629412594146
2010;02;8,332097659320149e-06
2010;03;6,091350769215775e-06
2010;04;3,61420145640136e-05
2010;05;0,004462916563899685
2010;06;4,933994123064778e-06
2010;07;4,263945538451043e-06
2010;08;0,00015055461159268154
2010;09;6,091350769215775e-06
2010;10;5,325019543411211e-06
2010;11;9,279157671772032e-06
2010;12;9,706862193524494e-06
2011;01;0,0004574211437308839
2011;02;7,897001175804736e-06
2011;03;5,639411841177187e-06
2011;04;3,6954194666575706e-06
2011;05;2,94742779155602e-06
2011;06;0,0026051692014807666
2011;07;0,002701121075774989
2011;08;3,5565628684775986e-06
2011;09;4,588817579475884e-06
2011;10;6,6218877716958595e-06
2011;11;6,659876841009248e-06
2011;12;1,0198100158783832e-05
2012;01;0,00045814817591946776
2012;02;8,06578860475468e-06
2012;03;2,770582124062659e-06
2012;04;0,004049184814831058
2012;05;4,951678689814114e-06
2012;06;3,559379299478418e-05
2012;07;0,0021677545426150116
2012;08;0,00019152385789531021
2012;09;5,969523753831459e-06
2012;10;7,722260813876774e-06
2012;11;0,0009440578467156248
2012;12;1,0551791493770553e-05
2013;01;0,0017730939613256602
2013;02;8,33209765932015e-06
2013;03;5,89485558311204e-06
2013;04;5,563433702550408e-06
2013;05;0,0001785748251310741
2013;06;0,0013953457207042574
2013;07;4,002606940933076e-05
2013;08;0,002612835788658581
2013;09;0,0002104155600712769
2013;10;8,311746372187977e-06
2013;11;1,3441580697402809e-05
2013;12;2,1083933468930735e-05
2014;01;0,0024595105949418365
2014;02;0,000243936843482916
2014;03;4,0870998709576825e-06
2014;04;3,0070968297361876e-05
2014;05;2,196816180639754e-05
2014;06;1,847709733328785e-05
2014;07;0,002434516407269442
2014;08;0,001893624108481691
2014;09;5,400997682037988e-06
2014;10;5,659061359787558e-06
2014;11;0,0028850667693262307
2014;12;0,004267443152763689
2015;01;0,0008842283374668062
2015;02;0,00044751848811977756
2015;03;4,75518350371038e-06
2015;04;4,649731087168041e-06
2015;05;0,0026493052951994337
2015;06;1,3238535671762285e-05
2015;07;3,595861905698345e-06
2015;08;7,584714183604159e-06
2015;09;0,0005425363085114851
2015;10;7,52576562777304e-06
2015;11;1,1350216933305395e-05
2015;12;1,8765290272906664e-05
2016;01;0,00045748009228671507
2016;02;0,00023397088351136044
2016;03;0,0033369794980066744
2016;04;5,5431291999863555e-06
2016;05;5,266070987580091e-06
2016;06;0,005239414450633256
2016;07;4,597987354827392e-06
2016;08;5,108874838697102e-06
2016;09;7,512665948699457e-06
2016;10;6,838032476409968e-06
2016;11;0,0004594908930245099
2016;12;9,471067970200013e-06
2017;01;0,0004567530600981312
2017;02;0,0019653960805116454
2017;03;7,663312258045653e-06
2017;04;4,466990564091568e-06
2017;05;3,8513056476332e-06
2017;06;3,53298344614515e-06
2017;07;4,30324457567179e-06
2017;08;4,106749389568055e-06
2017;09;5,116734646141251e-06
2017;10;9,078077597992544e-06
2017;11;3,520800744606718e-05
2017;12;0,0016437411803135714
