Ano;Mes;MDQI
2008;01;0,0046493354661954235
2008;02;4,5286042270445546e-05
2008;03;0,0001979688999995127
2008;04;0,00018442579678928957
2008;05;5,012592197506273e-05
2008;06;7,606066660494098e-05
2008;07;2,0702144139925567e-05
2008;08;4,662830766241625e-05
2008;09;7,39083893331514e-05
2008;10;0,002455246649403386
2008;11;0,0021020236279435433
2008;12;0,000991023471114186
2009;01;0,0005568280583807633
2009;02;0,0004853501273614427
2009;03;0,0004453956383413354
2009;04;6,198964632805254e-05
2009;05;1,795966000988135e-05
2009;06;7,5532749538275625e-06
2009;07;2,3009586292747335e-05
2009;08;8,488592039681339e-06
2009;09;7,36038217946906e-05
2009;10;0,00013288969436195573
2009;11;0,003449085241550484
2009;12;0,0004513494424802785
2010;01;0,0035021926504826945
2010;02;0,0035635054644637554
2010;03;7,447167553331545e-06
2010;04;2,255830234866242e-05
2010;05;0,0006981866952637901
2010;06;8,548195579466137e-06
2010;07;5,305370024800836e-06
2010;08;1,964951861037347e-06
2010;09;1,3015186143557704e-05
2010;10;7,779244417846855e-05
2010;11;0,0034625268222478866
2010;12;0,0004104587942520914
2011;01;0,0010757521953621164
2011;02;0,0004809121432295854
2011;03;2,165376950863156e-05
2011;04;8,32484605126156e-07
2011;05;6,28784595531951e-07
2011;06;2,5543064225578153e-05
2011;07;4,478125291304115e-05
2011;08;2,7450377498691736e-05
2011;09;1,8741055866620536e-05
2011;10;0,0005663187758695738
2011;11;0,0007758350429724492
2011;12;0,0017327731491371741
2012;01;0,0059261376167397545
2012;02;1,7013772838154405e-05
2012;03;0,0002954108627883548
2012;04;0,00043579553853226056
2012;05;1,913863112650376e-05
2012;06;4,791862605116411e-06
2012;07;7,091511266483785e-05
2012;08;3,3954368158725355e-05
2012;09;6,495410370240421e-05
2012;10;0,0005006500846737056
2012;11;0,00142486846743239
2012;12;0,0038452732454198157
2013;01;0,003525398731961546
2013;02;8,795475414264065e-05
2013;03;0,001353380243808083
2013;04;1,2142092533303448e-05
2013;05;0,0006170931319587787
2013;06;2,635524432814025e-05
2013;07;1,5719614888298778e-06
2013;08;7,0345276625137025e-06
2013;09;0,0005149018805218094
2013;10;0,0015292434353709255
2013;11;0,0006763632849111556
2013;12;0,00015112444763238234
2014;01;0,004809494773149452
2014;02;0,0010866752224039187
2014;03;4,3327188535873505e-05
2014;04;3,439582734350508e-05
2014;05;2,0239004168684676e-06
2014;06;7,106575897418404e-07
2014;07;0,00023247345467932853
2014;08;2,9769020694715807e-05
2014;09;0,00012125848931252202
2014;10;0,000523247031075635
2014;11;0,0014281781013503307
2014;12;0,0046476220388371944
2015;01;0,01106303266897525
2015;02;0,0016136423284136103
2015;03;4,892730133982994e-06
2015;04;2,527910569224547e-05
2015;05;3,108553844161083e-05
2015;06;1,7867962256366276e-06
2015;07;5,108874838697103e-07
2015;08;2,3068534848578448e-05
2015;09;1,861922885123622e-05
2015;10;0,000612475495085341
2015;11;8,091344271774956e-05
2015;12;0,0010418764252778327
2016;01;0,0007306477000081272
2016;02;0,0011488077504162703
2016;03;0,00012952962667958187
2016;04;4,670035589732095e-05
2016;05;8,863897845139471e-05
2016;06;0,00017126847912778356
2016;07;2,0081808019801685e-05
2016;08;2,1024984913099615e-06
2016;09;1,9208059425593745e-05
2016;10;0,00025004012431700237
2016;11;0,0007317742724084552
2016;12;0,0003289132920190415
2017;01;0,0007694162002263939
2017;02;0,0017441277638198824
2017;03;2,1948512287787163e-05
2017;04;2,6131894799935676e-05
2017;05;5,106909886836064e-05
2017;06;1,677151911790743e-05
2017;07;8,842283374668062e-07
2017;08;1,2163052019821178e-05
2017;09;4,075113664605354e-05
2017;10;0,000920265554598231
2017;11;0,002652803564496034
2017;12;0,005867208710427244
