Ano;Mes;MDQI
2008;01;7,7376657352464e-06
2008;02;5,513416770200493e-06
2008;03;4,895623526194791e-06
2008;04;0,0007868903826178028
2008;05;0,0001257334583606351
2008;06;3,1936937986540087e-06
2008;07;9,592949574207347e-05
2008;08;2,70001055081046e-06
2008;09;1,7710948329815675e-05
2008;10;5,325844987587667e-06
2008;11;6,637773191122491e-06
2008;12;9,380805888072241e-06
2009;01;0,00045555507687236623
2009;02;9,44420880459114e-06
2009;03;0,0031097495145816206
2009;04;2,9586379350730735e-06
2009;05;3,83243255838481e-06
2009;06;4,297434375468835e-06
2009;07;4,470347139070799e-06
2009;08;3,758256444351557e-06
2009;09;2,5064108931836664e-05
2009;10;5,266504096361062e-06
2009;11;9,008771467243228e-06
2009;12;0,0010770322306885849
2010;01;0,00046132597854415343
2010;02;6,761506013721772e-06
2010;03;5,167602610983389e-06
2010;04;0,0004183534479833638
2010;05;5,370350656007618e-06
2010;06;4,179906443678368e-06
2010;07;4,356610430886476e-06
2010;08;1,332203008037249e-05
2010;09;0,0004463659750301178
2010;10;1,0696195643595285e-05
2010;11;5,237657829792576e-06
2010;12;7,936844201558222e-06
2011;01;0,00045727101764366884
2011;02;5,1069901292305025e-05
2011;03;4,218148351357733e-06
2011;04;4,496720868504846e-06
2011;05;4,36155550515536e-06
2011;06;3,3112217304444755e-06
2011;07;3,2884743888076114e-06
2011;08;2,556603397012835e-06
2011;09;2,810450542815528e-06
2011;10;5,429691547234223e-06
2011;11;5,9990344313916915e-06
2011;12;0,0013204386763515745
2012;01;0,004363142873995671
2012;02;9,663016161003354e-06
2012;03;3,916498820955832e-06
2012;04;3,4440793924684833e-06
2012;05;5,899473602778168e-06
2012;06;2,7797910823484495e-06
2012;07;2,759351442037064e-06
2012;08;2,264844015148701e-06
2012;09;3,70468480643865e-06
2012;10;0,0013958708392491255
2012;11;0,003738614609355549
2012;12;1,0626964603830913e-05
2013;01;0,00045732046838635774
2013;02;0,0019987340270780844
2013;03;5,761011523249426e-06
2013;04;3,0608361366300026e-06
2013;05;3,595068993478397e-06
2013;06;3,960180310330971e-06
2013;07;0,0021736766259275618
2013;08;2,027480450242287e-06
2013;09;3,7302343568278824e-06
2013;10;3,53078302798291e-06
2013;11;8,942342636231226e-06
2013;12;1,0137402251211435e-05
2014;01;0,0004567814552910494
2014;02;0,00016055154967804938
2014;03;4,8214474121615365e-06
2014;04;4,690897451463008e-06
2014;05;6,745081302757268e-06
2014;06;3,377650561456479e-06
2014;07;3,6247394390916983e-06
2014;08;8,174207766464637e-06
2014;09;6,923928155481892e-06
2014;10;6,908268753630426e-06
2014;11;1,7225506872420262e-05
2014;12;0,007425676819457989
2015;01;0,0034044314353386643
2015;02;0,0014628121330172081
2015;03;0,0013878449837107273
2015;04;4,087928062277131e-06
2015;05;2,0744586557966813e-05
2015;06;3,3929802916900194e-06
2015;07;2,4230863917529767e-06
2015;08;2,828582481801435e-06
2015;09;8,206515585021341e-06
2015;10;0,0017641206299043519
2015;11;9,16206876957862e-06
2015;12;0,0027446250108643278
2016;01;0,0004555946374665173
2016;02;6,126605979542061e-06
2016;03;0,0037869230398882743
2016;04;3,6842451661272645e-06
2016;05;3,209353200505474e-06
2016;06;0,001324120778652185
2016;07;4,924224025086947e-06
2016;08;3,822542409847043e-06
2016;09;4,077708242121438e-06
2016;10;0,00618964067072772
2016;11;0,0024949800243395234
2016;12;4,542050715969611e-05
2017;01;0,00045672211439982285
2017;02;0,0005696418256710085
2017;03;0,0002702136932746081
2017;04;3,970400130486664e-06
2017;05;5,132492583674316e-05
2017;06;3,8171028281512716e-06
2017;07;2,9719896355990597e-06
2017;08;2,1115467128133084e-06
2017;09;0,00039421934268569516
2017;10;5,632439592258451e-06
2017;11;1,3234667101622214e-05
2017;12;0,0017373628330354224
