Ano;Mes;MDQI
2008;01;0,0020000717755857688
2008;02;0,0004143626082125657
2008;03;0,00030643636229418054
2008;04;0,00014101818841832751
2008;05;7,2875559500538e-05
2008;06;0,0005031268561748358
2008;07;0,000663114679160219
2008;08;0,00021173324497079024
2008;09;0,0002515864226827682
2008;10;0,0007925272727769034
2008;11;0,001422348580078627
2008;12;0,0018435583029596983
2009;01;0,013759209261261686
2009;02;0,0007944194701239323
2009;03;0,0008656154704710033
2009;04;0,000248065694639132
2009;05;3,4219913940674695e-06
2009;06;0,0009820225187605238
2009;07;9,067782686851906e-05
2009;08;5,5978240723762665e-05
2009;09;5,875374607507807e-05
2009;10;0,0003155798046173463
2009;11;0,00282674604605378
2009;12;0,001494371773611019
2010;01;0,0034125364120653648
2010;02;0,002995046044377729
2010;03;0,00015438027360027793
2010;04;0,0004956714973712578
2010;05;0,0002747582165277121
2010;06;0,001245182887769614
2010;07;9,454487494678608e-05
2010;08;0,0003017138163673967
2010;09;0,0008047392985197202
2010;10;0,002533831330004626
2010;11;0,0008942904726339785
2010;12;0,003063216365711425
2011;01;0,004926836834979985
2011;02;0,001524360999904868
2011;03;0,0003296831564322025
2011;04;3,2228202860977335e-05
2011;05;0,0001916067926964339
2011;06;0,0002499665811880909
2011;07;0,0003491024630861085
2011;08;2,8696265982331688e-05
2011;09;0,00031655892932258534
2011;10;0,00014585496556072255
2011;11;0,0035597473169906146
2011;12;0,004399563345985998
2012;01;0,0026776687052636433
2012;02;0,004473574737890158
2012;03;0,00016847868034086517
2012;04;0,0009479291987211325
2012;05;0,0005357542913651211
2012;06;3,074632893840188e-05
2012;07;0,0005035272423548065
2012;08;0,0013688608435924834
2012;09;0,0002829408309204338
2012;10;0,0009597301239563964
2012;11;0,0011860458984386977
2012;12;0,0032456055399706597
2013;01;0,0038596749725320905
2013;02;0,0012412154075877434
2013;03;0,0017466200120667727
2013;04;0,0006461634590739126
2013;05;0,00036782945934237074
2013;06;0,00025848480128786084
2013;07;4,272544168315454e-06
2013;08;9,684433448181696e-05
2013;09;0,00021175978353603326
2013;10;0,0005578834987183752
2013;11;0,0008443615412633413
2013;12;0,0006415492102736173
2014;01;0,0028074966851189148
2014;02;0,0024237015236700664
2014;03;0,0010992356141558725
2014;04;0,0004653135215987723
2014;05;0,0015137070140023533
2014;06;0,0003646534029752758
2014;07;0,0004703012883421773
2014;08;0,0005977754128454594
2014;09;0,00022850495886113592
2014;10;0,00021890854773494036
2014;11;0,0005142664601445408
2014;12;0,002172336510800695
2015;01;0,003909837805915645
2015;02;0,004789588064745071
2015;03;0,000592009456247941
2015;04;1,9305240274103747e-05
2015;05;0,0008447620922791212
2015;06;0,00014495792908834708
2015;07;0,0008251795981743421
2015;08;2,5318780256684166e-06
2015;09;0,0003717408482532487
2015;10;0,002149524883198335
2015;11;0,0022676861141668375
2015;12;0,009719993477249238
2016;01;0,0035023389607882903
2016;02;0,0018013913136293224
2016;03;0,001056683250072129
2016;04;0,0006132300886221922
2016;05;0,00027398183986749734
2016;06;0,001310962760201731
2016;07;0,00012144208038657433
2016;08;6,658542503051804e-05
2016;09;0,00021405413316098626
2016;10;0,0036059580470184783
2016;11;0,0008323941318610252
2016;12;0,0005312394385576303
2017;01;0,0033304135636820133
2017;02;0,0011287225621918393
2017;03;0,0002856719954391382
2017;04;0,000258745406701831
2017;05;0,0007170753295822769
2017;06;6,249420025206163e-06
2017;07;0,0005578785536441064
2017;08;7,516512888703113e-07
2017;09;0,00019032882066954534
2017;10;0,00013371975330488215
2017;11;0,0014618430750703022
2017;12;0,0018808095474271988
