Ano;Mes;MDQI
2008;01;6,513074607716846e-05
2008;02;7,36286427756866e-05
2008;03;0,0011511980602306837
2008;04;7,736443043126458e-05
2008;05;0,0013310046686303572
2008;06;3,872396223811949e-06
2008;07;3,923012747183517e-06
2008;08;0,005848211749249317
2008;09;6,0374831831477e-06
2008;10;9,640358029300403e-06
2008;11;1,4893610160430639e-05
2008;12;3,917718908959334e-05
2009;01;0,005443645487234728
2009;02;0,00015731943841066295
2009;03;0,0031514999093137652
2009;04;2,7063586991696893e-06
2009;05;0,0011700441243087721
2009;06;4,4971620086202705e-06
2009;07;3,8728605955859995e-06
2009;08;4,753309479186846e-06
2009;09;0,0031756067483457236
2009;10;0,003048384299398627
2009;11;0,0001966112012846797
2009;12;1,5906590748345668e-05
2010;01;0,0005701045832847694
2010;02;2,0442673745513896e-05
2010;03;7,570188660580693e-06
2010;04;0,0012395900200546936
2010;05;5,4387222176862396e-06
2010;06;3,6881335038684815e-06
2010;07;3,468857152161561e-06
2010;08;5,349562837068432e-06
2010;09;0,002824761892258362
2010;10;8,328043395832052e-06
2010;11;1,5334113225295495e-05
2010;12;1,2602121204198185e-05
2011;01;0,00046283191724832577
2011;02;8,658908284843446e-06
2011;03;4,600066793749991e-06
2011;04;5,1104113734321264e-06
2011;05;3,8115635214112584e-06
2011;06;3,4462886839426783e-06
2011;07;0,00031578580876440724
2011;08;0,0005617681811970044
2011;09;0,0004781473627283044
2011;10;0,0006083372401859428
2011;11;8,196811932485218e-06
2011;12;2,1545921572421973e-05
2012;01;0,00045880581396730286
2012;02;8,107162559581688e-06
2012;03;5,338417914491206e-06
2012;04;0,00317131400279204
2012;05;3,463284690872949e-06
2012;06;0,0032353798472323845
2012;07;4,605639255038604e-06
2012;08;0,004790700694433439
2012;09;0,002974006058097575
2012;10;6,138066109407165e-06
2012;11;1,14876289464756e-05
2012;12;1,2465595902627171e-05
2013;01;0,00046521971691049636
2013;02;1,4732791581194263e-05
2013;03;0,0009746875626832239
2013;04;4,243800768698002e-06
2013;05;5,129450616168221e-06
2013;06;0,0019054032048354222
2013;07;0,000784073165614285
2013;08;0,0040448573994896824
2013;09;0,0010548925552563587
2013;10;6,834623770483784e-06
2013;11;1,431203095060907e-05
2013;12;1,4858968026086433e-05
2014;01;0,00046058342911837037
2014;02;6,194188755242479e-06
2014;03;0,0014211782372026923
2014;04;4,039384313760718e-06
2014;05;4,449610338957441e-06
2014;06;0,004164890258882211
2014;07;3,9843098213582594e-06
2014;08;3,856143211720162e-06
2014;09;6,074911548136217e-06
2014;10;0,00014212841139671757
2014;11;1,2685336626108139e-05
2014;12;1,5282475084021016e-05
2015;01;0,0027174887618501456
2015;02;0,00011841758861366948
2015;03;6,792830310819189e-06
2015;04;4,174702248719202e-06
2015;05;0,0018604191395856751
2015;06;0,00128040997073217
2015;07;0,0016677262144560836
2015;08;3,923012747183517e-06
2015;09;0,0033560287422203694
2015;10;0,00010819212214906473
2015;11;9,94442866694905e-06
2015;12;0,000660985854440758
2016;01;0,0004598896576879379
2016;02;0,0004120029037580803
2016;03;0,003646540652810274
2016;04;0,0007591537688520916
2016;05;3,6137411456654976e-06
2016;06;0,0028693102839096956
2016;07;4,201635811614164e-06
2016;08;0,003790956559565966
2016;09;3,811935018830498e-06
2016;10;0,0017954888206507568
2016;11;1,0511612351775037e-05
2016;12;1,5020569403456204e-05
2017;01;0,0004603020198232955
2017;02;1,1913325185630703e-05
2017;03;0,004589175418161396
2017;04;0,002711673526998058
2017;05;5,199106382275882e-06
2017;06;0,0005447122703078822
2017;07;0,00134306626108956
2017;08;2,8893211781458147e-05
2017;09;3,58103079790134e-05
2017;10;0,0002505490044586154
2017;11;1,624103130001725e-05
2017;12;0,00028987898623677175
