Ano;Mes;MDQI
2008;01;0,027782362166061832
2008;02;0,029958420352264675
2008;03;0,05071725692014105
2008;04;0,025503967603100947
2008;05;0,023355129368999604
2008;06;0,02664114091075568
2008;07;0,025304961877205222
2008;08;0,02441219002099244
2008;09;0,024962346276690493
2008;10;0,027113923605581954
2008;11;0,0997070887175806
2008;12;0,06986584072540467
2009;01;0,03367221257624686
2009;02;0,046376413337354434
2009;03;0,13374490443031598
2009;04;0,05574744698349879
2009;05;0,024687538384069566
2009;06;0,02253944234865173
2009;07;0,027719748318269285
2009;08;0,02478544176263004
2009;09;0,025501549946003208
2009;10;0,024814577387091592
2009;11;0,03302338087520069
2009;12;0,0356446879519862
2010;01;0,08523144424117067
2010;02;0,04015514020563543
2010;03;0,03382799607379503
2010;04;0,03160300365602662
2010;05;0,027973527643271746
2010;06;0,027283466106064164
2010;07;0,03385452890632276
2010;08;0,03012611479854191
2010;09;0,023547811116460822
2010;10;0,026736845902030685
2010;11;0,04072425805116556
2010;12;0,03525920451055024
2011;01;0,060235190554806584
2011;02;0,027563778907011553
2011;03;0,03806317946025661
2011;04;0,027751271731724418
2011;05;0,02133721891767207
2011;06;0,026415137737378653
2011;07;0,026946484435958488
2011;08;0,025279922449885445
2011;09;0,01963468245947889
2011;10;0,02026484730657117
2011;11;0,0580636139226479
2011;12;0,049985822606559295
2012;01;0,049196003260800494
2012;02;0,05065541743818334
2012;03;0,04350655610575448
2012;04;0,0606470385243738
2012;05;0,02216433072490913
2012;06;0,02566840502825646
2012;07;0,032565620651524047
2012;08;0,024773643861487324
2012;09;0,021655931975212622
2012;10;0,0250632222427601
2012;11;0,0383308069184087
2012;12;0,069806965002945
2013;01;0,053916507782575444
2013;02;0,11574535192563079
2013;03;0,03224427540804239
2013;04;0,0340194996904811
2013;05;0,0557801423644695
2013;06;0,03146746788851676
2013;07;0,025259896597192313
2013;08;0,02672341947806597
2013;09;0,02240480309836352
2013;10;0,024322422145088556
2013;11;0,04129927096983175
2013;12;0,04909705449859447
2014;01;0,041884163356569575
2014;02;0,04158024041190578
2014;03;0,08778180342930211
2014;04;0,04615874703928862
2014;05;0,03992194980804481
2014;06;0,023713585968946994
2014;07;0,028609078231050435
2014;08;0,02261964863844967
2014;09;0,021821611297175178
2014;10;0,019696549733323344
2014;11;0,032548873415883466
2014;12;0,07906737868813482
2015;01;0,03980461793887438
2015;02;0,038837338623750745
2015;03;0,02676776650128839
2015;04;0,021790475694977208
2015;05;0,0225494159249563
2015;06;0,02626547814937682
2015;07;0,022515003602093367
2015;08;0,018440603064899863
2015;09;0,022733913100732674
2015;10;0,02156537567617832
2015;11;0,025593082884633814
2015;12;0,054042942312060936
2016;01;0,03373313639727742
2016;02;0,0435992973048351
2016;03;0,03927448753586945
2016;04;0,0394170551084727
2016;05;0,04241644852994596
2016;06;0,02313770592706641
2016;07;0,025624081235781717
2016;08;0,021500981465902656
2016;09;0,02092740150509075
2016;10;0,026250450937258266
2016;11;0,06399504534613502
2016;12;0,12126639453125822
2017;01;0,04236620611187886
2017;02;0,08465906342378542
2017;03;0,06902916401338341
2017;04;0,06190538127848647
2017;05;0,021335682843743906
2017;06;0,023166423872166636
2017;07;0,028517916510285807
2017;08;0,02311332573147414
2017;09;0,026564826719387757
2017;10;0,02262775569529277
2017;11;0,028373851502651044
2017;12;0,04312912994098802
