Ano;Mes;MDQI
2008;01;0,005946909402362727
2008;02;0,005549743144015047
2008;03;0,0012702762469663253
2008;04;0,0006134970226810038
2008;05;0,006018351873461189
2008;06;0,006252369891835932
2008;07;0,0031079184667888583
2008;08;0,006177299967759514
2008;09;0,004683810133525218
2008;10;0,006662429093831873
2008;11;0,010026501636952265
2008;12;0,009151067978155207
2009;01;0,014498959139238786
2009;02;0,00805405772092809
2009;03;0,002693726088093613
2009;04;0,011299982304807624
2009;05;0,00965214098268566
2009;06;0,0029978727556940602
2009;07;0,01254377881809807
2009;08;0,012002270089699322
2009;09;0,006450323833778064
2009;10;0,00392886464395314
2009;11;0,0022704739548519803
2009;12;0,00783182226327522
2010;01;0,030783632665784055
2010;02;0,017458701839703727
2010;03;0,019442884191574816
2010;04;0,026547616528132707
2010;05;0,029060655520117763
2010;06;0,034886836011421334
2010;07;0,04201770222797282
2010;08;0,04442333622854824
2010;09;0,05154525765904951
2010;10;0,019393985838194867
2010;11;0,03582970023403509
2010;12;0,011113850442949673
2011;01;0,0023190378328750427
2011;02;0,007225351424253029
2011;03;0,0025688631898031543
2011;04;0,0015303916398740288
2011;05;0,0038321844353725056
2011;06;0,00369221064686216
2011;07;0,0024122903209307877
2011;08;0,009731483467947456
2011;09;0,004872791554748983
2011;10;0,005425100210334034
2011;11;0,0051214501592273375
2011;12;0,006551255743280857
2012;01;0,03731458520969031
2012;02;0,019770051998809726
2012;03;0,019423768604913197
2012;04;0,00926247055455322
2012;05;0,010145242047987063
2012;06;0,02032295048814628
2012;07;0,028862494871930978
2012;08;0,029402318185880762
2012;09;0,024428734817260395
2012;10;0,03174956715427912
2012;11;0,018848738144662022
2012;12;0,011827449231476612
2013;01;0,016912422849975812
2013;02;0,005378016801446588
2013;03;0,0037677688907367295
2013;04;0,010874526095117831
2013;05;0,004567053580932521
2013;06;0,008014672900547729
2013;07;0,009832295430936723
2013;08;0,009921544170744517
2013;09;0,010533048564190928
2013;10;0,009358622856245271
2013;11;0,004947106953622723
2013;12;0,011594300232703822
2014;01;0,008869895334767116
2014;02;0,002189197425185743
2014;03;0,019739801592726612
2014;04;0,02566197508916672
2014;05;0,011181729265377194
2014;06;0,013198019490578337
2014;07;0,01801555860836026
2014;08;0,03265708105333027
2014;09;0,023131834474114755
2014;10;0,029828728041467623
2014;11;0,025535624948927912
2014;12;0,020423638948895335
2015;01;0,007108523452350047
2015;02;0,0008815131556238839
2015;03;0,005266379682543584
2015;04;6,761356521677786e-05
2015;05;0,004154916412261534
2015;06;0,0024617481086426024
2015;07;0,0033216531978584405
2015;08;0,007731280535514057
2015;09;0,004031748173309418
2015;10;0,0032647117907157303
2015;11;0,007460515030037736
2015;12;0,0020242894250014467
2016;01;0,007919591820781816
2016;02;0,008283089345842045
2016;03;0,00548645071856685
2016;04;0,00928708068713783
2016;05;0,011432777792285144
2016;06;0,009004743898832882
2016;07;0,011741229970804921
2016;08;0,006954020016408683
2016;09;0,012995068567400753
2016;10;0,010694025793184484
2016;11;0,01623572847462151
2016;12;0,015483909654048274
2017;01;0,007827982078454806
2017;02;0,005132146428514741
2017;03;0,0068033425423809895
2017;04;0,003492309351938563
2017;05;0,006257588276319674
2017;06;0,0076092266613052
2017;07;0,00010323696858882426
2017;08;0,006329591741702455
2017;09;0,006700393350605252
2017;10;0,005799091543122232
2017;11;0,009177602707070494
2017;12;0,0011513371893340262
