Ano;Mes;MDQI
2008;01;9,541187690614233e-06
2008;02;7,855742026505861e-06
2008;03;5,9145051017224146e-06
2008;04;4,5725739774246425e-05
2008;05;3,7530580545813333e-06
2008;06;4,040596010246464e-06
2008;07;9,773196352051053e-06
2008;08;3,2421705707116223e-06
2008;09;6,578658830753037e-06
2008;10;6,4057430669817515e-06
2008;11;8,87306762049098e-06
2008;12;1,3165177468950224e-05
2009;01;0,00045742114373088387
2009;02;9,528612988987534e-06
2009;03;0,0047473629953034505
2009;04;3,7563329743497275e-06
2009;05;4,990977727034861e-06
2009;06;4,24364103588699e-06
2009;07;3,08104451810656e-05
2009;08;0,00012231825334957483
2009;09;0,0008127486286338969
2009;10;8,134900704694618e-06
2009;11;1,130960792817729e-05
2009;12;2,1732367583073058e-05
2010;01;0,0004563404202073134
2010;02;3,1457475758164324e-05
2010;03;4,833781578151874e-06
2010;04;0,000211207435671275
2010;05;5,678710878397933e-06
2010;06;8,272054344595022e-05
2010;07;4,9320291712037415e-06
2010;08;1,1298473200964745e-05
2010;09;6,172568779471986e-06
2010;10;9,45141845158964e-06
2010;11;7,390838933315141e-06
2010;12;1,0158801121563083e-05
2011;01;0,0004556526870559503
2011;02;0,002299963521510822
2011;03;6,091350769215775e-06
2011;04;4,263945538451042e-06
2011;05;3,6548104615294653e-06
2011;06;2,3350177948660468e-05
2011;07;3,8906046848539466e-06
2011;08;3,4976143126464776e-06
2011;09;4,101509517938623e-06
2011;10;8,056302630253123e-06
2011;11;0,0016567864957189983
2011;12;9,710792097246569e-05
2012;01;0,00045694955528423494
2012;02;7,2045976339345185e-06
2012;03;5,462566173683825e-06
2012;04;5,400997682037987e-06
2012;05;7,663312258045653e-06
2012;06;4,345163548707253e-06
2012;07;5,352954018550784e-06
2012;08;3,360067682373864e-06
2012;09;5,137039148705304e-06
2012;10;0,0009378125747172945
2012;11;0,0014213151794836808
2012;12;0,000266643967542768
2013;01;0,00072290578967564
2013;02;0,0039244397523639655
2013;03;6,8380324764099666e-06
2013;04;0,0003171766345530654
2013;05;4,0870998709576825e-06
2013;06;4,466990564091568e-06
2013;07;6,503990660033618e-06
2013;08;4,4407912059444045e-06
2013;09;6,274091292292248e-06
2013;10;7,682961776656028e-06
2013;11;8,913676625619085e-06
2013;12;0,0005852412622913633
2014;01;0,0004573818446936632
2014;02;1,1660585758213056e-05
2014;03;6,4057430669817515e-06
2014;04;6,152264276907933e-06
2014;05;5,226771950359343e-06
2014;06;4,568513076911831e-06
2014;07;4,499739761775525e-06
2014;08;4,480090243165152e-06
2014;09;4,2030320307588845e-06
2014;10;7,231022848617436e-06
2014;11;0,0001895222269328668
2014;12;0,006150063530823571
2015;01;0,001527691123400706
2015;02;9,289309923054058e-06
2015;03;0,0022926075838653245
2015;04;4,95429862562883e-06
2015;05;4,067450352347309e-06
2015;06;1,076138635894787e-05
2015;07;3,870955166243574e-06
2015;08;4,873080615372621e-06
2015;09;6,619267835881143e-06
2015;10;0,001656336521742821
2015;11;0,00010889304725101403
2015;12;0,006969998643397234
2016;01;0,0004555151404256777
2016;02;0,00014152938442405478
2016;03;0,0031866999796745384
2016;04;7,53297045126351e-06
2016;05;0,0001425965565554803
2016;06;4,223336533322937e-06
2016;07;3,929903722074694e-06
2016;08;0,0001333612828086047
2016;09;6,314700297420354e-06
2016;10;0,006591529265442831
2016;11;0,0002779280310967518
2016;12;0,0015379874711525419
2017;01;0,0008735979478985941
2017;02;7,092072681301223e-06
2017;03;0,0003663849240090237
2017;04;5,3400841743458295e-06
2017;05;0,00012591411525527318
2017;06;4,8933851179366725e-06
2017;07;0,00036597228411820585
2017;08;5,541164248125319e-06
2017;09;4,629426584603989e-06
2017;10;0,0006085259418446559
2017;11;0,0004136027172297511
2017;12;1,0512492456549806e-05
