Ano;Mes;MDQI
2008;01;0,014111099216033731
2008;02;0,00850648733057853
2008;03;0,01720590447598742
2008;04;0,010695741902158287
2008;05;0,009811829921941108
2008;06;0,011282420199244022
2008;07;0,0015981406433111197
2008;08;0,0035482314725867993
2008;09;0,005564794104222198
2008;10;0,006175981245870655
2008;11;0,0025625500505988205
2008;12;5,254281276413866e-05
2009;01;0,002805676164300786
2009;02;0,0017840478661824216
2009;03;0,0021751820606497325
2009;04;0,001660725569216425
2009;05;0,005788374841762426
2009;06;0,0036894702474063023
2009;07;0,0034907959296886773
2009;08;0,0017117285147054636
2009;09;0,004660553387034681
2009;10;0,0057872941182388555
2009;11;0,0007207489275161744
2009;12;0,0009713346534665916
2010;01;0,044915518073705814
2010;02;0,03604900543905412
2010;03;0,03203270418718666
2010;04;0,049144835265509806
2010;05;0,0364523525111063
2010;06;0,03853502201820258
2010;07;0,006777806701869172
2010;08;0,0028326746028714393
2010;09;0,002592113406332081
2010;10;0,005057864688384572
2010;11;0,0002571971339788541
2010;12;0,0034239875664134082
2011;01;0,004100716987354669
2011;02;0,005706616703667272
2011;03;0,003972936167831413
2011;04;0,0030137364020746326
2011;05;0,005847755687002974
2011;06;0,006444567895820031
2011;07;0,026996119927457124
2011;08;0,020624232981041046
2011;09;0,03542104228696921
2011;10;0,017066235697704886
2011;11;0,05926937090153616
2011;12;0,041298611533575766
2012;01;0,008639519992127616
2012;02;0,010192384181577032
2012;03;0,003638579959157297
2012;04;0,003977834792820978
2012;05;0,00872228376451451
2012;06;0,009831724404550157
2012;07;0,017994705157974696
2012;08;0,0141923560543075
2012;09;0,008682692604450423
2012;10;0,019149163268478916
2012;11;0,0196387179249773
2012;12;0,02430641522199476
2013;01;0,02112445077630532
2013;02;0,04189437441131447
2013;03;0,009315050792433645
2013;04;0,016117734439847504
2013;05;0,015007948623268269
2013;06;0,02978041086567028
2013;07;0,07537018907081199
2013;08;0,07948346210055868
2013;09;0,06414998448736005
2013;10;0,0653276738003851
2013;11;0,062385563823549
2013;12;0,08314573937916009
2014;01;0,009958238485107001
2014;02;0,005023254166657965
2014;03;0,010054835518595597
2014;04;0,009235848167802907
2014;05;0,006510180258395886
2014;06;0,008151628339887626
2014;07;0,0264227076753692
2014;08;0,03938384454306931
2014;09;0,015145940642629386
2014;10;0,026375509531667087
2014;11;0,021065576233660968
2014;12;0,021244705830200807
2015;01;0,009728535612551733
2015;02;0,0036324900119251245
2015;03;0,0049887769809505
2015;04;0,00498045082493133
2015;05;0,0035124104001600888
2015;06;0,0054883070430634135
2015;07;0,008328428813488184
2015;08;0,01835270933064465
2015;09;0,009722628312273503
2015;10;0,01443353424573122
2015;11;0,010995192705972935
2015;12;0,019084162660915803
2016;01;0,0031104598474662893
2016;02;0,0021267426094271256
2016;03;0,00298529241391821
2016;04;0,006012102295708278
2016;05;0,0029845457322110157
2016;06;0,008371120012605036
2016;07;0,0020716487470916747
2016;08;0,0013759771902100125
2016;09;0,005062135838746513
2016;10;0,0027229516909511135
2016;11;0,004481102193373584
2016;12;0,0051814208614066005
2017;01;0,0057816940054349
2017;02;0,00442604073338471
2017;03;0,003099554364637532
2017;04;0,005980163313175022
2017;05;0,009442595817733579
2017;06;0,005183049151515447
2017;07;0,019485209335753526
2017;08;0,012511437984783099
2017;09;0,0083418815289128
2017;10;0,011456258835406043
2017;11;0,011373384370730977
2017;12;0,009165183913992327
