Ano;Mes;MDQI
2008;01;5,100383803881241e-05
2008;02;0,00014768137164390585
2008;03;5,345160287827789e-06
2008;04;3,8617489299403105e-06
2008;05;3,925698634628707e-06
2008;06;4,514923081295201e-06
2008;07;4,868309888706222e-06
2008;08;4,690877182056338e-06
2008;09;5,1108012544610645e-06
2008;10;4,812862167878133e-06
2008;11;9,110060532055038e-06
2008;12;1,2564453539644988e-05
2009;01;0,0019309890569265337
2009;02;0,0010665891894079313
2009;03;0,0022616570848569264
2009;04;3,70132019101104e-06
2009;05;4,657608549559484e-06
2009;06;5,271229993390336e-06
2009;07;3,870250913800618e-06
2009;08;0,000475841250602495
2009;09;3,6325650171842096e-06
2009;10;1,3329632087072616e-05
2009;11;1,3029105440184375e-05
2009;12;9,215411201628409e-06
2010;01;0,00257199797833174
2010;02;8,397953374562865e-06
2010;03;5,001384418693636e-06
2010;04;0,00028647989094512694
2010;05;5,23426484617161e-06
2010;06;6,3598535789818194e-06
2010;07;4,214026782934771e-06
2010;08;0,00012270580619256114
2010;09;6,611955883013529e-06
2010;10;8,79400852333493e-06
2010;11;8,422508793786733e-06
2010;12;9,315217099118969e-06
2011;01;0,0004576322190825504
2011;02;8,471619632234468e-06
2011;03;4,812862167878133e-06
2011;04;3,323166734963473e-06
2011;05;3,5819227654945557e-06
2011;06;1,2020696224057529e-05
2011;07;5,234264846171611e-06
2011;08;3,0385351013792827e-06
2011;09;4,23990238598788e-06
2011;10;0,0005733737915391035
2011;11;0,0011595560065894956
2011;12;1,0823395105642991e-05
2012;01;0,0004570112046092758
2012;02;6,306509047564449e-06
2012;03;4,746324902884427e-06
2012;04;2,7502069530732193e-06
2012;05;3,1605200872010786e-06
2012;06;4,2628207772634895e-06
2012;07;3,5264750446664664e-06
2012;08;2,328804274779742e-06
2012;09;3,7127793866488457e-06
2012;10;6,3543088068990105e-06
2012;11;0,00011102814653469343
2012;12;1,601330177515213e-05
2013;01;0,0004631880807095249
2013;02;3,387420081932593e-05
2013;03;7,064039633498551e-06
2013;04;4,537841472570811e-06
2013;05;4,52453401957207e-06
2013;06;6,096292079312303e-06
2013;07;1,4161347899493953e-05
2013;08;3,637370486322645e-06
2013;09;6,898435773958657e-06
2013;10;0,000236717409759278
2013;11;1,5057383068075871e-05
2013;12;0,00033507057696414234
2014;01;0,0010977650664986737
2014;02;8,275176278443524e-06
2014;03;2,905460571391869e-06
2014;04;3,0710644309317604e-06
2014;05;6,720263764364399e-06
2014;06;1,2215502549900216e-05
2014;07;3,825892737138147e-06
2014;08;4,4247281220815095e-06
2014;09;1,2777003136152662e-05
2014;10;6,176876100249125e-06
2014;11;1,247906404956973e-05
2014;12;0,0019434315254803574
2015;01;0,002742721510761427
2015;02;9,55205807808466e-06
2015;03;4,912668065368694e-06
2015;04;4,343035146728125e-06
2015;05;5,300802111165317e-06
2015;06;4,640974233311057e-06
2015;07;4,2362058712660065e-06
2015;08;4,291653592094095e-06
2015;09;0,0033251033390262613
2015;10;0,0001979150947237812
2015;11;6,68071105684036e-06
2015;12;0,004024018533201075
2016;01;0,0014173879084401098
2016;02;0,002102817719792035
2016;03;0,00332335895372901
2016;04;6,405690361533039e-06
2016;05;4,87939943287184e-06
2016;06;1,0909154247190434e-05
2016;07;3,913609339602112e-06
2016;08;3,936788178794326e-06
2016;09;4,8014029722403275e-06
2016;10;0,0033248671317355344
2016;11;7,746416251156234e-06
2016;12;0,00019333511298338102
2017;01;0,0004553366834402676
2017;02;6,998294478802387e-06
2017;03;4,092041797112975e-06
2017;04;4,721188602775692e-06
2017;05;2,9387292038887223e-06
2017;06;3,3460851262390827e-06
2017;07;3,116161910538607e-06
2017;08;3,005266468882429e-06
2017;09;0,0017554800165379106
2017;10;6,465204248555189e-06
2017;11;1,2375931288829484e-05
2017;12;0,0004339227736564596
