Ano;Mes;MDQI
2008;01;0,06504894839856051
2008;02;0,028615124645930804
2008;03;0,04185459926918133
2008;04;0,029689793710886196
2008;05;0,02093153014562769
2008;06;0,019096929679870266
2008;07;0,020591585960087554
2008;08;0,018573382469173692
2008;09;0,025926610653876362
2008;10;0,031716292069378677
2008;11;0,06236220105493071
2008;12;0,0643641174492326
2009;01;0,059757345601231825
2009;02;0,04507485989064559
2009;03;0,07256446487828254
2009;04;0,06574458850302935
2009;05;0,02281659245692613
2009;06;0,018799313187206255
2009;07;0,018991567619796104
2009;08;0,020657103249075996
2009;09;0,027655068397168376
2009;10;0,031995926129135516
2009;11;0,0502913926221892
2009;12;0,04433609193312407
2010;01;0,08672046195380517
2010;02;0,05197638656533978
2010;03;0,03831773874492196
2010;04;0,036235057089959354
2010;05;0,032872989446538985
2010;06;0,02513605135582266
2010;07;0,018808451519619344
2010;08;0,02011960829156822
2010;09;0,02928900302384039
2010;10;0,029560645184235467
2010;11;0,053534943813472756
2010;12;0,0973188934791046
2011;01;0,04788822284672576
2011;02;0,042420144807259745
2011;03;0,037174595816332666
2011;04;0,023906141989275726
2011;05;0,020006104001874542
2011;06;0,02074142138076311
2011;07;0,024977669033616572
2011;08;0,024021563649099267
2011;09;0,019473392085035447
2011;10;0,025466519295541334
2011;11;0,02571769198034361
2011;12;0,030797383533511916
2012;01;0,047423563888124375
2012;02;0,06381621856702248
2012;03;0,07097868835188548
2012;04;0,03537459933195079
2012;05;0,02774952162340537
2012;06;0,02464346624413842
2012;07;0,023956511197092103
2012;08;0,021092878028872827
2012;09;0,0258794768433183
2012;10;0,021865976104847286
2012;11;0,06563184344707174
2012;12;0,04281511565994647
2013;01;0,05658234583167229
2013;02;0,055107292343912255
2013;03;0,04462691175087712
2013;04;0,04292087365563376
2013;05;0,03867705773144757
2013;06;0,024559070969292707
2013;07;0,03255611403246319
2013;08;0,020260626974493982
2013;09;0,022522536747407333
2013;10;0,02647558148040411
2013;11;0,04124175720405343
2013;12;0,03564998985864169
2014;01;0,04750112243295755
2014;02;0,032546719980840466
2014;03;0,16445159482403426
2014;04;0,028620258872132476
2014;05;0,029752766264655867
2014;06;0,02322791384446333
2014;07;0,018823949382378028
2014;08;0,024330062107363576
2014;09;0,02797511739507413
2014;10;0,03520456229387199
2014;11;0,08583292760647315
2014;12;0,06527999465457253
2015;01;0,04183058598853163
2015;02;0,04496419018816674
2015;03;0,03442321088894277
2015;04;0,02806773451523509
2015;05;0,024757069270481675
2015;06;0,026780767892758933
2015;07;0,015458514802723778
2015;08;0,022571311828115233
2015;09;0,027673121709473406
2015;10;0,03282398870560862
2015;11;0,029661581897346398
2015;12;0,04657342650011499
2016;01;0,035150789556272155
2016;02;0,03631934488048964
2016;03;0,03964960548790892
2016;04;0,03436497818885982
2016;05;0,021743847605628662
2016;06;0,022544545130112618
2016;07;0,016845746597225163
2016;08;0,02076549927704992
2016;09;0,018529627463027755
2016;10;0,0470406371170391
2016;11;0,04184852325642714
2016;12;0,06764421982730297
2017;01;0,047505577944873804
2017;02;0,04337778758004528
2017;03;0,051763469858130566
2017;04;0,043911480823325064
2017;05;0,02287776797070649
2017;06;0,02070504393091892
2017;07;0,019667302128490514
2017;08;0,019566674812193003
2017;09;0,023583604465162066
2017;10;0,02551250848624195
2017;11;0,038937157099484226
2017;12;0,0495297699207273
