Ano;Mes;MDQI
2008;01;0,06722887986873252
2008;02;0,029859340665385068
2008;03;0,04669717222833921
2008;04;0,030775308550301746
2008;05;0,016985034172208556
2008;06;0,020070918669963248
2008;07;0,02023249628566808
2008;08;0,01985791366284184
2008;09;0,021661500861273143
2008;10;0,03015426709246968
2008;11;0,0672616624817684
2008;12;0,06522564915751845
2009;01;0,05842941092607541
2009;02;0,04227103692231411
2009;03;0,07239723519033517
2009;04;0,0581308722648046
2009;05;0,01986050861617659
2009;06;0,019099385145398856
2009;07;0,01707590189710163
2009;08;0,018642732502717606
2009;09;0,022829926285286302
2009;10;0,028939751304995376
2009;11;0,04853800144294191
2009;12;0,040997024542225834
2010;01;0,08482939046808434
2010;02;0,05250918569122327
2010;03;0,04039411929457369
2010;04;0,037733366519163904
2010;05;0,03317569102720141
2010;06;0,025310704630523446
2010;07;0,017446758433088218
2010;08;0,01779957228071735
2010;09;0,03011021683548354
2010;10;0,02413478489256316
2010;11;0,0567214943341153
2010;12;0,12196697640207103
2011;01;0,05005803602043635
2011;02;0,047677636849315766
2011;03;0,038816121517982936
2011;04;0,02773558501943938
2011;05;0,024940906037050254
2011;06;0,020328647439053122
2011;07;0,019996876740781194
2011;08;0,022000990251935814
2011;09;0,01621143866075922
2011;10;0,02718994322064671
2011;11;0,025682887845643716
2011;12;0,030980415953719868
2012;01;0,051394048853789155
2012;02;0,06436597392746908
2012;03;0,08549241213465829
2012;04;0,029614194093105506
2012;05;0,02390081768975696
2012;06;0,022251878620532864
2012;07;0,022330272086845498
2012;08;0,022686301902282664
2012;09;0,026546750767995293
2012;10;0,021650394313139806
2012;11;0,05514111082692306
2012;12;0,037548764052559476
2013;01;0,05914904471561485
2013;02;0,05530027741730422
2013;03;0,04719725522248775
2013;04;0,034031290021240765
2013;05;0,033719200676302505
2013;06;0,02349779112544886
2013;07;0,0285909186037217
2013;08;0,019548681723783587
2013;09;0,019680687221713435
2013;10;0,02420677821328636
2013;11;0,03795637392547122
2013;12;0,030982223549418864
2014;01;0,048198008956625606
2014;02;0,031378510786508114
2014;03;0,17564025926821958
2014;04;0,028668592728269465
2014;05;0,026962396863912393
2014;06;0,0216590027566241
2014;07;0,017614631952667343
2014;08;0,02117128164700845
2014;09;0,02460581512925514
2014;10;0,03136813968638237
2014;11;0,0637275777918955
2014;12;0,06189561429820174
2015;01;0,038699304259742315
2015;02;0,040491603912837286
2015;03;0,03149295250596639
2015;04;0,02872868475019412
2015;05;0,02374065140337294
2015;06;0,027119561580342254
2015;07;0,014978902364015794
2015;08;0,020012745878482195
2015;09;0,020900415464597043
2015;10;0,030035631148985897
2015;11;0,027910314834524632
2015;12;0,056957229579912984
2016;01;0,04916719075852394
2016;02;0,03917668619218769
2016;03;0,038198433907958025
2016;04;0,031731074221668515
2016;05;0,021414131574691315
2016;06;0,02210721773480121
2016;07;0,019689075352920308
2016;08;0,023069611996367242
2016;09;0,022481933432157434
2016;10;0,05277771345842162
2016;11;0,048794171761425045
2016;12;0,0474631048647701
2017;01;0,05519523408652631
2017;02;0,04926815274099377
2017;03;0,05532285256078423
2017;04;0,047045727691008746
2017;05;0,0213396320169867
2017;06;0,021197689917832982
2017;07;0,01828999628189763
2017;08;0,017255419438054646
2017;09;0,018623622260908468
2017;10;0,025933653120300524
2017;11;0,04080369756157484
2017;12;0,044354339680189966
