Ano;Mes;MDQI
2008;01;0,0021729918758476127
2008;02;0,000919801973719212
2008;03;0,0013912387632975835
2008;04;0,0004505411948915823
2008;05;0,0010587853187565268
2008;06;0,0009785809298816402
2008;07;0,0006427388902950431
2008;08;0,0002253617165336853
2008;09;0,0003277215360455875
2008;10;0,0022906007951291885
2008;11;0,0036127062311438938
2008;12;0,007146124439412453
2009;01;0,006550793350425427
2009;02;0,007052377789642957
2009;03;0,0022561012232299514
2009;04;0,001993063519696524
2009;05;0,0005575933701914295
2009;06;0,000247323819450747
2009;07;1,0335455162355804e-05
2009;08;1,0801216017311756e-05
2009;09;2,3766371752807732e-05
2009;10;0,0012770829956567135
2009;11;0,003953983995629004
2009;12;0,014301231409599057
2010;01;0,008963634190892219
2010;02;0,005096796480363718
2010;03;6,686995131867544e-06
2010;04;1,2948891070719737e-06
2010;05;1,0535066957336927e-06
2010;06;1,008409216126847e-06
2010;07;8,872744286910816e-05
2010;08;0,0010675460586473647
2010;09;0,0006319975578162256
2010;10;0,0006275905729648091
2010;11;0,011046286441388048
2010;12;0,012335875855303272
2011;01;0,010913331308826149
2011;02;0,007983715729965825
2011;03;0,00018708061007397257
2011;04;1,1000827812292873e-06
2011;05;7,540890032620117e-07
2011;06;8,835039836747715e-06
2011;07;0,00041391723598168496
2011;08;0,00016170773302303903
2011;09;0,0005819781688572066
2011;10;0,0007786301645005239
2011;11;0,004021031749305802
2011;12;0,008841649205070422
2012;01;0,007640418691506536
2012;02;0,00011529531390340574
2012;03;0,0004330134310348789
2012;04;0,0021126975221552086
2012;05;0,0014597721462411017
2012;06;0,0003777294658089688
2012;07;0,00015371217167962857
2012;08;1,0823395105642991e-05
2012;09;0,0004609690629219848
2012;10;0,0019558074567691862
2012;11;0,00464194826494027
2012;12;0,008884732084153848
2013;01;0,004863408310185019
2013;02;0,0005536019264021046
2013;03;0,0011027553613732015
2013;04;0,00012393120082286192
2013;05;0,0015887768135197334
2013;06;0,00017270153745736034
2013;07;1,275297579046049e-06
2013;08;3,1316872723704715e-05
2013;09;0,0013176126920217412
2013;10;0,0008262043089710244
2013;11;0,007837069947846909
2013;12;0,0023599880729734592
2014;01;0,003776466638791989
2014;02;0,002270848336694479
2014;03;0,001081130750250247
2014;04;0,00024489446997553234
2014;05;0,0002759633065613995
2014;06;3,258995239391764e-05
2014;07;0,00214658088505031
2014;08;0,0007733626310218555
2014;09;0,0005364393253925692
2014;10;0,0004799776505762704
2014;11;0,001987070360377952
2014;12;0,004572374313102544
2015;01;0,006464050935961963
2015;02;0,003939082130216013
2015;03;0,0008220457299089176
2015;04;7,127619686714759e-06
2015;05;1,3085662115429024e-06
2015;06;7,448477164573301e-07
2015;07;9,408369270110156e-05
2015;08;0,00019903513868450856
2015;09;0,0009905787077144222
2015;10;0,0040045009354695875
2015;11;0,0049429240383672204
2015;12;0,003850212107493347
2016;01;0,005488148870299264
2016;02;0,00801415047861662
2016;03;0,0026858321491918073
2016;04;0,000150321728376727
2016;05;0,0030341436418896976
2016;06;0,00223444001661125
2016;07;1,0424171515680752e-06
2016;08;8,3393372125446e-06
2016;09;3,380462713152498e-06
2016;10;0,0020896693443923594
2016;11;0,00292342415433428
2016;12;0,0013867364083663424
2017;01;0,0033647007743784333
2017;02;0,0032203941203718433
2017;03;0,0008283889491716508
2017;04;5,133719645736675e-06
2017;05;8,771829435003695e-06
2017;06;0,0002542337144203435
2017;07;2,7058487764107463e-05
2017;08;0,00019476566418074573
2017;09;0,00036625881097552594
2017;10;0,000553079925716023
2017;11;0,005464626838169571
2017;12;0,009901787448215156
