Ano;Mes;MDQI
2008;01;0,0013525447676082736
2008;02;1,1753532287304044e-05
2008;03;5,798484713717323e-06
2008;04;6,443976408263212e-06
2008;05;4,595025622191086e-06
2008;06;4,8753768878307204e-06
2008;07;0,0005762244184256589
2008;08;1,2663671804014718e-05
2008;09;0,00016603131320325546
2008;10;6,714754703856617e-06
2008;11;6,8820537518074225e-06
2008;12;1,0051618548542998e-05
2009;01;0,00045438786108012197
2009;02;5,950382350675382e-06
2009;03;0,002675727181950652
2009;04;2,99588376875395e-06
2009;05;3,2274584727294526e-06
2009;06;3,6741970748869202e-06
2009;07;4,54032293621262e-06
2009;08;5,224106510943437e-06
2009;09;4,338378853808786e-06
2009;10;5,648052327276543e-06
2009;11;1,0061647374305717e-05
2009;12;1,1501239726972332e-05
2010;01;0,0004566033198622498
2010;02;7,4341927078412535e-06
2010;03;4,882214723578029e-06
2010;04;9,752166928382552e-05
2010;05;5,40189024037345e-06
2010;06;4,931902996675135e-06
2010;07;4,745458008631865e-06
2010;08;2,2277668864729994e-05
2010;09;7,857129129373567e-06
2010;10;6,359187244996593e-06
2010;11;5,426506449063758e-06
2010;12;8,684051399081367e-06
2011;01;0,00045806661671217376
2011;02;7,17074066483425e-05
2011;03;5,005295767029576e-06
2011;04;3,603539438831402e-06
2011;05;4,649728308169552e-06
2011;06;7,207078877662804e-06
2011;07;4,417241892761074e-06
2011;08;2,8609504766737353e-05
2011;09;1,2350954782504492e-05
2011;10;5,14205248197574e-06
2011;11;5,369980340219344e-06
2011;12;8,437889312178273e-06
2012;01;0,002267604117536817
2012;02;7,4117423752029235e-06
2012;03;4,075350105395666e-06
2012;04;4,663403979664166e-06
2012;05;5,579673969803461e-06
2012;06;4,168800527275543e-06
2012;07;2,981296385826359e-06
2012;08;4,225782491836445e-06
2012;09;1,1050854279082964e-05
2012;10;0,0016520484678926412
2012;11;0,0022955959378077135
2012;12;4,169712238708518e-05
2013;01;0,0007747814928559932
2013;02;9,79617654169713e-06
2013;03;7,070322162716641e-06
2013;04;5,412374921852655e-06
2013;05;4,376214878277225e-06
2013;06;6,161345864041142e-06
2013;07;0,0004668874248262013
2013;08;9,618099762163663e-05
2013;09;6,528765571529834e-06
2013;10;7,398538278587433e-06
2013;11;7,263604986507219e-06
2013;12;0,0005383838354000555
2014;01;0,0004605145619097101
2014;02;6,40915228763585e-05
2014;03;4,061674433901049e-06
2014;04;5,709136993285829e-06
2014;05;3,0359990718048244e-06
2014;06;4,719930088508581e-06
2014;07;3,856539361481805e-05
2014;08;8,615673041608287e-06
2014;09;5,030823687152858e-06
2014;10;4,471944578739539e-06
2014;11;7,744076911684738e-06
2014;12;0,0058792532295645255
2015;01;0,0010666887009085787
2015;02;7,025387813520044e-06
2015;03;0,001087065451435557
2015;04;3,857906928631265e-06
2015;05;5,333511882900368e-06
2015;06;4,2535896905421645e-06
2015;07;4,157404134363363e-06
2015;08;3,678755632051792e-06
2015;09;5,6102163028081035e-06
2015;10;6,495943959942755e-06
2015;11;8,577837017139848e-06
2015;12;0,006542495945710428
2016;01;0,0004565212658332822
2016;02;0,0007091297813340107
2016;03;0,0013302599176243193
2016;04;5,355848813008241e-06
2016;05;3,91124204746027e-06
2016;06;0,000265743369204802
2016;07;4,239458163331061e-06
2016;08;1,444150909831484e-05
2016;09;4,522088707553131e-06
2016;10;0,0054698583277016915
2016;11;7,517972476307081e-06
2016;12;0,0020877827130541065
2017;01;0,00045947521087611923
2017;02;0,0031359120624939747
2017;03;0,00017481610871568048
2017;04;4,946034523886238e-06
2017;05;0,0004677626678018569
2017;06;4,861245360619617e-06
2017;07;4,225782491836446e-06
2017;08;3,5009719026217797e-06
2017;09;5,369980340219344e-06
2017;10;6,536970974426603e-06
2017;11;9,934463629405785e-06
2017;12;0,0013732152017889088
