Ano;Mes;MDQI
2008;01;0,06716185286718962
2008;02;0,0488132236243426
2008;03;0,0636025941764177
2008;04;0,02607461785524116
2008;05;0,01515416201557079
2008;06;0,01498248538517456
2008;07;0,01843955063275144
2008;08;0,014478624870751229
2008;09;0,029269628973926765
2008;10;0,02209523540699181
2008;11;0,028267308011897613
2008;12;0,057613771466838305
2009;01;0,048753098770403965
2009;02;0,04009961152027938
2009;03;0,037435058338773516
2009;04;0,02389369926075155
2009;05;0,020159909079759692
2009;06;0,013230656482922896
2009;07;0,01439967521921281
2009;08;0,01916198165512604
2009;09;0,024326081598829687
2009;10;0,03094143924298485
2009;11;0,037872323347430945
2009;12;0,05600236709462766
2010;01;0,05863646553254869
2010;02;0,039304349732526514
2010;03;0,030935599731256643
2010;04;0,02862346489219906
2010;05;0,01633274506064832
2010;06;0,01726385087508069
2010;07;0,01148858973083981
2010;08;0,012195293730995604
2010;09;0,019647260122978207
2010;10;0,07560708493872041
2010;11;0,031393201830993714
2010;12;0,050620197172549446
2011;01;0,048636376914197414
2011;02;0,06222293626810431
2011;03;0,03668222629866638
2011;04;0,028280803620384216
2011;05;0,01654917623772212
2011;06;0,015568844843744878
2011;07;0,013663609552358074
2011;08;0,01493994629727912
2011;09;0,015450733539314473
2011;10;0,025688121497728908
2011;11;0,09661797225020265
2011;12;0,048958972329083916
2012;01;0,04700474622384623
2012;02;0,07392927952250485
2012;03;0,0299856602378976
2012;04;0,019585208586994245
2012;05;0,01562933689732273
2012;06;0,012118872711116538
2012;07;0,01585493077429792
2012;08;0,018651619270618452
2012;09;0,020849711773371003
2012;10;0,022878427437816994
2012;11;0,02770771366586513
2012;12;0,08116435815861568
2013;01;0,07753597002467857
2013;02;0,046968290790976294
2013;03;0,03750718383023612
2013;04;0,022505771315713016
2013;05;0,016971604054519324
2013;06;0,01642774493610854
2013;07;0,01855474081375059
2013;08;0,02124869766580357
2013;09;0,020264171943378928
2013;10;0,017913351820653088
2013;11;0,030388294799484933
2013;12;0,10346401750310903
2014;01;0,06226810847630154
2014;02;0,03164734321635821
2014;03;0,038501487201923694
2014;04;0,02691048355825072
2014;05;0,016820788749276696
2014;06;0,017739390897261533
2014;07;0,015162900769655851
2014;08;0,015467485325183944
2014;09;0,020577482033176303
2014;10;0,01808651317311792
2014;11;0,06051091688740112
2014;12;0,0649694638666331
2015;01;0,0571583032277101
2015;02;0,036732633846961855
2015;03;0,029393380581137264
2015;04;0,026694087482067093
2015;05;0,01610471691414709
2015;06;0,015543083069639033
2015;07;0,014895842256708983
2015;08;0,01618618288924052
2015;09;0,018251531574919138
2015;10;0,039138117061341085
2015;11;0,03854109787269642
2015;12;0,062197254822287926
2016;01;0,056684947210266956
2016;02;0,028335178813328296
2016;03;0,03413727956321875
2016;04;0,023212418333904247
2016;05;0,021054475779237032
2016;06;0,01550806514520992
2016;07;0,012734101512211991
2016;08;0,012840840128227473
2016;09;0,01405230586955809
2016;10;0,028229184342472072
2016;11;0,031418567922337645
2016;12;0,17371659840318482
2017;01;0,20285982360134258
2017;02;0,046448563501995936
2017;03;0,0241612190996835
2017;04;0,025572072484559893
2017;05;0,026866130164603663
2017;06;0,013117590133706858
2017;07;0,01670480537933085
2017;08;0,0150436352385513
2017;09;0,02381047869700536
2017;10;0,04097195623041165
2017;11;0,08466855068187444
2017;12;0,08467698173335088
