Ano;Mes;MDQI
2008;01;0,01084135640148956
2008;02;0,006026448254460114
2008;03;0,004442555560697607
2008;04;0,0080237680982469
2008;05;0,004512192079948194
2008;06;0,0005383970552158336
2008;07;0,05054722378945417
2008;08;0,08658434131237651
2008;09;0,06483113672874365
2008;10;0,09342880976035955
2008;11;0,07706554880633815
2008;12;0,06084251545268824
2009;01;0,007511116406331112
2009;02;0,001037047171360837
2009;03;0,005307828971833477
2009;04;0,0046648877900213334
2009;05;0,004031218713482537
2009;06;0,00374975835088469
2009;07;0,0013798205511208088
2009;08;0,0031267508278430994
2009;09;0,004220818678939615
2009;10;0,011676958430006653
2009;11;0,0033060283964560385
2009;12;0,0054294467184351014
2010;01;0,02966771455131927
2010;02;0,026415079655785066
2010;03;0,01675480363431517
2010;04;0,01249027750927876
2010;05;0,014890645501541032
2010;06;0,017353473020653508
2010;07;0,03300069450530118
2010;08;0,03547110883110316
2010;09;0,05588593653022395
2010;10;0,041899180433418136
2010;11;0,035080936908948875
2010;12;0,03681705474393181
2011;01;0,01073325504284916
2011;02;0,006457391265165754
2011;03;0,006754769718649862
2011;04;0,002956400281726126
2011;05;0,0053719815468147225
2011;06;0,0009447773832255378
2011;07;0,04207968562147557
2011;08;0,028022011595000132
2011;09;0,03177851205193167
2011;10;0,03574418463950765
2011;11;0,07003432265329033
2011;12;0,078014946743106
2012;01;0,0014725416038543077
2012;02;0,006115447638247561
2012;03;0,0027144430079519112
2012;04;0,0074460853973841975
2012;05;0,006204775238150878
2012;06;0,004122774143148979
2012;07;0,0032026234532952303
2012;08;4,212106820341829e-06
2012;09;0,004634448480408616
2012;10;0,008940333482890478
2012;11;0,006657588573586254
2012;12;0,008486492648670138
2013;01;0,010491893116640675
2013;02;0,006180236687737986
2013;03;0,005241488289413093
2013;04;0,00503493596157129
2013;05;0,0006232140256811606
2013;06;0,00365281607421652
2013;07;0,03948486371208707
2013;08;0,05948587516475081
2013;09;0,04323535097626243
2013;10;0,05361252982527196
2013;11;0,06616776723000588
2013;12;0,10569501184805476
2014;01;0,009309480883544656
2014;02;0,005030980143346982
2014;03;0,011349344043681627
2014;04;0,005826880878008743
2014;05;0,0034703247228023443
2014;06;0,004929189743450602
2014;07;0,01867630385766623
2014;08;0,011892172472317433
2014;09;0,006041567039399829
2014;10;0,015962407876574113
2014;11;0,008335566114632688
2014;12;0,015555433568565823
2015;01;0,00891202484289662
2015;02;0,007979599000553795
2015;03;0,00552125150117846
2015;04;0,0022687742991610396
2015;05;0,006600932090006924
2015;06;0,0022839232963313425
2015;07;0,013964597406283084
2015;08;0,028522582198717575
2015;09;0,023407998670505917
2015;10;0,020561317389469664
2015;11;0,03419296826511197
2015;12;0,0778767814339959
2016;01;0,008240604075196938
2016;02;0,012829536006799973
2016;03;0,00822298981031187
2016;04;0,004474861143613623
2016;05;0,001987922959800419
2016;06;0,009105903925964364
2016;07;0,011129521300077164
2016;08;0,0063195004463192156
2016;09;0,013178539410568348
2016;10;0,01096950226791866
2016;11;0,013636485681371368
2016;12;0,04429837186207615
2017;01;0,007970605292878729
2017;02;0,005106715035250489
2017;03;0,00305147993193673
2017;04;0,0018947834315191836
2017;05;0,0023071131324847636
2017;06;0,0013675078882184894
2017;07;0,010734567907312642
2017;08;0,007461651502535087
2017;09;0,01251790464497647
2017;10;0,015328390070412203
2017;11;0,017696911526464958
2017;12;0,0273578252575211
