Ano;Mes;MDQI
2008;01;1,0303575533902303e-05
2008;02;7,918598582704063e-06
2008;03;0,0013158496474300506
2008;04;4,006169501031589e-06
2008;05;3,1796827548921723e-06
2008;06;4,5580397894390016e-06
2008;07;1,3920500663665484e-05
2008;08;0,0005436317946754527
2008;09;0,00030427981540552047
2008;10;9,820917498002883e-06
2008;11;1,1834551740292294e-05
2008;12;1,3984670032402898e-05
2009;01;0,0017677107538235611
2009;02;1,0446116173426027e-05
2009;03;0,0010229974041524937
2009;04;4,256555094846064e-06
2009;05;0,0028309709526733056
2009;06;4,082818152199285e-06
2009;07;4,465402064801916e-06
2009;08;0,002417686370651356
2009;09;0,004659205789160204
2009;10;0,0016908791349079162
2009;11;9,27448679129124e-05
2009;12;0,0023400833201497654
2010;01;0,00046403093416923273
2010;02;1,0807459814645166e-05
2010;03;6,601674148959643e-06
2010;04;0,0008711119205208675
2010;05;0,001813274668137055
2010;06;3,3929802916900194e-06
2010;07;4,3813358022308935e-06
2010;08;0,00017431881305241673
2010;09;3,47780479898227e-05
2010;10;3,203419111382814e-05
2010;11;1,532973023353924e-05
2010;12;1,1779166908480803e-05
2011;01;0,00045873970470152733
2011;02;2,2934371410105668e-05
2011;03;5,296174541974366e-06
2011;04;3,638255975426647e-06
2011;05;6,700575634337313e-06
2011;06;0,0031631365363884866
2011;07;0,0014902920873391897
2011;08;4,999470085841348e-06
2011;09;6,545794809721258e-06
2011;10;0,0005712994852098565
2011;11;7,123214648517903e-06
2011;12;1,3178622926574867e-05
2012;01;0,0014900794491456276
2012;02;1,1629450521995288e-05
2012;03;7,190137986956794e-06
2012;04;0,0038183803056707323
2012;05;3,867048078266996e-06
2012;06;0,002425485247280812
2012;07;0,0003656937976765348
2012;08;0,003570437578545088
2012;09;0,004178920231033342
2012;10;7,966514647171521e-06
2012;11;5,0419482738110566e-05
2012;12;1,3455547085632351e-05
2013;01;0,0004629034572359272
2013;02;1,1787467568860712e-05
2013;03;0,0013618437832049375
2013;04;5,8610668592898376e-06
2013;05;2,230228495266516e-05
2013;06;0,002255417220069928
2013;07;4,188477905744432e-06
2013;08;0,003283440303201889
2013;09;0,006328460114290292
2013;10;8,19398806354017e-06
2013;11;2,9228685645281492e-05
2013;12;1,0058281062909294e-05
2014;01;0,0004595012461389355
2014;02;0,001079070660946137
2014;03;0,0003641997748290102
2014;04;8,037888552452408e-06
2014;05;2,211437213044758e-05
2014;06;0,004067263585922319
2014;07;1,0003885245951578e-05
2014;08;6,1912329846423e-06
2014;09;6,57134436011049e-06
2014;10;7,293984546603349e-06
2014;11;0,0019186690360297714
2014;12;4,354137893752033e-05
2015;01;0,0004578545364073971
2015;02;1,0977181827945062e-05
2015;03;0,001190615641570573
2015;04;4,552929879361156e-06
2015;05;0,0010543590651657538
2015;06;0,0023476153276045103
2015;07;0,0005978446438852237
2015;08;5,335735136125433e-06
2015;09;0,0007548819058901729
2015;10;1,0686305495057517e-05
2015;11;9,77525797892019e-06
2015;12;1,293631428739957e-05
2016;01;0,0005654247369784228
2016;02;1,1312283689577234e-05
2016;03;6,932994124974845e-06
2016;04;4,670457811151623e-06
2016;05;4,786831892279351e-06
2016;06;0,0044808801472635195
2016;07;0,0015949793096114559
2016;08;0,0012072904320052486
2016;09;9,426762111611064e-05
2016;10;0,0003949482466329286
2016;11;9,294926431602627e-06
2016;12;1,2575323865771064e-05
2017;01;0,00045771607432786834
2017;02;8,951467475655948e-06
2017;03;0,001986164354725764
2017;04;0,0018956386713089176
2017;05;0,0006111913993369407
2017;06;0,0012034706918041536
2017;07;0,0010239913640805393
2017;08;1,1734661240060846e-05
2017;09;7,015906536883127e-06
2017;10;0,0019369757009731784
2017;11;0,0010502347083896956
2017;12;1,62495140475516e-05
