Ano;Mes;MDQI
2008;01;0,0014030734237934347
2008;02;0,0003419587064853978
2008;03;0,000993826411040349
2008;04;0,00016366019997326496
2008;05;7,436897192974085e-05
2008;06;0,00011020543064891362
2008;07;0,0002091953244896005
2008;08;2,6555048823905075e-06
2008;09;1,3347085123334833e-05
2008;10;0,002083834516610485
2008;11;0,0026365296434059477
2008;12;0,0005317438361330564
2009;01;0,0012247811596942902
2009;02;0,004696854146639468
2009;03;0,001283202267106881
2009;04;0,00025980826799802307
2009;05;8,757726530192904e-06
2009;06;0,00013545349634355274
2009;07;9,890148537767254e-07
2009;08;3,8566634223023406e-05
2009;09;9,830445007760934e-05
2009;10;0,0002028716718809508
2009;11;0,0003478622384594725
2009;12;0,0019091052623937505
2010;01;0,005696705777456862
2010;02;0,0019427640870147023
2010;03;0,0002078167461498344
2010;04;3,832432558384811e-06
2010;05;7,684150906418267e-05
2010;06;8,712396682728138e-06
2010;07;1,1986860027773913e-05
2010;08;0,0001802232317294638
2010;09;0,00010772712426115812
2010;10;0,0003710239773200696
2010;11;0,0006781208367007641
2010;12;0,0019844434688801927
2011;01;0,006343333579004623
2011;02;0,0013652493498880402
2011;03;5,1438662544927495e-05
2011;04;2,4272072869770468e-06
2011;05;8,307724771724494e-07
2011;06;5,5677580208214524e-05
2011;07;6,856839981234036e-05
2011;08;6,141287734526576e-05
2011;09;2,0163705167181947e-05
2011;10;0,0005289201987255238
2011;11;0,000860478197648869
2011;12;0,003760303705098874
2012;01;0,003111440729981578
2012;02;9,203124253997179e-06
2012;03;0,0004911497214597906
2012;04;3,6484757955823397e-06
2012;05;6,656069965917362e-06
2012;06;6,0807929926372325e-06
2012;07;2,1472678443073443e-05
2012;08;7,862668087524967e-07
2012;09;6,0751720915516026e-05
2012;10;0,0003069654852409512
2012;11;0,0027748702389434835
2012;12;0,001975631346533042
2013;01;0,0015430263593425645
2013;02;0,0001255833400346154
2013;03;3,54858529535089e-05
2013;04;7,940800260973328e-06
2013;05;4,078202749548327e-05
2013;06;3,086385687019234e-06
2013;07;1,9285789648646146e-05
2013;08;1,943908695098154e-05
2013;09;0,0004036369069591661
2013;10;0,00038502842764954803
2013;11;0,00181863743634585
2013;12;0,0022963293030186832
2014;01;0,0036027734191893175
2014;02;0,0013543597665185724
2014;03;0,0004298505808227092
2014;04;5,205465396302142e-05
2014;05;1,1937409285085076e-05
2014;06;9,50443274479433e-07
2014;07;0,0008064872174379617
2014;08;2,7989120361881324e-06
2014;09;0,000184651710573058
2014;10;0,0009301190192343214
2014;11;0,0024553322320455136
2014;12;0,004087118718455124
2015;01;0,0031579392633318917
2015;02;0,0008408411782132821
2015;03;0,00040858181639224074
2015;04;7,464045650710258e-05
2015;05;4,406061173575311e-06
2015;06;1,1476858034843048e-05
2015;07;2,2351735695353993e-06
2015;08;6,741619750769048e-05
2015;09;1,261125807212495e-05
2015;10;0,0016767065520532957
2015;11;0,0023060053298406074
2015;12;0,002346096530460728
2016;01;0,001154170444208901
2016;02;0,0006744975580479794
2016;03;0,0004539281474379036
2016;04;7,291330690079049e-05
2016;05;0,00020109639021842154
2016;06;0,00017072720561092653
2016;07;9,078661850243451e-05
2016;08;1,2956094584475103e-06
2016;09;7,9816795415961e-06
2016;10;0,0010019363328413182
2016;11;0,0023146053085016235
2016;12;0,003977041365229774
2017;01;0,0011879106859454937
2017;02;0,0008659107620487739
2017;03;0,00021833986419401874
2017;04;0,00010835564320073321
2017;05;2,05368934386737e-05
2017;06;7,864151609805632e-06
2017;07;2,5452297261944026e-05
2017;08;3,134188071618443e-05
2017;09;0,000184518852911034
2017;10;0,0001648489958275046
2017;11;0,0009709033544311299
2017;12;0,001888281554647482
