Ano;Mes;MDQI
2008;01;0,0003149789260447818
2008;02;0,0006822054307862528
2008;03;0,00037682271074769347
2008;04;7,614635501321475e-05
2008;05;7,341278237638995e-06
2008;06;0,0007343854708400141
2008;07;6,0770702027585645e-06
2008;08;0,005657308777001598
2008;09;8,892335814936741e-06
2008;10;0,0005096421812192981
2008;11;1,8518060150693005e-05
2008;12;2,294426687866327e-05
2009;01;0,005594541957024201
2009;02;0,0009507244438001102
2009;03;0,002544872953302639
2009;04;4,58024049643069e-05
2009;05;0,002563281596617565
2009;06;0,00012361034334500338
2009;07;0,0007891985000903576
2009;08;8,405874477538308e-06
2009;09;0,002826926267868323
2009;10;0,00014375376101890378
2009;11;0,00048600740539058893
2009;12;2,436372853186235e-05
2010;01;0,0004799111133112766
2010;02;1,8956783640826115e-05
2010;03;0,00015444408159455934
2010;04;0,0024868288005339065
2010;05;0,0003706901928241068
2010;06;0,0006938313774778218
2010;07;0,000700282534970434
2010;08;1,9406702289831182e-05
2010;09;0,001055735694110982
2010;10;0,00016687546060421694
2010;11;1,7968018760078365e-05
2010;12;0,0005142110734155326
2011;01;0,00047217061148367544
2011;02;1,4524530470917937e-05
2011;03;0,0001164513032831527
2011;04;0,0001347486815049499
2011;05;0,0008463096525432895
2011;06;0,00012968371703304008
2011;07;0,00020874957937358984
2011;08;3,594121264076736e-05
2011;09;0,0007180561170561418
2011;10;0,003460758405941015
2011;11;3,450363806543109e-05
2011;12;0,0007768114792573627
2012;01;0,0004669917943583319
2012;02;1,3134609068987614e-05
2012;03;0,00019737170705966595
2012;04;0,0010833638147937298
2012;05;7,330188693473378e-06
2012;06;0,00017373286506476278
2012;07;0,0011636258692982776
2012;08;0,005620558027636741
2012;09;0,0026715739526066
2012;10;8,074297106986335e-05
2012;11;0,007377590580357839
2012;12;0,00014296640338314488
2013;01;0,0004672801225066379
2013;02;0,0021467084148082136
2013;03;0,0022114214497866774
2013;04;7,184915664903785e-06
2013;05;4,445798255996184e-05
2013;06;0,001897871981533277
2013;07;8,036592656823233e-05
2013;08;0,0024276453819278934
2013;09;1,1230011725048977e-05
2013;10;0,0003166952022817136
2013;11;4,510339403040079e-05
2013;12;0,0003167062918258793
2014;01;0,00047622938464829157
2014;02;0,00029677679673966893
2014;03;0,0007533460038029153
2014;04;1,0061173769992859e-05
2014;05;7,518710944288882e-06
2014;06;0,0003623283068717588
2014;07;8,428053565869542e-06
2014;08;1,0213470176534012e-05
2014;09;0,001013634609337686
2014;10;7,570831801867285e-05
2014;11;3,6348568563117714e-05
2014;12;0,001404657111737981
2015;01;0,0020349091753025382
2015;02;1,7618513293125306e-05
2015;03;0,0002740115467882507
2015;04;0,0004190284068876183
2015;05;3,3922915602624905e-05
2015;06;0,001851485157591442
2015;07;0,00605600006884389
2015;08;0,0008046240560247319
2015;09;0,0034193208455602937
2015;10;0,003731786865348715
2015;11;0,0003345512166457192
2015;12;2,1535894769629804e-05
2016;01;0,00046718031660914736
2016;02;3,7246337269638164e-05
2016;03;3,2436916684432117e-05
2016;04;4,323554514143856e-05
2016;05;6,964233736007989e-06
2016;06;0,0006499999541632175
2016;07;0,0020026940495014183
2016;08;0,0033581135851440563
2016;09;0,00017228900641439937
2016;10;0,001681995521775917
2016;11;1,2628033592861196e-05
2016;12;1,5092869609405851e-05
2017;01;0,0042354517822627445
2017;02;2,1129938242138435e-05
2017;03;0,003399566301235136
2017;04;0,00028123157934301226
2017;05;6,908786015179901e-06
2017;06;0,0006677502482061776
2017;07;7,086218721829786e-06
2017;08;0,0011277844625550008
2017;09;0,000728449607499631
2017;10;0,00014344325378226646
2017;11;1,791072278188934e-05
2017;12;2,1935118359592048e-05
