Ano;Mes;MDQI
2008;01;8,886594772131344e-06
2008;02;3,92787101325293e-06
2008;03;5,207122431748969e-06
2008;04;4,1827275281948325e-06
2008;05;3,0456753846078876e-06
2008;06;2,8629348615314144e-06
2008;07;3,910254203464321e-06
2008;08;2,3579422332448163e-06
2008;09;6,35530930254846e-06
2008;10;5,521514729514945e-06
2008;11;6,923835374341931e-06
2008;12;8,311746372187977e-06
2009;01;0,00045718534950755943
2009;02;7,409693114267475e-05
2009;03;0,0008751306103502032
2009;04;1,9086232410209426e-06
2009;05;2,1221480099203347e-06
2009;06;3,0659798871719404e-06
2009;07;2,475839344907057e-06
2009;08;3,5565628684775978e-06
2009;09;2,7208033435830465e-06
2009;10;6,4057430669817515e-06
2009;11;1,1776611487150498e-05
2009;12;0,0023581387284309203
2010;01;0,0007215892719287448
2010;02;8,049284945035129e-06
2010;03;6,8969810322410885e-06
2010;04;3,999987005118359e-06
2010;05;4,4407912059444045e-06
2010;06;4,4466860615275155e-06
2010;07;5,796607990060173e-06
2010;08;5,0695758014763556e-06
2010;09;5,400997682037987e-06
2010;10;4,224646501230296e-06
2010;11;5,482215692294198e-06
2010;12;1,0866183791536529e-05
2011;01;0,0004578534331403121
2011;02;5,460460868118427e-06
2011;03;3,851305647633199e-06
2011;04;2,7208033435830465e-06
2011;05;2,908128754335274e-06
2011;06;3,837550984605938e-06
2011;07;3,1832220148805025e-06
2011;08;2,475839344907057e-06
2011;09;2,416235805122258e-06
2011;10;4,696234947879259e-06
2011;11;7,309620923058931e-06
2011;12;1,2831135652573877e-05
2012;01;0,0004541003750857308
2012;02;5,608243639243489e-06
2012;03;2,554437419348551e-06
2012;04;3,390851928196781e-06
2012;05;4,047800833736935e-06
2012;06;2,598976328198731e-06
2012;07;2,554437419348551e-06
2012;08;2,37759175185519e-06
2012;09;3,715723969221623e-06
2012;10;9,215624228265157e-06
2012;11;0,0024152408844966187
2012;12;9,864058342407483e-06
2013;01;0,0032387908535106385
2013;02;0,00025209490254883
2013;03;7,0345276625137025e-06
2013;04;3,6345059589654125e-06
2013;05;4,12639890817843e-06
2013;06;3,715723969221623e-06
2013;07;9,699002386080345e-05
2013;08;2,5740869379589247e-06
2013;09;3,9390734974262016e-06
2013;10;6,189598362267643e-06
2013;11;7,71571097433998e-06
2013;12;0,0014809449186266278
2014;01;0,00045966118885246653
2014;02;1,15518116373342e-05
2014;03;4,008501796516188e-06
2014;04;2,9847618769157303e-06
2014;05;2,5937364565692984e-06
2014;06;3,1471978974281506e-06
2014;07;4,499739761775525e-06
2014;08;3,536913349867225e-06
2014;09;3,6751149640935174e-06
2014;10;6,503990660033618e-06
2014;11;7,512665948699455e-06
2014;12;0,005176940771163436
2015;01;0,00045883590907083087
2015;02;3,023920560432117e-05
2015;03;0,0016046386382789282
2015;04;2,192886276917679e-06
2015;05;2,947427791556021e-06
2015;06;4,406077056399411e-06
2015;07;2,6133859751796717e-06
2015;08;3,910254203464321e-06
2015;09;4,994907630756936e-06
2015;10;0,0013912841652074933
2015;11;9,461898194848504e-06
2015;12;0,008020402959751968
2016;01;0,0004595432917408043
2016;02;4,389973485400335e-06
2016;03;0,0022599893829721046
2016;04;3,2284159076843608e-06
2016;05;2,495488863517431e-06
2016;06;3,6751149640935178e-06
2016;07;3,3993667195946104e-06
2016;08;3,0653249032182613e-06
2016;09;2,8426303589673624e-06
2016;10;0,005753477296710404
2016;11;7,472056943571352e-06
2016;12;0,0010028721308362413
2017;01;0,001561468645891938
2017;02;0,003190431984673466
2017;03;3,438665756815357e-06
2017;04;3,1065888923000457e-06
2017;05;3,870955166243574e-06
2017;06;2,5786718256346786e-06
2017;07;3,2814696079323696e-06
2017;08;2,1614470471410817e-06
2017;09;0,0005465972090242956
2017;10;3,713759017360586e-06
2017;11;7,329925425622983e-06
2017;12;0,0021005138899303135
