Ano;Mes;MDQI
2008;01;0,05848339410307562
2008;02;0,029608947547266295
2008;03;0,050580616473292775
2008;04;0,030895802053240537
2008;05;0,017718940828236107
2008;06;0,017915988296144325
2008;07;0,02056261287554406
2008;08;0,02138598298084545
2008;09;0,029888301632263845
2008;10;0,030643053948097153
2008;11;0,04714298713804799
2008;12;0,0896531187598215
2009;01;0,07601591938745314
2009;02;0,047043328904785825
2009;03;0,07487516295304625
2009;04;0,036962152436247245
2009;05;0,01939400554304768
2009;06;0,021633974718883724
2009;07;0,01795787508002113
2009;08;0,018628054165299786
2009;09;0,0234262976518647
2009;10;0,02826321546424692
2009;11;0,07974756759900692
2009;12;0,05488420761594615
2010;01;0,08706238718002388
2010;02;0,05496777543183366
2010;03;0,03771902003797619
2010;04;0,03595233019394948
2010;05;0,030083518840728907
2010;06;0,02303707596858646
2010;07;0,01726679279399262
2010;08;0,02049489610110595
2010;09;0,021605626218663035
2010;10;0,028953974329416918
2010;11;0,045262563984939594
2010;12;0,1193425010550329
2011;01;0,050846610270239574
2011;02;0,05514455046423361
2011;03;0,03541688767091999
2011;04;0,023076441393711945
2011;05;0,023086745468782987
2011;06;0,01728301055326422
2011;07;0,024577187939838187
2011;08;0,021162828262525496
2011;09;0,020847340482666784
2011;10;0,03120440475151314
2011;11;0,027598850956426214
2011;12;0,037823479301223935
2012;01;0,05823675986498302
2012;02;0,07343829858098141
2012;03;0,055022200515575964
2012;04;0,03743469584375221
2012;05;0,025136967031362832
2012;06;0,02314362176920909
2012;07;0,02182055280772655
2012;08;0,018898672313118238
2012;09;0,024885392319790308
2012;10;0,02300254823861823
2012;11;0,0516169726545735
2012;12;0,03587019888544405
2013;01;0,06741639706984788
2013;02;0,06208564661115603
2013;03;0,0611938081224164
2013;04;0,04322326610370708
2013;05;0,04174033285975442
2013;06;0,023937227332574404
2013;07;0,027001726590764212
2013;08;0,020365419950750155
2013;09;0,023069604919822115
2013;10;0,02333038350814174
2013;11;0,034385352919186075
2013;12;0,030386127283288846
2014;01;0,05148201877620361
2014;02;0,03542462970970398
2014;03;0,14172297480553783
2014;04;0,03034845026635277
2014;05;0,02390086953229803
2014;06;0,023918383055488716
2014;07;0,016498815780341448
2014;08;0,01911839423109789
2014;09;0,025299262833456928
2014;10;0,025241193658554456
2014;11;0,08594789176278773
2014;12;0,05107242611807952
2015;01;0,04548674362585149
2015;02;0,05241137854271237
2015;03;0,028557863214447452
2015;04;0,02773894003931618
2015;05;0,023932525058080713
2015;06;0,023261319347995052
2015;07;0,01827553110357688
2015;08;0,021415153272662756
2015;09;0,024791147481621263
2015;10;0,03630954626255083
2015;11;0,025678270848196506
2015;12;0,0685636048992745
2016;01;0,04756572127458776
2016;02;0,044899639091435656
2016;03;0,0452522124369823
2016;04;0,03537926834016042
2016;05;0,022264638016707944
2016;06;0,020805817405404544
2016;07;0,02164149680716659
2016;08;0,022401484758207614
2016;09;0,02171358504690783
2016;10;0,047213107428062465
2016;11;0,03692961175864128
2016;12;0,06229589023100602
2017;01;0,08928528143674577
2017;02;0,03663522458243902
2017;03;0,03818597166905908
2017;04;0,045013841807512105
2017;05;0,023409491115322617
2017;06;0,02023789756499575
2017;07;0,019237997534193984
2017;08;0,021269052155369658
2017;09;0,02626574441109465
2017;10;0,027882725009338354
2017;11;0,040752689912085055
2017;12;0,052508897024115035
