Ano;Mes;MDQI
2008;01;0,0015164898488178996
2008;02;0,002116241875263025
2008;03;0,002359173593206646
2008;04;0,002265610965000537
2008;05;0,00431720318896144
2008;06;0,0044779431665046086
2008;07;0,001733283089951363
2008;08;0,003352092650974786
2008;09;0,001164534108962371
2008;10;0,0031162337343706584
2008;11;0,0018720270719675485
2008;12;0,0009784332077370985
2009;01;0,003189355218644076
2009;02;0,0025694885439727826
2009;03;0,0015469957288927942
2009;04;0,004839836543778995
2009;05;0,0018062771245130357
2009;06;0,0015196437810133178
2009;07;0,00028972267467098115
2009;08;0,011996059803399156
2009;09;0,007960417167968999
2009;10;0,002568256667156451
2009;11;0,0017288715432419283
2009;12;0,005963443729014809
2010;01;0,02409564832582157
2010;02;0,01747600860018699
2010;03;0,014751372881826014
2010;04;0,020815028469281835
2010;05;0,02335220590501576
2010;06;0,04360665391775686
2010;07;0,006837043186194319
2010;08;0,002596842531808385
2010;09;0,0019751663620155655
2010;10;2,4052298582681287e-05
2010;11;0,0015936664935854408
2010;12;1,0996309189251317e-05
2011;01;0,013914319981657836
2011;02;0,008762858970160678
2011;03;0,014532581508070836
2011;04;0,014429070000333027
2011;05;0,012258461926601487
2011;06;0,012325001512701769
2011;07;0,02732674185736355
2011;08;0,00543453714435224
2011;09;0,009019367038674037
2011;10;0,011253888369826782
2011;11;0,004458835046086981
2011;12;0,0006609701018864219
2012;01;0,01264175536228379
2012;02;0,01651057573841803
2012;03;0,03999950022966285
2012;04;0,02627510791778595
2012;05;0,025064849853965836
2012;06;0,019228884442249267
2012;07;0,0017818446645703548
2012;08;0,0026011434618215183
2012;09;0,006318971578561757
2012;10;0,004161013610502967
2012;11;0,004213079640347531
2012;12;0,0009275710221991993
2013;01;0,022892256051817064
2013;02;0,03522831142478817
2013;03;0,03130523829671551
2013;04;0,02745647523132611
2013;05;0,02340872511855247
2013;06;0,022065927295565977
2013;07;0,005709813687343224
2013;08;0,0036566132484350177
2013;09;0,008503846483988577
2013;10;0,009135561183305456
2013;11;0,005483139355715691
2013;12;0,002403334725518278
2014;01;0,006799804395064776
2014;02;0,002514923230133903
2014;03;0,019424157445540807
2014;04;0,039410788589022146
2014;05;0,017514975747520926
2014;06;0,030801193697591926
2014;07;0,008656240122897202
2014;08;0,004877538337400721
2014;09;0,009851083305541837
2014;10;0,005613377531006527
2014;11;0,00706696742461234
2014;12;0,00040981394607990997
2015;01;0,007138874283883804
2015;02;0,0045075999946125695
2015;03;0,01658860194990322
2015;04;0,012511222136385192
2015;05;0,012869091855563739
2015;06;0,0074416484087080955
2015;07;0,0142649252144303
2015;08;0,014188592217772406
2015;09;0,0023227887466245644
2015;10;0,009655894278192505
2015;11;0,0022789497112264048
2015;12;0,0020649684189177554
2016;01;0,0011938088033024243
2016;02;0,0013725069473891787
2016;03;0,004232364791129817
2016;04;0,0026847524821208037
2016;05;0,003236744885490632
2016;06;0,00553032040665176
2016;07;0,01565266170373387
2016;08;0,008546628822113943
2016;09;0,029478265641688095
2016;10;0,014775260632954366
2016;11;0,008021142176611333
2016;12;0,007574732120148782
2017;01;0,010893682644201784
2017;02;0,006875700692505825
2017;03;0,006404510343316803
2017;04;0,004383170641671674
2017;05;0,010884292091204775
2017;06;0,008248387506818881
2017;07;0,01399228710475872
2017;08;0,01721946554169771
2017;09;0,011465769317905184
2017;10;0,004928826076699811
2017;11;0,006854116213958415
2017;12;0,0066581347109382375
