Ano;Mes;MDQI
2008;01;1,3740601606181564e-05
2008;02;0,0011322495580408287
2008;03;0,00018365328330966358
2008;04;0,00101303506646279
2008;05;0,002562285095434851
2008;06;0,0004749189754189675
2008;07;8,09567851770459e-05
2008;08;0,0001306658442413072
2008;09;0,0019033207585770243
2008;10;0,0020929291729396803
2008;11;0,0010476832525292074
2008;12;0,0016478517522535772
2009;01;0,001287827313886296
2009;02;0,0006246830171252007
2009;03;2,382336879331551e-05
2009;04;0,00023443190496094419
2009;05;0,0009018745165278426
2009;06;0,0018384114420288444
2009;07;0,00010943104447508628
2009;08;1,3497538498421745e-05
2009;09;2,5624225835333595e-05
2009;10;0,0069130651564442945
2009;11;0,00031011412517261626
2009;12;0,003466477945761685
2010;01;0,007051062909111243
2010;02;0,02510605147864874
2010;03;0,022743288366760296
2010;04;0,019305381396062502
2010;05;0,014465435748047237
2010;06;0,042899421937453074
2010;07;0,00979150413439987
2010;08;0,023831091831676567
2010;09;0,018244390006742984
2010;10;0,00867568154320131
2010;11;0,005623147075266883
2010;12;0,01879168129492625
2011;01;0,011149542827419421
2011;02;0,014520531987020616
2011;03;0,019846615622361116
2011;04;0,024424259579653936
2011;05;0,006016125988556021
2011;06;0,018990718548265256
2011;07;0,029273700440210344
2011;08;0,021821281325738753
2011;09;0,006663900690582807
2011;10;0,006889142227303782
2011;11;0,002481089365424535
2011;12;0,004689043452061038
2012;01;0,03819528892953226
2012;02;0,027443811175897535
2012;03;0,04864840001686268
2012;04;0,04625054452398463
2012;05;0,07438398173005047
2012;06;0,06305311438325199
2012;07;0,06557438440841727
2012;08;0,06329399021316098
2012;09;0,02003930566651793
2012;10;0,061980568778591955
2012;11;0,0333957515077656
2012;12;0,03363265156114322
2013;01;0,02805550136628087
2013;02;0,04184812479670895
2013;03;0,03353578645477494
2013;04;0,015494889263956422
2013;05;0,027506696286723333
2013;06;0,041691658921345756
2013;07;0,048537319115205486
2013;08;0,04815579675329726
2013;09;0,03624258315711626
2013;10;0,009300920523591848
2013;11;0,01985837820328543
2013;12;0,00742097937911778
2014;01;0,00456379653528854
2014;02;0,004137831145537373
2014;03;0,004988364524452278
2014;04;0,02009576420597674
2014;05;0,019020534975862875
2014;06;0,02821867318978476
2014;07;0,028051817633434617
2014;08;0,010576715258374177
2014;09;0,04487568392506409
2014;10;0,007341594225135756
2014;11;0,02199288282902035
2014;12;0,0019283843648382666
2015;01;0,018046344090003916
2015;02;0,01663073564214022
2015;03;0,028836922085608358
2015;04;0,044608734899563615
2015;05;0,016262940925043063
2015;06;0,06849916256473294
2015;07;0,05292839267101581
2015;08;0,041947298839598544
2015;09;0,066135685970887
2015;10;0,07653398031629355
2015;11;0,030974853720722836
2015;12;0,025088475013681014
2016;01;0,024553757723251704
2016;02;0,008629431838368314
2016;03;0,018278589934198577
2016;04;0,0054521474379889325
2016;05;0,007702792053309275
2016;06;0,02133004061663924
2016;07;0,0033391118158845857
2016;08;0,022917078064244187
2016;09;0,009939429238924486
2016;10;0,016158452340660916
2016;11;0,01522036393308278
2016;12;0,02074885993446426
2017;01;0,014770175747907285
2017;02;0,0058755681126754595
2017;03;0,01368503907800519
2017;04;0,010250131244242447
2017;05;0,010800107343121765
2017;06;0,006254104138264708
2017;07;0,0075224953759907886
2017;08;0,008155393391662043
2017;09;0,006393622793759299
2017;10;0,005594210571499719
2017;11;0,004818162792242568
2017;12;0,005933526457650244
