Ano;Mes;MDQI
2008;01;1,4501575362845745e-05
2008;02;0,001417617223250303
2008;03;8,078611029613857e-06
2008;04;4,689079009327894e-05
2008;05;1,0361387561749462e-05
2008;06;0,0011476522712455474
2008;07;1,0020037799934793e-05
2008;08;0,0009837984593633632
2008;09;0,0005979475928365629
2008;10;1,1036975632007663e-05
2008;11;0,00011465867384821053
2008;12;1,9599165490858965e-05
2009;01;0,00046095729606385606
2009;02;1,4479173044116457e-05
2009;03;7,979761827755023e-05
2009;04;8,384640573018536e-06
2009;05;0,002904865138682728
2009;06;2,19499749269118e-05
2009;07;0,004538415758206944
2009;08;1,262282973377165e-05
2009;09;8,949005512552123e-05
2009;10;2,054498878922045e-05
2009;11;1,3991547459270193e-05
2009;12;1,4457584703525503e-05
2010;01;0,0004658641988899419
2010;02;2,83757148727546e-05
2010;03;1,8112871736290926e-05
2010;04;3,793296637854661e-05
2010;05;0,0019282776930376992
2010;06;8,289110049399569e-06
2010;07;9,444010076872537e-06
2010;08;0,0004727338628464622
2010;09;0,0005639460749300276
2010;10;0,0008714659419128523
2010;11;1,3609425364794328e-05
2010;12;1,6498571821042384e-05
2011;01;0,0004639583293864767
2011;02;0,0003268954788573525
2011;03;1,0546285349399075e-05
2011;04;0,0009404759595232761
2011;05;7,537429428070182e-05
2011;06;0,0033946551112945286
2011;07;0,00015774625867860437
2011;08;0,000328911829868548
2011;09;0,004775438602679438
2011;10;0,0004214816184006637
2011;11;0,00030472032483905314
2011;12;1,3703770646184773e-05
2012;01;0,0004682678701293869
2012;02;2,121689852152806e-05
2012;03;0,0007801193233605725
2012;04;0,0003821735339885845
2012;05;3,727823857151042e-05
2012;06;0,0007968347945094344
2012;07;0,00010726205119688888
2012;08;6,084559504346492e-05
2012;09;0,00012003777717814003
2012;10;0,0023338581017004964
2012;11;1,7268979269582435e-05
2012;12;2,3176226536541865e-05
2013;01;0,000473395228009978
2013;02;0,00042628921486003113
2013;03;4,128198681946165e-05
2013;04;1,3954804950185975e-05
2013;05;9,89558736593986e-05
2013;06;0,0006827419553011209
2013;07;7,372443709859758e-05
2013;08;0,0003338329556013761
2013;09;0,00024483003503177785
2013;10;1,6598132168238325e-05
2013;11;3,6779251593302156e-05
2013;12;1,6455903100815546e-05
2014;01;0,0004677771798467782
2014;02;3,7548219819136154e-05
2014;03;4,2704277493689434e-05
2014;04;0,0006392314760435902
2014;05;6,0788703416495815e-05
2014;06;0,0022827679983915593
2014;07;0,00047176670518798725
2014;08;4,632400725959917e-05
2014;09;0,0007405599675960464
2014;10;1,4471807610267779e-05
2014;11;0,0007791910416471931
2014;12;1,479893446534017e-05
2015;01;0,000754902109706514
2015;02;1,730572177866665e-05
2015;03;1,3369532337741242e-05
2015;04;3,284780312129084e-05
2015;05;0,00043626632995926156
2015;06;0,003290519492048039
2015;07;0,003658963654158303
2015;08;0,00047231428709756495
2015;09;0,0007580567504219508
2015;10;0,0009450125926771714
2015;11;1,8077314469435233e-05
2015;12;4,2412707905472746e-05
2016;01;0,00046793363182094335
2016;02;5,710546101530591e-05
2016;03;0,00039241710847281883
2016;04;0,0002878849071766645
2016;05;0,00012019778487899065
2016;06;0,002445794511198235
2016;07;0,0037054654477521806
2016;08;0,001354710532841858
2016;09;1,4954201197276702e-05
2016;10;0,001539003846954924
2016;11;0,00013354432351749852
2016;12;2,1945945103334824e-05
2017;01;0,0004641147813606417
2017;02;1,4959450127145876e-05
2017;03;1,1897461489915475e-05
2017;04;0,0011811687880321712
2017;05;0,0035528749927676516
2017;06;0,0004497062656853771
2017;07;0,001880666512717924
2017;08;1,2103693637678507e-05
2017;09;1,2683514135872035e-05
2017;10;0,003718934540437118
2017;11;1,1691466390598151e-05
2017;12;1,664080088846516e-05
