Ano;Mes;MDQI
2008;01;3,412197066336705e-05
2008;02;5,452996544886554e-06
2008;03;3,593012309660173e-06
2008;04;2,2001655624585747e-06
2008;05;2,971997836385575e-06
2008;06;2,3032983231988202e-06
2008;07;2,217908833123564e-06
2008;08;1,286387123211667e-06
2008;09;4,675351820224472e-06
2008;10;2,761296497238837e-06
2008;11;2,4350790730335792e-05
2008;12;1,439422832697193e-05
2009;01;0,0004576322190825504
2009;02;7,74723476513036e-06
2009;03;0,0005665204532447518
2009;04;3,2314931698610323e-06
2009;05;2,4507892606015377e-06
2009;06;3,4492178869793283e-06
2009;07;7,493204992707958e-05
2009;08;2,317714730614124e-06
2009;09;0,0023329776399007357
2009;10;5,245354390337228e-06
2009;11;6,4629863397220646e-06
2009;12;1,1222618695605233e-05
2010;01;0,0004574326072875693
2010;02;0,0012215952732585985
2010;03;4,003325443788032e-06
2010;04;5,477495514870827e-06
2010;05;2,8389233063981615e-06
2010;06;3,2314931698610323e-06
2010;07;2,2400879214547996e-06
2010;08;1,4416407415303163e-06
2010;09;2,8762581050890747e-06
2010;10;8,59439672835381e-06
2010;11;6,142128861863522e-06
2010;12;7,097308265995404e-06
2011;01;0,00045359562500626554
2011;02;4,370864621848508e-06
2011;03;4,391459489584656e-06
2011;04;2,612696605419558e-06
2011;05;2,805654673901308e-06
2011;06;2,2345431493719907e-06
2011;07;2,007207493976825e-06
2011;08;1,7965061548300865e-06
2011;09;1,9251448671512536e-06
2011;10;3,4599377796727593e-06
2011;11;5,351444362854971e-06
2011;12;9,492649805768853e-06
2012;01;0,00045875226304327785
2012;02;0,0013786834873117304
2012;03;3,3157737055197274e-06
2012;04;2,475186257765897e-06
2012;05;4,080952252947357e-06
2012;06;2,0397368235293037e-06
2012;07;1,7299688898363797e-06
2012;08;1,4859989181927876e-06
2012;09;2,028277627891499e-06
2012;10;3,238146896360403e-06
2012;11;0,001268830896191605
2012;12;0,0028049005848980457
2013;01;0,0004558800711043828
2013;02;7,3420703479365394e-06
2013;03;4,72414581455319e-06
2013;04;5,213934015201311e-06
2013;05;3,437758691341524e-06
2013;06;3,873208125578116e-06
2013;07;3,448848235507142e-05
2013;08;1,8630434198237938e-06
2013;09;2,2230839537341854e-06
2013;10;2,79456512973569e-06
2013;11;4,984750102445209e-06
2013;12;8,705292170009988e-06
2014;01;0,0008162348087661339
2014;02;3,5728134970727975e-06
2014;03;5,1788171253435215e-06
2014;04;3,781534560475676e-06
2014;05;3,40449005884467e-06
2014;06;3,4606770826171336e-06
2014;07;2,4064310839390666e-06
2014;08;2,2511774656204178e-06
2014;09;2,8682366681426112e-05
2014;10;5,3229811994965525e-06
2014;11;7,3109668169196405e-06
2014;12;0,001654515631333516
2015;01;0,0018142605150392407
2015;02;5,095249488952615e-06
2015;03;1,9539776819818595e-05
2015;04;2,8418805181756595e-06
2015;05;2,705848776410748e-06
2015;06;3,6669426040976247e-06
2015;07;2,9387292038887214e-06
2015;08;3,4932064121696122e-06
2015;09;6,187965644414742e-06
2015;10;8,416964021703924e-06
2015;11;5,133719645736675e-06
2015;12;0,00037846396328420484
2016;01;0,00045798708449585024
2016;02;5,5122682464614084e-06
2016;03;0,0018544933812721016
2016;04;3,2429523654988376e-06
2016;05;3,661767483487004e-05
2016;06;2,9793908658293207e-06
2016;07;1,6967002573395264e-06
2016;08;2,2955356422828885e-06
2016;09;4,698270211500082e-06
2016;10;0,0030578863559482853
2016;11;3,2612870785193246e-05
2016;12;0,0002604157656412032
2017;01;0,0005204433972366098
2017;02;0,0005477822920460478
2017;03;4,180758150437918e-06
2017;04;3,1054420178451765e-06
2017;05;2,8943710272262508e-06
2017;06;3,0023092571049305e-06
2017;07;2,195729744792328e-06
2017;08;1,3418348440397561e-06
2017;09;3,4492178869793283e-06
2017;10;3,227057352194785e-06
2017;11;0,00024253387567414451
2017;12;6,775711485192487e-06
