Ano;Mes;MDQI
2008;01;0,0067014184608436556
2008;02;0,005006988844876096
2008;03;0,004351770011015909
2008;04;0,001401207524199529
2008;05;0,0035497187292376007
2008;06;0,00169413894228874
2008;07;0,030073102718721517
2008;08;0,022022492878072945
2008;09;0,026445806713621865
2008;10;0,020199227653171222
2008;11;0,04804266625230215
2008;12;0,05501698075360816
2009;01;0,004764955337082664
2009;02;0,005064162328215198
2009;03;0,008391934920522124
2009;04;0,0115479241896286
2009;05;0,0023624055936015634
2009;06;0,012496757047634501
2009;07;0,005013194783230019
2009;08;0,0030409637115515527
2009;09;0,006902916319453038
2009;10;0,0037056266306620214
2009;11;0,0030986696332232326
2009;12;0,008706988870267328
2010;01;0,01483826476490743
2010;02;0,00645801386732923
2010;03;0,009985635491651393
2010;04;0,005725323538929638
2010;05;0,008512600250588212
2010;06;0,004948057758012957
2010;07;0,0063304441078546
2010;08;0,0056612455651803935
2010;09;0,010135578327269126
2010;10;0,02911425637198554
2010;11;0,011055018348464054
2010;12;0,020044428706163363
2011;01;0,031182423090240764
2011;02;0,019383839214258018
2011;03;0,02539436858752653
2011;04;0,01773008002185498
2011;05;0,010199441903164505
2011;06;0,01282581930956971
2011;07;0,006839565080498114
2011;08;0,007431280978087149
2011;09;0,00610647930423431
2011;10;0,0080863070833177
2011;11;0,001658363333507513
2011;12;0,008247781935913258
2012;01;0,01831882909672824
2012;02;0,008077689742704864
2012;03;0,01421543160638967
2012;04;0,009086202486737124
2012;05;0,010240462127033124
2012;06;0,004007979725474342
2012;07;0,0047470789918876875
2012;08;0,006256133072400795
2012;09;0,008994059094613536
2012;10;0,011423006758677946
2012;11;0,022876565211532168
2012;12;0,014516900864531992
2013;01;0,008191480320184416
2013;02;0,004930850957248818
2013;03;0,005400885247260017
2013;04;0,009082203227459531
2013;05;0,003642460587094663
2013;06;0,005662630279595206
2013;07;0,0038127848959343875
2013;08;0,005469629331542682
2013;09;0,008354200528589775
2013;10;0,011754639576950745
2013;11;0,01881206873317217
2013;12;0,01937569592434411
2014;01;0,015028927297746896
2014;02;0,004168171913865089
2014;03;0,015231788329168544
2014;04;0,00945063928560624
2014;05;0,013098636882102797
2014;06;0,005618626968346034
2014;07;0,01574258382298107
2014;08;0,012515459933521288
2014;09;0,020791346840516416
2014;10;0,01846216145506885
2014;11;0,026029528513687325
2014;12;0,027984087657434934
2015;01;0,06295750468932464
2015;02;0,10219257057129262
2015;03;0,08407413706268495
2015;04;0,057519123105680366
2015;05;0,07328177050161734
2015;06;0,0354429254134707
2015;07;0,001780160166729966
2015;08;0,0010851451652382003
2015;09;0,000506164130517488
2015;10;0,0024224000275375563
2015;11;8,87170926278869e-05
2015;12;0,00037207638584480895
2016;01;0,0031517482577660748
2016;02;0,004314138216486997
2016;03;0,004314608948516924
2016;04;0,008427940452519054
2016;05;0,0057871784287251505
2016;06;0,002988775947056682
2016;07;0,00256597635584981
2016;08;0,002130933538232623
2016;09;0,001020429912350904
2016;10;0,0016448011906444347
2016;11;0,0029384357006198045
2016;12;0,0027372543654877774
2017;01;0,015527446666168083
2017;02;0,0063008837397156995
2017;03;0,007327582650594456
2017;04;0,010408490530579094
2017;05;0,007878300503403202
2017;06;0,011231959788307402
2017;07;0,0031642350844965604
2017;08;0,002093794654821969
2017;09;0,004629549415260164
2017;10;0,001451710047632697
2017;11;0,0023249791213455478
2017;12;0,004052141617205082
