Ano;Mes;MDQI
2008;01;9,523635975242268e-05
2008;02;0,0001345559615708925
2008;03;0,0017860537251425555
2008;04;0,00015957041248679322
2008;05;0,0036420282079309813
2008;06;8,350670050503402e-06
2008;07;6,280570567436815e-06
2008;08;5,841369828455219e-06
2008;09;6,762227377853297e-06
2008;10;8,60833448403927e-06
2008;11;1,1255250937635017e-05
2008;12;0,0013023619513021249
2009;01;0,0004570762090581463
2009;02;0,0032529685076004063
2009;03;1,0101616996576694e-05
2009;04;4,629175788866015e-06
2009;05;1,2341540765382832e-05
2009;06;3,7668783379988166e-06
2009;07;6,148810345742336e-06
2009;08;5,490009237269942e-06
2009;09;0,0024894527406536028
2009;10;4,045038806020494e-05
2009;11;0,0006320186474092954
2009;12;0,000527743607960285
2010;01;0,0006960892512119308
2010;02;9,530656035900622e-06
2010;03;8,344814040650312e-06
2010;04;4,992248399757468e-06
2010;05;0,0013873472942950633
2010;06;5,809161774263235e-06
2010;07;5,6656895328625815e-06
2010;08;5,2704088677791454e-06
2010;09;6,7622273778532975e-06
2010;10;8,784014779631909e-06
2010;11;3,789570376179532e-05
2010;12;1,0277297292169334e-05
2011;01;0,0004594039729747487
2011;02;0,00036342920006286343
2011;03;6,280570567436815e-06
2011;04;7,851445210527654e-06
2011;05;4,699447907103072e-06
2011;06;0,0005028555660846612
2011;07;0,0016965885346120048
2011;08;4,611607759306752e-06
2011;09;8,255363490144393e-05
2011;10;5,533929311168102e-06
2011;11;7,216068141467612e-06
2011;12;1,1858419952503078e-05
2012;01;0,0006104451071105195
2012;02;8,028286611522196e-06
2012;03;5,094728572186507e-06
2012;04;0,004704286435244184
2012;05;5,929209976251538e-06
2012;06;5,083016552480331e-06
2012;07;0,0009359367747697798
2012;08;4,655527833204911e-06
2012;09;5,582241392456077e-06
2012;10;8,037373523363196e-06
2012;11;9,802960494069209e-06
2012;12;0,002781458279970443
2013;01;0,0015601288650104234
2013;02;8,966596801122828e-05
2013;03;1,853427118502333e-05
2013;04;6,444538843323276e-06
2013;05;9,57457610979878e-06
2013;06;0,0005300406278251588
2013;07;0,0007382525221541637
2013;08;7,993453449465035e-06
2013;09;7,352220370551908e-06
2013;10;8,56441441014111e-06
2013;11;1,1028330555827861e-05
2013;12;1,0804338178947248e-05
2014;01;0,000645844686672436
2014;02;0,0017919578379337222
2014;03;6,456250863029452e-06
2014;04;0,00015616660675968585
2014;05;0,0017967702231737068
2014;06;3,993798719805975e-06
2014;07;0,0005047734093115476
2014;08;0,0014890661854432008
2014;09;8,441438203226264e-06
2014;10;1,4801064903679766e-05
2014;11;0,00031709854153732207
2014;12;0,00010914138363692646
2015;01;0,0005197062344369218
2015;02;1,006553979301749e-05
2015;03;9,530656035900622e-06
2015;04;5,037632476118899e-06
2015;05;0,00033489056347346647
2015;06;0,0002675391301506388
2015;07;3,2061653945656464e-06
2015;08;1,2824661578262586e-05
2015;09;0,0004530692343161709
2015;10;7,642092858279762e-06
2015;11;1,0483721639490683e-05
2015;12;0,0006099619862976398
2016;01;0,0005657344718821931
2016;02;0,00047282382727859674
2016;03;6,807611454214729e-06
2016;04;5,899929926986097e-06
2016;05;6,500170936927613e-06
2016;06;0,0031915444019649485
2016;07;5,094728572186507e-06
2016;08;6,017050124047858e-06
2016;09;7,4429885232747696e-06
2016;10;0,00035026258933782236
2016;11;0,00039488684842081564
2016;12;0,0002723922983163855
2017;01;0,0004794754467462076
2017;02;0,00029292179571563945
2017;03;7,510332636585282e-06
2017;04;4,992248399757467e-06
2017;05;5,182568719982826e-06
2017;06;4,538407636143152e-06
2017;07;6,017050124047858e-06
2017;08;4,962968350492028e-06
2017;09;6,9891477596604535e-06
2017;10;6,324490641334975e-06
2017;11;2,323664709705294e-05
2017;12;0,0002670779693747081
