Ano;Mes;MDQI
2008;01;0,0009576352197779433
2008;02;6,788495299077233e-06
2008;03;8,640415845933834e-06
2008;04;0,0006159440737860129
2008;05;4,6651134114671565e-06
2008;06;7,1500922677888125e-06
2008;07;0,0008133013647903069
2008;08;0,0028595580692552017
2008;09;0,0038478372183392735
2008;10;6,578094368303538e-06
2008;11;1,2374877059564603e-05
2008;12;1,2793504614678985e-05
2009;01;0,0004593501076019786
2009;02;8,156837016696384e-06
2009;03;7,907936148706522e-06
2009;04;0,0004677688831511787
2009;05;0,0029280698110327546
2009;06;3,997584988362912e-06
2009;07;5,3883482193119884e-05
2009;08;0,0005128069025928302
2009;09;0,0030372460284287073
2009;10;0,00029248696570157416
2009;11;9,913128950922e-06
2009;12;9,62179641115101e-06
2010;01;0,0004620240140695268
2010;02;9,282732473634205e-06
2010;03;7,275016798675154e-06
2010;04;0,001972323190637186
2010;05;0,0035230922260493223
2010;06;4,1298580210660975e-06
2010;07;0,00031728460360673565
2010;08;0,002161625812504882
2010;09;1,2125027997791922e-05
2010;10;0,00011337790109606839
2010;11;1,216177050687614e-05
2010;12;1,5517191255825207e-05
2011;01;0,0004579704856479776
2011;02;7,115186884158805e-05
2011;03;4,77178521203424e-06
2011;04;3,4464473520996432e-06
2011;05;0,0004369419180295197
2011;06;0,0038551783716543
2011;07;0,0009091993135001157
2011;08;0,00039533280435498575
2011;09;0,0005900259078780056
2011;10;0,0003263374837481956
2011;11;7,760017918586831e-06
2011;12;1,037561046849174e-05
2012;01;0,0005773362304825452
2012;02;9,555586328040404e-06
2012;03;7,737261267799186e-06
2012;04;0,0024785541322977236
2012;05;6,243856059860006e-06
2012;06;0,0035952398168870915
2012;07;0,0005767459798527406
2012;08;0,004632123379278443
2012;09;0,0028506528702954156
2012;10;5,440261828921303e-05
2012;11;1,8599058098431122e-05
2012;12;1,030449593478035e-05
2013;01;0,000462237357670661
2013;02;1,115660043692932e-05
2013;03;0,0014101656462299995
2013;04;6,4078935842876106e-06
2013;05;0,002102373183016552
2013;06;0,0013700546787323187
2013;07;3,633952672652008e-06
2013;08;0,0055985058893358855
2013;09;0,0054165512951881425
2013;10;8,818202180212308e-06
2013;11;1,2022148972356111e-05
2013;12;1,2366817412410648e-05
2014;01;0,00045915098690758676
2014;02;0,0009450671984798427
2014;03;0,0012932320184483618
2014;04;1,5836021415297936e-05
2014;05;6,115849899179504e-06
2014;06;0,0025092635213903127
2014;07;0,0017620261361272127
2014;08;7,3105740655308484e-06
2014;09;0,00012526991047173266
2014;10;0,00131663581149278
2014;11;0,0029665240469434052
2014;12;2,1469477727468513e-05
2015;01;0,0004598336864312161
2015;02;1,347137850923505e-05
2015;03;0,0014842669903572677
2015;04;0,0014122056851537332
2015;05;0,0026923393546862398
2015;06;0,0012055290715550073
2015;07;0,0023569916595168115
2015;08;5,1202464272200495e-06
2015;09;5,2468302972263225e-06
2015;10;7,78704144139716e-06
2015;11;9,68532539459985e-06
2015;12;9,088437408315589e-06
2016;01;0,00045855362482441096
2016;02;9,988894538619803e-06
2016;03;6,172741526148615e-06
2016;04;4,519328617358808e-06
2016;05;5,4900420025192766e-06
2016;06;0,0014685025575725723
2016;07;0,002133158664660213
2016;08;0,0020792182908401236
2016;09;0,001255219640840504
2016;10;0,0016018264260355653
2016;11;9,207672776505018e-06
2016;12;1,20112447438537e-05
2017;01;0,0004577073618732456
2017;02;1,091252519801273e-05
2017;03;0,0019989655395468205
2017;04;0,003078640139162988
2017;05;4,153088768745152e-06
2017;06;5,665694900786408e-06
2017;07;0,0021827326061104224
2017;08;0,0028096498894965476
2017;09;7,421986835012025e-06
2017;10;0,002820501967340907
2017;11;1,1706163394231836e-05
2017;12;1,2260145611843563e-05
