Ano;Mes;MDQI
2008;01;0,004310428159658698
2008;02;4,690371332061201e-05
2008;03;0,0005011583419709046
2008;04;5,250504548134744e-05
2008;05;9,95603471959454e-07
2008;06;1,0802297670760078e-06
2008;07;2,806890645588547e-05
2008;08;0,0004072231543915302
2008;09;0,00013208197165594666
2008;10;0,0007045103511186232
2008;11;0,0026171542250652104
2008;12;0,0016933934996423508
2009;01;0,005046806448256298
2009;02;0,004188669655785256
2009;03;0,0001696935003421178
2009;04;5,095451159799346e-05
2009;05;0,00019141187893757623
2009;06;3,278901510675609e-05
2009;07;5,973620831756725e-07
2009;08;1,173389806237928e-06
2009;09;5,933180366919514e-05
2009;10;9,615396103116984e-05
2009;11;1,2808438666758378e-05
2009;12;0,011329633272590145
2010;01;0,005625863650454658
2010;02;0,0031128647365889625
2010;03;0,00010405478572650523
2010;04;1,0581842616254771e-06
2010;05;1,0027149253305931e-06
2010;06;1,1831087925118176e-06
2010;07;7,253682438561737e-07
2010;08;1,723816297164083e-05
2010;09;0,0007218800759776299
2010;10;0,0010095774778337422
2010;11;0,0018148374482004105
2010;12;0,005376059627886659
2011;01;0,0055497070963031305
2011;02;0,004686732737676373
2011;03;1,6598132168238328e-05
2011;04;7,495471853180461e-07
2011;05;5,19136096093144e-07
2011;06;0,001182528260868287
2011;07;1,1876127129802058e-06
2011;08;8,099945389727272e-06
2011;09;6,378499577020236e-06
2011;10;0,0001474559856505663
2011;11;0,0020853431485802396
2011;12;0,005819465857030545
2012;01;0,0033589812166035485
2012;02;6,63037581170791e-05
2012;03;0,001054962773248351
2012;04;1,067002463805689e-05
2012;05;1,1143647432574745e-05
2012;06;1,1096237743433818e-06
2012;07;1,147077428764714e-05
2012;08;9,600462051037593e-07
2012;09;5,717134413504312e-06
2012;10;0,0002351330942633385
2012;11;0,0031186821255629682
2012;12;0,006712216378883216
2013;01;0,003008557240287305
2013;02;6,131012533688682e-05
2013;03;0,00042182296816247844
2013;04;1,131669279793913e-06
2013;05;9,479567343728231e-06
2013;06;2,358869083206792e-06
2013;07;1,9414267703209354e-06
2013;08;1,0524950989285659e-06
2013;09;0,0016353208973167383
2013;10;0,0004676136164192421
2013;11;0,0019091922115286823
2013;12;0,005044175210508976
2014;01;0,003794067045303201
2014;02;0,0006134870497142525
2014;03;9,198664935568242e-05
2014;04;1,1390177816107565e-06
2014;05;1,3077962749524542e-05
2014;06;8,524262107538564e-07
2014;07;6,698989075612898e-06
2014;08;2,0993010351602202e-05
2014;09;2,2258612003219227e-05
2014;10;1,1741009515750418e-05
2014;11;0,0007865836344749379
2014;12;0,0002410071547478993
2015;01;0,0013814424860639695
2015;02;0,0017071330815358686
2015;03;0,0005760135001555131
2015;04;9,626537380065103e-07
2015;05;9,031545781346476e-07
2015;06;7,054561744169846e-07
2015;07;1,834754969753851e-06
2015;08;8,717930687679248e-05
2015;09;0,0001988063681528865
2015;10;0,0021210265252090492
2015;11;0,0021465047292018287
2015;12;0,00045429386425509895
2016;01;0,0030424575385075247
2016;02;0,008671629976560003
2016;03;0,0005974118633492705
2016;04;0,00012478490935182097
2016;05;1,8966246140827593e-05
2016;06;0,001510771140023057
2016;07;6,68476616887062e-07
2016;08;9,529347517326204e-07
2016;09;7,495471853180462e-07
2016;10;0,0031782791864429076
2016;11;0,0026364146483271573
2016;12;0,003448571306173157
2017;01;0,004829992457877013
2017;02;0,001966648047662635
2017;03;7,491916126494891e-05
2017;04;6,106605009797023e-06
2017;05;7,609255107118685e-07
2017;06;6,855417344933383e-05
2017;07;7,395911505984517e-07
2017;08;1,152055446124511e-06
2017;09;2,0575805087162053e-06
2017;10;1,2985513855699738e-05
2017;11;0,0034752902217307542
2017;12;0,005375256033655721
