Ano;Mes;MDQI
2008;01;0,04103722560856741
2008;02;0,03688824254507667
2008;03;0,05367630422205849
2008;04;0,03292693178885462
2008;05;0,03432056378009361
2008;06;0,026736855146920063
2008;07;0,028158347204934278
2008;08;0,029395519636457954
2008;09;0,05506880549221147
2008;10;0,04913366426054909
2008;11;0,07857772833705755
2008;12;0,05097115002839745
2009;01;0,07310112532207061
2009;02;0,04464056598496925
2009;03;0,06441914303118247
2009;04;0,0364976937461898
2009;05;0,02751635364040134
2009;06;0,024628878612743946
2009;07;0,024480403081728407
2009;08;0,025884303537538424
2009;09;0,04835904280178974
2009;10;0,029587038187196095
2009;11;0,05416926068780801
2009;12;0,06653379769417098
2010;01;0,04764959639088621
2010;02;0,0642499013621099
2010;03;0,04607252493403558
2010;04;0,03724919563299113
2010;05;0,030988570529033532
2010;06;0,04167547752034506
2010;07;0,020317130711755782
2010;08;0,04741412194686106
2010;09;0,03608469324707956
2010;10;0,04409955175656027
2010;11;0,044664730483407966
2010;12;0,058651654786841576
2011;01;0,06410257668436622
2011;02;0,034971037244810675
2011;03;0,04668715362599638
2011;04;0,03970680653511085
2011;05;0,047098501423343174
2011;06;0,0312811098824416
2011;07;0,03510221206592898
2011;08;0,03357955033882092
2011;09;0,025423530902213783
2011;10;0,031036011034472403
2011;11;0,06544110557915894
2011;12;0,029926489190960675
2012;01;0,060513355053418684
2012;02;0,05279461446242324
2012;03;0,0559402282913072
2012;04;0,04044689619859061
2012;05;0,033583120288413246
2012;06;0,03208317681024463
2012;07;0,02935108727579508
2012;08;0,0276987268621042
2012;09;0,03486820021081383
2012;10;0,0870359399768303
2012;11;0,0568941219040027
2012;12;0,051321403329832795
2013;01;0,05422302564577828
2013;02;0,05303477010820943
2013;03;0,14718117064649197
2013;04;0,039283466693944315
2013;05;0,02520535174983568
2013;06;0,04959738293395695
2013;07;0,02247101926299287
2013;08;0,026733297286798484
2013;09;0,0322348131452352
2013;10;0,03567545209926974
2013;11;0,06695289816093453
2013;12;0,04629684150772141
2014;01;0,0728936060012474
2014;02;0,058252319250160556
2014;03;0,10084368007130112
2014;04;0,03363670153383809
2014;05;0,05413237594965637
2014;06;0,04062140841973702
2014;07;0,02220267568148631
2014;08;0,028791415895486443
2014;09;0,027693828493022158
2014;10;0,03247681282182526
2014;11;0,1202179110031763
2014;12;0,04872787761973853
2015;01;0,04502458827671791
2015;02;0,06204224082610934
2015;03;0,03991842252717272
2015;04;0,04127665962974133
2015;05;0,047853894223332284
2015;06;0,030673800298290383
2015;07;0,02831171280833626
2015;08;0,024353122289291766
2015;09;0,06609852459719921
2015;10;0,033328004010177006
2015;11;0,03232430320036073
2015;12;0,034465239187476064
2016;01;0,04524018620857073
2016;02;0,048193953133748836
2016;03;0,052200869656788176
2016;04;0,0652687170750376
2016;05;0,03476674347605224
2016;06;0,028182687576387675
2016;07;0,026271941749345846
2016;08;0,026072387256298315
2016;09;0,026652560482579052
2016;10;0,1249734600560189
2016;11;0,04926558337992284
2016;12;0,06185765441852519
2017;01;0,05950631636443843
2017;02;0,04811533131371309
2017;03;0,049959083541883824
2017;04;0,07041718032694365
2017;05;0,0358863351375375
2017;06;0,031130605216730837
2017;07;0,024990493409133466
2017;08;0,027390068451436652
2017;09;0,02940295774258727
2017;10;0,04463484507471264
2017;11;0,04128796162553563
2017;12;0,046963938502654484
