Ano;Mes;MDQI
2008;01;0,0014836332025800945
2008;02;0,0014501457466374829
2008;03;0,0003761176573461683
2008;04;0,0033111393881461015
2008;05;0,001015188414543571
2008;06;0,00022233627097041959
2008;07;0,030937090718079853
2008;08;0,03390824882508834
2008;09;0,0531821731812605
2008;10;0,009711173157119484
2008;11;0,04849595273913936
2008;12;0,07144059384845629
2009;01;0,002897334109562692
2009;02;0,0031432166735574614
2009;03;0,0023159301277518546
2009;04;2,9555674307344917e-05
2009;05;1,8397329871136483e-05
2009;06;0,0034153190984034932
2009;07;1,4791823011969034e-05
2009;08;0,00045454276512308864
2009;09;0,00012454240879186513
2009;10;0,008593949609606811
2009;11;0,0011498274277833332
2009;12;0,005588293842294931
2010;01;0,008515773402697881
2010;02;0,01300018732380917
2010;03;0,010210951877136387
2010;04;0,07162021090788095
2010;05;0,08795533000301127
2010;06;0,08437867241378298
2010;07;0,010449320682683595
2010;08;0,03145623392562637
2010;09;0,021521204542902614
2010;10;0,002780969398050745
2010;11;0,003085305230310865
2010;12;0,0236229467029567
2011;01;0,03265585788335043
2011;02;0,013709320373599511
2011;03;0,030036588712052642
2011;04;0,13882008486637779
2011;05;0,046633959954780264
2011;06;0,15235042565461923
2011;07;0,07688343713495131
2011;08;0,04753751988575706
2011;09;0,024944173431697438
2011;10;0,00472227527366437
2011;11;0,0019730433438152365
2011;12;0,0033750033210487246
2012;01;0,06384242549714322
2012;02;0,06430264197594383
2012;03;0,07870225533770045
2012;04;0,0355287643876317
2012;05;0,041750204909417436
2012;06;0,03949780779493799
2012;07;0,03827536389449129
2012;08;0,02817860773558865
2012;09;0,011049075058773316
2012;10;0,03846504057880631
2012;11;0,031100586586809024
2012;12;0,02871083601733807
2013;01;0,02061543484631495
2013;02;0,05225013120225102
2013;03;0,036044771207193106
2013;04;0,005383887204612272
2013;05;0,006055900347260802
2013;06;0,02304418889294526
2013;07;0,06336483451164426
2013;08;0,06001738096095534
2013;09;0,052917391963795996
2013;10;0,007576009062608611
2013;11;0,05051531368990616
2013;12;0,010661761129239626
2014;01;0,009499600307874728
2014;02;0,011587464094170337
2014;03;0,010838992770155152
2014;04;0,04214311413046354
2014;05;0,05340275505668425
2014;06;0,0975687481738973
2014;07;0,010194104844100159
2014;08;0,0041841942657905125
2014;09;0,01180205399443983
2014;10;0,0015001610886417626
2014;11;0,0021878620974270253
2014;12;0,0037206555121529336
2015;01;0,03699218747110972
2015;02;0,05562368404079251
2015;03;0,043300003942589746
2015;04;0,12832950329418638
2015;05;0,04260271171664283
2015;06;0,11442779861812892
2015;07;0,009304042451621778
2015;08;0,015080448458490077
2015;09;0,026252015694048357
2015;10;0,0070819195052886155
2015;11;0,00022658370502055518
2015;12;0,00038465851284490626
2016;01;0,012296065562821186
2016;02;0,01291155081707941
2016;03;0,01790918548883476
2016;04;0,008934631842998376
2016;05;0,004315137456713295
2016;06;0,009030970701817196
2016;07;0,0198880896184216
2016;08;0,028850042717078108
2016;09;0,01680414243865618
2016;10;0,03532823538842389
2016;11;0,06758154779436187
2016;12;0,028340222624901157
2017;01;0,01460930756119875
2017;02;0,0034043614324086057
2017;03;0,0044456468489804364
2017;04;0,028893015807509227
2017;05;0,04672741867498377
2017;06;0,03362830954476325
2017;07;0,00042842950834426656
2017;08;0,00047587001378313445
2017;09;0,004203225463205464
2017;10;0,014731468107208174
2017;11;0,026334576111960595
2017;12;0,04372636401800301
