Ano;Mes;MDQI
2008;01;1,917510286839653e-05
2008;02;1,1478866631138435e-05
2008;03;8,427072244799665e-06
2008;04;6,826758187847694e-06
2008;05;4,892679919343603e-06
2008;06;0,00047035555579070756
2008;07;0,0007363981080348102
2008;08;9,160974232701206e-05
2008;09;1,7827465407662547e-05
2008;10;9,273335195965201e-06
2008;11;0,00015827938063299408
2008;12;1,4180238022051082e-05
2009;01;0,0004615048779734337
2009;02;1,5258639129688796e-05
2009;03;0,0005487268535704532
2009;04;1,1088889241616978e-05
2009;05;0,0049039231271233745
2009;06;5,511376362632692e-06
2009;07;0,0050821645944175995
2009;08;9,792471292058346e-06
2009;09;0,0017041396168314788
2009;10;9,913365999367705e-05
2009;11;0,00010442221081734741
2009;12;1,2580161013544818e-05
2010;01;0,00045913676400084443
2010;02;2,714746528336789e-05
2010;03;9,173774848769255e-06
2010;04;0,0006346460109098797
2010;05;0,0009780168477726272
2010;06;7,892290951290014e-06
2010;07;7,36746569249996e-06
2010;08;0,0004325114825793002
2010;09;2,3610736337518454e-05
2010;10;0,0008402111043466968
2010;11;0,0002770605640004538
2010;12;1,3625544659102244e-05
2011;01;0,00045994035823178315
2011;02;9,73938937225234e-06
2011;03;7,85104452173741e-06
2011;04;0,00029889296289829613
2011;05;0,0012712505160781711
2011;06;0,004416471637428446
2011;07;5,170026600818023e-06
2011;08;0,00022079640426712237
2011;09;0,0050661379860519554
2011;10;0,00015102593524287804
2011;11;0,00014874837377654794
2011;12;1,2331260145554954e-05
2012;01;0,00046388010339939415
2012;02;1,766681195414948e-05
2012;03;0,0023093662562902943
2012;04;8,524262107538564e-06
2012;05;5,7460543238802785e-06
2012;06;8,612444129340687e-06
2012;07;0,00019700148128729139
2012;08;0,00024089337149396105
2012;09;1,3491849335724828e-05
2012;10;0,004211345794761522
2012;11;1,5542081342624193e-05
2012;12;1,578031503055735e-05
2013;01;0,0004663122204523237
2013;02;9,019761087188588e-05
2013;03;9,572016237553037e-06
2013;04;7,098652755070907e-06
2013;05;5,696274150282305e-06
2013;06;1,0971313212547478e-05
2013;07;6,435865300880756e-06
2013;08;8,171059923438663e-06
2013;09;9,25176378740608e-06
2013;10;1,3070851296153406e-05
2013;11;1,8892998171104868e-05
2013;12;1,3369532337741242e-05
2014;01;0,0016785234506432995
2014;02;1,362884640531027e-05
2014;03;0,0003772839356990351
2014;04;7,728419360774404e-05
2014;05;0,001288638019570606
2014;06;0,0008325411648374776
2014;07;0,001311053320596436
2014;08;8,924873980779391e-06
2014;09;0,00015198906307777594
2014;10;1,248771211972001e-05
2014;11;1,8782770643852214e-05
2014;12;1,2629941187142792e-05
2015;01;0,0004630196175414863
2015;02;1,2668292239251429e-05
2015;03;9,48667879709937e-06
2015;04;0,00014145131147242222
2015;05;2,1021456165086757e-05
2015;06;0,0030247682723437068
2015;07;0,004697413632678869
2015;08;0,0021651815391904514
2015;09;6,275620551584425e-06
2015;10;0,00024008977726302236
2015;11;1,4234048019226033e-05
2015;12;2,565812376306936e-05
2016;01;0,00046198134534930003
2016;02;4,484359884575206e-05
2016;03;0,00010209202459607089
2016;04;0,001470993699688482
2016;05;1,9023137767796717e-05
2016;06;0,002511975118560728
2016;07;0,004484518053107081
2016;08;0,0037815793331834806
2016;09;5,074140504530498e-05
2016;10;0,0009707773882408079
2016;11;1,3109727241248964e-05
2016;12;1,775018761436284e-05
2017;01;0,0004624222554583106
2017;02;1,3502872088450095e-05
2017;03;0,00015608929004312896
2017;04;0,0006451396715043323
2017;05;0,0030266701120235957
2017;06;0,0003854803598061641
2017;07;0,006348394424415747
2017;08;7,680369640830075e-06
2017;09;9,58244636916404e-06
2017;10;0,004568966561889358
2017;11;1,1735557401499213e-05
2017;12;1,5047835333330036e-05
