Ano;Mes;MDQI
2008;01;0,005515164480421369
2008;02;0,001534625643903603
2008;03;0,0015249658380002958
2008;04;0,0007278397109510901
2008;05;0,0003799649536199545
2008;06;0,00044241655188306827
2008;07;0,0005361751383703929
2008;08;0,004099503967593619
2008;09;0,0009962951793240202
2008;10;0,004946314500668732
2008;11;0,0035679695266447858
2008;12;0,004904122247817766
2009;01;0,008934090424348388
2009;02;0,0020976062234335908
2009;03;0,00499674892797685
2009;04;0,00043000493231441946
2009;05;0,002808177818648723
2009;06;0,0001858362624461575
2009;07;0,00016465147990198028
2009;08;0,002499704305768828
2009;09;0,0003397579815017634
2009;10;0,0015264734661149775
2009;11;0,006372466457028606
2009;12;0,003475580606076742
2010;01;0,002370240297147244
2010;02;0,004163199223595091
2010;03;0,0019546540735912534
2010;04;0,000187835054940339
2010;05;0,00017885305228414482
2010;06;0,0002916032490959873
2010;07;0,002267771365522502
2010;08;0,0008859448609764914
2010;09;0,001717146465047292
2010;10;0,0018184839644406852
2010;11;0,0010257332776022956
2010;12;0,0067627290321784165
2011;01;0,0077137223571407156
2011;02;0,012122461271085896
2011;03;0,002564290525285512
2011;04;0,00024259609047945746
2011;05;0,0003927229009677778
2011;06;9,089361897253837e-05
2011;07;0,0011813546340136035
2011;08;0,0012728577045400485
2011;09;0,004519843012485985
2011;10;0,0068797408859471365
2011;11;0,0027320700964770105
2011;12;0,0064751418578495555
2012;01;0,0032082468509488874
2012;02;0,0016177600051473975
2012;03;0,001455230926242907
2012;04;0,0017914030759064968
2012;05;0,00023649138185722596
2012;06;0,003032660563294998
2012;07;0,003367223391060698
2012;08;0,0021042221608930487
2012;09;0,0008717527705321548
2012;10;0,006042793938697793
2012;11;0,008132880900773473
2012;12;0,009568595628481518
2013;01;0,005547161195996264
2013;02;0,0018146521609760287
2013;03;0,001165517427356077
2013;04;0,0010006895834104926
2013;05;0,0005800456942169491
2013;06;0,0006624453932829989
2013;07;0,000705271276629335
2013;08;0,0007305738277238472
2013;09;0,0008757650525241516
2013;10;0,008344401599360174
2013;11;0,0031116422608224326
2013;12;0,008957814232794506
2014;01;0,015503323921751484
2014;02;0,014865929943666804
2014;03;0,007089222967900777
2014;04;0,0023795404188175734
2014;05;0,0005907199857270287
2014;06;0,00021756709329128816
2014;07;0,0011118117314972355
2014;08;0,0010333439550000887
2014;09;0,000570787530121509
2014;10;0,0036957014222736067
2014;11;0,005532525350861568
2014;12;0,002583036316371834
2015;01;0,0030195657701058286
2015;02;0,002721903444213407
2015;03;0,0013916972018251522
2015;04;0,0001716169114305652
2015;05;0,0004455325537018557
2015;06;7,720336008775874e-05
2015;07;0,000595705114540197
2015;08;0,0010055168379588216
2015;09;0,001342475751413705
2015;10;0,001966707987055334
2015;11;0,004720155823511325
2015;12;0,004727729758400035
2016;01;0,014108049658880647
2016;02;0,0051452385265915316
2016;03;0,004132365993621653
2016;04;0,0008845465121952797
2016;05;0,0010006383809462204
2016;06;0,0008121270267902862
2016;07;0,0009730103845993456
2016;08;0,001588037317948927
2016;09;0,0036576653398211786
2016;10;0,0006891140545701071
2016;11;0,005583354937928675
2016;12;0,006417624422983785
2017;01;0,0037112470593429173
2017;02;0,005129934004574882
2017;03;0,0071751435475308776
2017;04;0,00010760411210404067
2017;05;0,0004955331823543337
2017;06;0,0005882549189401462
2017;07;0,0004951918325925189
2017;08;0,004463752609263356
2017;09;0,003034482991745575
2017;10;0,008739080150005015
2017;11;0,003966904993277591
2017;12;0,01037550379669117
