Ano;Mes;MDQI
2008;01;0,06968222331778513
2008;02;0,07532021780837755
2008;03;0,06385390338288423
2008;04;0,04413665979434776
2008;05;0,04660002409929318
2008;06;0,02688389131977329
2008;07;0,02488119748227243
2008;08;0,02716452159631761
2008;09;0,03661753311381889
2008;10;0,06536010920689146
2008;11;0,06546431214789654
2008;12;0,16498856279177224
2009;01;0,09008109275616549
2009;02;0,07864203402667078
2009;03;0,09285792328835424
2009;04;0,036231927829481834
2009;05;0,027065103478189086
2009;06;0,03200318836796829
2009;07;0,022682897904732578
2009;08;0,01922665334037197
2009;09;0,04288480576733938
2009;10;0,04584145247964716
2009;11;0,08950703751321995
2009;12;0,10985139537240093
2010;01;0,1536693833556377
2010;02;0,07712804319306596
2010;03;0,049818326545308864
2010;04;0,03575046868744588
2010;05;0,029659304776353607
2010;06;0,02744724951455797
2010;07;0,02193337205377465
2010;08;0,024335286764236946
2010;09;0,03539531559463783
2010;10;0,04150626783588062
2010;11;0,06634773433931383
2010;12;0,09907688926141527
2011;01;0,11833316891653138
2011;02;0,08703734829857827
2011;03;0,05651004060412308
2011;04;0,058760479698441004
2011;05;0,04816723197031804
2011;06;0,030870629919454544
2011;07;0,021889921073676988
2011;08;0,02219295432472796
2011;09;0,02763145440960079
2011;10;0,04019182235202616
2011;11;0,050651452034565
2011;12;0,062795015087375
2012;01;0,1007594164603065
2012;02;0,06729805602428861
2012;03;0,05249631498709213
2012;04;0,04076715125627048
2012;05;0,02830683435132366
2012;06;0,03284027825543039
2012;07;0,024240448422079435
2012;08;0,0308967687774655
2012;09;0,032646880384614704
2012;10;0,05018601713041023
2012;11;0,09272762131347709
2012;12;0,09177626411915063
2013;01;0,07980812900563279
2013;02;0,14785209538120206
2013;03;0,1199905926850225
2013;04;0,03914885683766337
2013;05;0,02104216471730352
2013;06;0,023351422405405678
2013;07;0,02412900483630032
2013;08;0,024749756489613667
2013;09;0,035107834855061096
2013;10;0,0355579282208583
2013;11;0,07826735701432135
2013;12;0,07291162642408987
2014;01;0,09253932306587385
2014;02;0,06980558131730336
2014;03;0,10170618558196634
2014;04;0,03513814742505556
2014;05;0,024199116655086377
2014;06;0,023945651656322918
2014;07;0,020620434198034863
2014;08;0,026728617950480277
2014;09;0,045097131027314684
2014;10;0,0521377341737592
2014;11;0,06454098024311196
2014;12;0,09835220371708271
2015;01;0,10019884192541974
2015;02;0,10191956829609407
2015;03;0,09224624584954247
2015;04;0,039647908293048845
2015;05;0,032160232252102273
2015;06;0,023400245851476785
2015;07;0,02265152217245912
2015;08;0,019529124786606625
2015;09;0,030293757829828682
2015;10;0,05007199208705739
2015;11;0,07285700050616482
2015;12;0,05701663920792292
2016;01;0,06944467201095231
2016;02;0,09931662125900698
2016;03;0,08670200746088173
2016;04;0,04951889358605125
2016;05;0,026240701134686434
2016;06;0,01591542197742893
2016;07;0,025961605035682712
2016;08;0,027947172597078303
2016;09;0,024911509341121574
2016;10;0,07109625727622575
2016;11;0,05896203440627339
2016;12;0,050474642576931274
2017;01;0,08852041319933536
2017;02;0,08055985915315529
2017;03;0,06391883095216273
2017;04;0,04313571301337369
2017;05;0,023502535574476575
2017;06;0,02547017184324529
2017;07;0,025947332348766835
2017;08;0,02481545920730962
2017;09;0,04620192683596439
2017;10;0,05238048363458303
2017;11;0,05169574027925483
2017;12;0,06201636783486226
