Ano;Mes;MDQI
2008;01;0,004861179326545548
2008;02;0,006884081569951362
2008;03;0,0025492142441386973
2008;04;0,00039947925576725113
2008;05;2,752132454630777e-06
2008;06;3,8733953076582556e-05
2008;07;9,088437408315589e-06
2008;08;0,0008052440881208064
2008;09;3,927774221102898e-05
2008;10;2,471230046470788e-05
2008;11;0,00029626219924786613
2008;12;0,010661611788718833
2009;01;0,007683818695715076
2009;02;0,004593850299176405
2009;03;0,003704135605971778
2009;04;5,915543962559089e-05
2009;05;2,6241262939502757e-06
2009;06;1,3455106826640613e-05
2009;07;0,004320869288130432
2009;08;0,0003072005627264607
2009;09;0,0013955833740440333
2009;10;0,0019103710534491716
2009;11;0,013979554704305105
2009;12;0,006289262689634727
2010;01;0,005149645175456338
2010;02;0,0031039048133022825
2010;03;0,00689680837403787
2010;04;0,00017805419902212018
2010;05;0,0005850094886700041
2010;06;0,0008722818626629677
2010;07;1,5118949867041423e-05
2010;08;0,00030471866549993315
2010;09;0,00013932759444735448
2010;10;0,0030504223662832005
2010;11;0,008733202059696877
2010;12;0,003128022545469068
2011;01;0,0034844272540704396
2011;02;6,616800993080734e-05
2011;03;0,0002714726209898585
2011;04;0,00011170457611783939
2011;05;3,8231173323243026e-05
2011;06;2,573445336258625e-05
2011;07;0,002260162110415383
2011;08;0,004354670026003456
2011;09;0,005658147989420509
2011;10;0,0030827652562151397
2011;11;0,004689439085916919
2011;12;0,0039992182521538175
2012;01;0,002872337350963138
2012;02;8,339282579045605e-05
2012;03;3,20726547038367e-05
2012;04;0,0012708058131940291
2012;05;6,823439509607829e-05
2012;06;0,00015552369245167773
2012;07;0,0001385453345765292
2012;08;0,00032962297520566184
2012;09;0,000625475080642459
2012;10;0,0018526118291687806
2012;11;0,004572186390927363
2012;12;0,0008001096187868443
2013;01;0,0014052231861370577
2013;02;0,00200270819586386
2013;03;1,1022752725265384e-06
2013;04;0,0021888247511650315
2013;05;0,0032435196596697358
2013;06;0,0007523984040229815
2013;07;5,561156536230665e-06
2013;08;0,00011999866418459874
2013;09;7,496206703362146e-05
2013;10;0,010866578097781798
2013;11;0,006081664194630655
2013;12;0,015435708223098693
2014;01;0,001071084438040723
2014;02;0,008046200072913935
2014;03;0,001983953261480346
2014;04;0,00338664524431417
2014;05;0,0018725736787815678
2014;06;0,00024304434909028488
2014;07;0,0005411389328234478
2014;08;0,002208220054992584
2014;09;0,001015989164193161
2014;10;0,007011430779473888
2014;11;0,0012576813889491466
2014;12;0,005854283532735642
2015;01;0,008037592166569124
2015;02;0,009617501347295318
2015;03;0,0010635320745605733
2015;04;0,0012150600784114538
2015;05;0,0009204496327332575
2015;06;0,00024010494836354743
2015;07;0,0030304889624838973
2015;08;8,092122791019018e-05
2015;09;0,0022278232503070206
2015;10;7,705970872966173e-05
2015;11;0,0014934727667462067
2015;12;0,002121303871890524
2016;01;0,0074250400189927014
2016;02;0,006157697369153236
2016;03;0,005180971127556204
2016;04;0,0009926723679283163
2016;05;0,00019995984588968524
2016;06;0,00019582287641524795
2016;07;8,24573018383562e-05
2016;08;5,536977594768792e-05
2016;09;2,0818305647117892e-05
2016;10;3,441943431631256e-06
2016;11;0,0033788631808901325
2016;12;0,0022908266973517347
2017;01;0,003594605001149495
2017;02;0,0015731200285810528
2017;03;0,002655310016982719
2017;04;0,0009504625734923667
2017;05;0,00020824468906706207
2017;06;0,0007256939484205719
2017;07;5,1266467352540755e-05
2017;08;7,245148694516368e-05
2017;09;0,0012047721758678726
2017;10;0,001528557121952721
2017;11;0,0009369192846439238
2017;12;0,001919843509339529
