Ano;Mes;MDQI
2008;01;7,36174800138785e-05
2008;02;2,7786573698291484e-05
2008;03;1,1444409578917588e-05
2008;04;3,7242385822866506e-06
2008;05;0,00016124197216808308
2008;06;3,4492178869793287e-06
2008;07;3,936788178794327e-06
2008;08;4,645410050977304e-05
2008;09;4,950372515531794e-06
2008;10;5,566951171140145e-06
2008;11;7,734957055518428e-06
2008;12;1,0335455162355809e-05
2009;01;0,0021048620198992553
2009;02;0,0018842600941435124
2009;03;0,0013168944592112815
2009;04;3,059605235293956e-06
2009;05;4,402549033750274e-06
2009;06;0,0002647761744071241
2009;07;4,069862708781739e-06
2009;08;3,7482659279788227e-06
2009;09;4,663892624586667e-06
2009;10;6,465204248555188e-06
2009;11;1,108104218175751e-05
2009;12;5,680064521629447e-05
2010;01;0,0017609308971467841
2010;02;7,415736605608143e-06
2010;03;5,400608008655878e-06
2010;04;0,00011915271624189721
2010;05;6,35430880689901e-06
2010;06;5,672301840713514e-06
2010;07;4,3249222245909495e-06
2010;08;9,868585352983297e-05
2010;09;6,783843817580605e-06
2010;10;7,363457325970231e-06
2010;11;7,608905903502572e-06
2010;12;7,37454687013585e-06
2011;01;0,0004568115928142947
2011;02;2,800545562482148e-05
2011;03;5,056832139521725e-06
2011;04;3,414840300065914e-06
2011;05;3,382310970513435e-06
2011;06;3,7700753648378703e-06
2011;07;5,345160287827789e-06
2011;08;2,9387292038887223e-06
2011;09;4,2628207772634895e-06
2011;10;0,00012598831126558403
2011;11;0,0012351179426251823
2011;12;9,54809752659694e-06
2012;01;0,00045498181802696775
2012;02;4,883988209767957e-06
2012;03;3,7039077513163516e-06
2012;04;5,2253932108391154e-06
2012;05;3,3157737055197283e-06
2012;06;3,873208125578117e-06
2012;07;3,892430002131855e-06
2012;08;2,7945651297356904e-06
2012;09;4,343035146728126e-06
2012;10;6,199055188580361e-06
2012;11;0,0022545738233468735
2012;12;0,00021812024419353682
2013;01;0,0007433321454213623
2013;02;0,00010086138446203791
2013;03;7,341278237638995e-06
2013;04;4,5722190594842265e-06
2013;05;3,5785959022448705e-05
2013;06;6,084832883674496e-06
2013;07;4,965897877363659e-05
2013;08;4,058773164616122e-06
2013;09;4,8735959047585e-05
2013;10;7,655112337525979e-05
2013;11;9,213193292795283e-06
2013;12;1,7765449753319744e-05
2014;01;0,0005162626390861719
2014;02;9,257393047398244e-06
2014;03;3,5597436771633197e-06
2014;04;2,784584539986634e-06
2014;05;5,311891655330935e-06
2014;06;4,663892624586668e-06
2014;07;4,5134444754064525e-06
2014;08;4,8904889770374585e-06
2014;09;1,2020696224057527e-05
2014;10;7,640695930110677e-06
2014;11;1,5653261241241734e-05
2014;12;0,0023452944269540155
2015;01;0,0008667365928963574
2015;02;7,391181186384275e-06
2015;03;4,8017726237125155e-06
2015;04;4,0565552557829975e-06
2015;05;3,897974774214664e-05
2015;06;4,1482288208854386e-06
2015;07;4,180758150437918e-06
2015;08;4,125310429609829e-06
2015;09;0,0002607310783469789
2015;10;0,0012721037903263511
2015;11;5,649383449437903e-06
2015;12;0,005268309746760057
2016;01;0,00045830868127665314
2016;02;0,0012250749455103393
2016;03;0,0035767772170017084
2016;04;4,973290906807405e-06
2016;05;3,936788178794326e-06
2016;06;4,1482288208854386e-06
2016;07;4,258384959597243e-06
2016;08;4,247295415431625e-06
2016;09;4,2628207772634895e-06
2016;10;0,0030745206721967118
2016;11;6,795303013218411e-06
2016;12;9,581366159093795e-06
2017;01;0,00045551411614691735
2017;02;7,968233538145174e-05
2017;03;4,0476836204505035e-06
2017;04;4,904535732980573e-06
2017;05;3,570833221328937e-06
2017;06;2,8418805181756595e-06
2017;07;3,4599377796727593e-06
2017;08;3,426669147175906e-06
2017;09;0,0023595629737804434
2017;10;5,722204789458794e-06
2017;11;1,0462245617316036e-05
2017;12;0,0003395951109837144
