Ano;Mes;MDQI
2008;01;0,0022747308749908805
2008;02;0,0024066326077244204
2008;03;0,0001907179805602952
2008;04;7,072615547653295e-05
2008;05;1,0867753282305465e-06
2008;06;6,302557600792793e-07
2008;07;1,108954416561782e-06
2008;08;4,790683079546897e-06
2008;09;1,2719707157963639e-06
2008;10;0,0005133017307939519
2008;11;0,002126792332789709
2008;12;3,970056811291179e-05
2009;01;0,0011824559152914967
2009;02;0,0007093569505390994
2009;03;3,6240630333239027e-05
2009;04;1,2375931288829483e-06
2009;05;9,647903424087501e-07
2009;06;6,874371463119266e-05
2009;07;8,982530774150433e-07
2009;08;7,429994590963938e-07
2009;09;2,051196019167109e-05
2009;10;0,000311605101509695
2009;11;0,001609088792264951
2009;12;0,0004369391296695077
2010;01;0,002491210649085215
2010;02;0,004750638735564851
2010;03;1,1067365077286582e-05
2010;04;1,6157465849305161e-06
2010;05;3,6151913979914084e-05
2010;06;2,8418805181756595e-06
2010;07;8,317158124213364e-07
2010;08;1,7499300693344915e-05
2010;09;2,738747757435414e-06
2010;10;0,0012252171975941188
2010;11;0,00046771852915265203
2010;12;9,517046802933211e-05
2011;01;0,003115341284270351
2011;02;1,337042576739614e-05
2011;03;0,00017522588736092716
2011;04;9,052764553866013e-07
2011;05;1,0313276074024572e-06
2011;06;8,021436946463554e-07
2011;07;2,0848343031361495e-06
2011;08;5,766562966121266e-07
2011;09;9,396540423000163e-07
2011;10;0,0002166120661870128
2011;11;0,0014231862614328395
2011;12;0,003291787021489497
2012;01;0,003005177752529104
2012;02;4,704987671011898e-05
2012;03;0,00011697251185893674
2012;04;9,167356510244062e-07
2012;05;5,433876641152731e-07
2012;06;6,531741513548895e-07
2012;07;2,018297038142443e-06
2012;08;0,0004789241438805367
2012;09;1,3407258896231943e-06
2012;10;2,1924028815426427e-05
2012;11;0,00043649222103963323
2012;12;0,00036354852638144895
2013;01;0,003598701245817135
2013;02;0,0036517223367486975
2013;03;8,255056676885905e-05
2013;04;8,59439672835381e-07
2013;05;9,90296293989671e-06
2013;06;1,1115419768670927e-06
2013;07;0,00027041853447859053
2013;08;9,647903424087503e-07
2013;09;5,2139340152013105e-06
2013;10;2,872191938895015e-06
2013;11;0,002127949711549127
2013;12;0,0016062982933014096
2014;01;0,004255346424495863
2014;02;0,0023708502814836817
2014;03;0,0006464206189580281
2014;04;1,0771643899536773e-06
2014;05;7,4521736792951735e-06
2014;06;0,00014038660575875
2014;07;2,6171324230858047e-06
2014;08;6,443025160223951e-06
2014;09;0,00024254533486978234
2014;10;0,001387368512383783
2014;11;0,00010754455106080065
2014;12;0,0004192513067253472
2015;01;0,0012201270968221004
2015;02;0,00020800895624538605
2015;03;1,108954416561782e-06
2015;04;2,8304213225378546e-06
2015;05;0,00017476012650597119
2015;06;7,33388520819525e-07
2015;07;4,103131341278592e-06
2015;08;1,1422230490586351e-06
2015;09;1,4553178460012451e-06
2015;10;0,0016923420664824384
2015;11;0,0011727455407686094
2015;12;0,008981754506058839
2016;01;0,0008621233425234603
2016;02;0,0019626638542481357
2016;03;0,00027079557898022146
2016;04;2,2001655624585747e-06
2016;05;4,369280401253421e-06
2016;06;9,740316292134315e-07
2016;07;1,408372109033463e-06
2016;08;1,1621842285567474e-05
2016;09;1,9824408453402787e-06
2016;10;0,0003675851204577338
2016;11;0,001329495877898145
2016;12;0,0005319654336246867
2017;01;0,0008399220751038937
2017;02;0,0016028304344187613
2017;03;3,337952793850964e-06
2017;04;5,110801254461065e-06
2017;05;2,672580143913894e-06
2017;06;7,219293251817199e-07
2017;07;2,971997836385575e-06
2017;08;5,0224545526083086e-05
2017;09;0,00019427920284334726
2017;10;0,00028375925610982873
2017;11;0,0002760978596972755
2017;12;0,0006588076397910234
