Ano;Mes;MDQI
2008;01;0,004885106410227519
2008;02;0,008014387565422918
2008;03;0,0029617843662090417
2008;04;0,0006400533723496027
2008;05;0,003368837174352209
2008;06;0,012537712212844018
2008;07;0,007393665244277374
2008;08;0,003976433299186409
2008;09;0,002823901040219943
2008;10;0,013525817212906561
2008;11;0,006735726655097462
2008;12;0,002382743817601307
2009;01;0,004694326030291844
2009;02;2,072477382494461e-05
2009;03;0,0009283168316480331
2009;04;0,001115587072927238
2009;05;0,00046263360350124415
2009;06;0,0024302662108657007
2009;07;0,0037798489497625014
2009;08;0,00023858045317910173
2009;09;0,0035883096036310055
2009;10;0,006855434218199112
2009;11;0,002194722444530618
2009;12;0,000488893644085427
2010;01;0,015976096354476478
2010;02;0,0046339759388322535
2010;03;0,002737143470046121
2010;04;0,009870538591362332
2010;05;0,005156338619319814
2010;06;0,0013805007576820154
2010;07;0,008326573147209972
2010;08;0,01380178051946796
2010;09;0,010378158039725823
2010;10;0,014590158393290064
2010;11;0,003223998855913907
2010;12;0,004829829170451528
2011;01;0,01638891572558577
2011;02;0,02690326107753894
2011;03;0,009933958215839611
2011;04;0,019266689401710814
2011;05;0,023158505782398833
2011;06;0,008120352723209089
2011;07;0,005666757068630705
2011;08;0,02249322184881509
2011;09;0,015887888271925797
2011;10;0,011669771295451272
2011;11;0,04238295806759459
2011;12;0,016207712573919578
2012;01;0,0024136171085583865
2012;02;0,006725394016934257
2012;03;0,012794605939258217
2012;04;0,007198838587603718
2012;05;0,0063991771025931005
2012;06;0,010530255943426409
2012;07;0,0039839298310423675
2012;08;0,013973346857254232
2012;09;0,006522482483473548
2012;10;0,016556900140606547
2012;11;0,01394813293033634
2012;12;0,014301785886807342
2013;01;0,02561355342795997
2013;02;0,025859054152753573
2013;03;0,02788879520441978
2013;04;0,02273777143396707
2013;05;0,012866033693228964
2013;06;0,027792090313129396
2013;07;0,05013814688748877
2013;08;0,05264175564695115
2013;09;0,037941946798163234
2013;10;0,04812083681877707
2013;11;0,03247236958747812
2013;12;0,041470525899009375
2014;01;0,02858245728152334
2014;02;0,020438764579534613
2014;03;0,026906272680890204
2014;04;0,028553496567283357
2014;05;0,014628661290633088
2014;06;0,06119737593587251
2014;07;0,03126763514760937
2014;08;0,031106326638176293
2014;09;0,04715982690197438
2014;10;0,04163201184114911
2014;11;0,021059228456941387
2014;12;0,021682199125806798
2015;01;0,0023709556321532548
2015;02;0,004893674052543881
2015;03;0,0025910387256641064
2015;04;0,0016385045474671966
2015;05;0,0029697799275524516
2015;06;0,0015410326293720268
2015;07;0,005114320336476287
2015;08;0,005171032265339258
2015;09;0,001842993893623828
2015;10;0,0036632202137726988
2015;11;0,002878355137890792
2015;12;0,008653016058813266
2016;01;0,005143818523956832
2016;02;0,002523646800973497
2016;03;0,004889302395811737
2016;04;0,0004782495299437948
2016;05;0,0026697966683283236
2016;06;0,005407273564002357
2016;07;0,00354880938661602
2016;08;0,004357957976660325
2016;09;0,005771458260567441
2016;10;0,0019289485808000602
2016;11;1,9996296387969865e-05
2016;12;0,004930400246489516
2017;01;0,009996137289976231
2017;02;0,009858251878096682
2017;03;0,002739416826600073
2017;04;0,004605290298094932
2017;05;0,003908665094790318
2017;06;0,0023608120261049644
2017;07;0,0012442468553823193
2017;08;0,000788144993394624
2017;09;0,0026108745933131465
2017;10;0,005136200007115052
2017;11;0,005268009959416112
2017;12;0,005520729951057849
