Ano;Mes;MDQI
2008;01;0,004729860342471782
2008;02;0,009466013269160757
2008;03;0,015182935703867431
2008;04;0,0208640183433508
2008;05;0,03095060171465901
2008;06;0,010937093123410051
2008;07;2,8340220634972067e-05
2008;08;0,00017164847294721955
2008;09;0,0042475207738284304
2008;10;0,0009753367783489932
2008;11;0,0016955805818511527
2008;12;9,463388628362597e-05
2009;01;0,015278237175177355
2009;02;0,02334887636581327
2009;03;0,03077111529899561
2009;04;0,030041008050356734
2009;05;0,0320095794791919
2009;06;0,04153675742275758
2009;07;0,0035510726677081385
2009;08;0,0038307215626877766
2009;09;1,506401490949123e-05
2009;10;0,0021910288915370744
2009;11;0,0019822107678477917
2009;12;0,00676149400425569
2010;01;0,029504360348907032
2010;02;0,02127044416623174
2010;03;0,01647776878565473
2010;04;0,018919493162327126
2010;05;0,02181066050407555
2010;06;0,024125919221723902
2010;07;0,000829630165016337
2010;08;0,0019219822357899239
2010;09;0,004936602367646175
2010;10;0,0016723647768452157
2010;11;0,0001488363508374325
2010;12;0,0023616191185907537
2011;01;0,022382751201168432
2011;02;0,021394686154870918
2011;03;0,005783951722782776
2011;04;0,017431507787298562
2011;05;0,004630715897610694
2011;06;0,00411725383621389
2011;07;0,008299550563958027
2011;08;0,008337395217337793
2011;09;0,005919907473836239
2011;10;0,005519518821328492
2011;11;0,008138931914331744
2011;12;0,0007169121421314039
2012;01;0,0005560587663131573
2012;02;0,0010954466641470934
2012;03;0,00017419518619569464
2012;04;0,0025868357678988903
2012;05;0,005538245817584756
2012;06;0,0023463889491858276
2012;07;0,006913975369336718
2012;08;0,022335224092370185
2012;09;0,002257302776888653
2012;10;0,009797502571339718
2012;11;0,004256202511050691
2012;12;0,003737264604080146
2013;01;0,006038331288248419
2013;02;0,025760204607223405
2013;03;0,016032306605365153
2013;04;0,0028381922446281548
2013;05;5,521175421208569e-05
2013;06;0,003452035522459689
2013;07;0,003853879345488959
2013;08;0,0022350202722330637
2013;09;0,006518375032243532
2013;10;0,0007137720199706626
2013;11;0,0004570559069129725
2013;12;0,0017833668589588467
2014;01;0,006948744186521237
2014;02;0,010802866370478758
2014;03;0,015035893920482178
2014;04;0,0014729928988601632
2014;05;0,004500339014511578
2014;06;0,002894431914944933
2014;07;0,00897474111448286
2014;08;0,0003868877755746483
2014;09;0,014370911816442218
2014;10;0,011134057244733587
2014;11;0,011598361476674078
2014;12;0,006795407323591696
2015;01;0,0019586796319393095
2015;02;0,0019715620802391366
2015;03;0,0015331164305077219
2015;04;0,009799192797724822
2015;05;0,023707150882009382
2015;06;0,013451679872718269
2015;07;0,0037503047649271913
2015;08;0,006470540669497385
2015;09;0,007135110519179129
2015;10;0,00931648530705687
2015;11;0,007644052453022554
2015;12;0,0063528182314523405
2016;01;0,006039290632656582
2016;02;0,0010108159810302095
2016;03;0,011783152638341518
2016;04;0,004224199144233139
2016;05;0,0028945201021027293
2016;06;0,001956686767008949
2016;07;0,0053911496383825435
2016;08;0,002093838401856437
2016;09;0,0029274010547671986
2016;10;0,03466042610162112
2016;11;0,014497402530509228
2016;12;0,016799539823256715
2017;01;0,0028678908771647897
2017;02;0,0028869276470020393
2017;03;0,0007400056389670904
2017;04;0,0016211240821068524
2017;05;0,002165032636105554
2017;06;0,0028884226606933857
2017;07;0,03662533158206495
2017;08;0,02742842806097823
2017;09;0,03239120388255056
2017;10;0,0012748549817410055
2017;11;0,00043636077109769454
2017;12;0,000704574181830539
