Ano;Mes;MDQI
2008;01;0,005413979339579617
2008;02;0,007863051647428919
2008;03;0,003265474899783525
2008;04;0,001964602754590036
2008;05;0,00041666804213296945
2008;06;0,0001730146663482921
2008;07;0,0009327626484344285
2008;08;0,0031628454640815445
2008;09;0,002843137971531463
2008;10;0,0015728457171673444
2008;11;0,0006592871982547874
2008;12;2,8177409687275557e-05
2009;01;0,00520608100726262
2009;02;1,8556865021932342e-05
2009;03;0,0005910575198000339
2009;04;0,0004942928104192961
2009;05;0,0036085358452020355
2009;06;9,319766676900138e-06
2009;07;0,0016818808959363069
2009;08;7,938405518590883e-06
2009;09;0,00014763403814322635
2009;10;0,0003635553933291299
2009;11;2,5563368728142202e-05
2009;12;2,3068534848578455e-05
2010;01;0,0004604275200782711
2010;02;1,6990517681276856e-05
2010;03;0,0022768683194584155
2010;04;0,002173373649953624
2010;05;7,840157925539016e-06
2010;06;5,346175525115046e-05
2010;07;2,939567984111871e-05
2010;08;0,0004175719199890466
2010;09;0,0033289434998789846
2010;10;0,00011905643326025285
2010;11;0,0004867598399680326
2010;12;1,6505595632713716e-05
2011;01;0,0018016447118665332
2011;02;1,2900610736231978e-05
2011;03;0,002260500270455974
2011;04;0,0001060301123894826
2011;05;0,0003734784002273685
2011;06;0,00022870991688148833
2011;07;0,0019025056908935798
2011;08;0,002038185616898209
2011;09;0,003513917518237504
2011;10;0,00015872881133459688
2011;11;0,0020905921929999824
2011;12;0,00021439589755778491
2012;01;0,0004649862083958777
2012;02;1,1720599066284146e-05
2012;03;3,766812717608594e-05
2012;04;4,095418167169406e-05
2012;05;0,0012237327200168388
2012;06;9,055808143567452e-06
2012;07;0,00038933556174593995
2012;08;0,0013774902031430114
2012;09;0,0024670376705375166
2012;10;0,0005756522972095012
2012;11;0,005671636396714244
2012;12;2,198781132500791e-05
2013;01;0,00046435742380034577
2013;02;0,004992166522910789
2013;03;7,918755999980509e-06
2013;04;0,0014768276894938004
2013;05;5,698360397008306e-06
2013;06;0,00015116702158937147
2013;07;0,004250642814351819
2013;08;0,0055416947851277985
2013;09;1,1187780912792974e-05
2013;10;0,00015281430623287446
2013;11;0,0015083808864783384
2013;12;0,006663230358852084
2014;01;0,00046571324058446146
2014;02;0,0025502092640047117
2014;03;0,003728928445727794
2014;04;7,492361446135404e-06
2014;05;6,464691622812872e-06
2014;06;0,00024889259243015654
2014;07;4,460440724554777e-06
2014;08;0,004200929532267575
2014;09;1,9939021517899638e-05
2014;10;0,00012239685142401632
2014;11;2,2253734810201634e-05
2014;12;1,8529496049582183e-05
2015;01;0,006703472572966129
2015;02;0,0012549270325793284
2015;03;0,0023801068902373173
2015;04;0,003925408567200593
2015;05;0,00023459560268924884
2015;06;0,0024052713737376693
2015;07;0,005983180169265669
2015;08;0,00029328871477843436
2015;09;0,005195028808028237
2015;10;9,313871821317025e-06
2015;11;2,5928849774295147e-05
2015;12;0,0009664419233326087
2016;01;0,0004664795718102661
2016;02;0,0004583846477123995
2016;03;0,0023853729612248976
2016;04;0,00036714601536319883
2016;05;7,13277525556557e-06
2016;06;6,04668086357486e-05
2016;07;0,0027491444992587414
2016;08;0,0011228127924339608
2016;09;0,0003026386107172038
2016;10;0,0004399920207234827
2016;11;1,9735976492259113e-05
2016;12;0,0022235198764312515
2017;01;0,0016343487104178132
2017;02;0,0003798174752847793
2017;03;0,0011572190995207245
2017;04;0,003079868166925752
2017;05;5,226771950359343e-06
2017;06;0,004457894146942873
2017;07;5,9420144277769375e-05
2017;08;0,00010023219443151508
2017;09;0,0009358954366848757
2017;10;1,7173679265466415e-05
2017;11;1,821313879995517e-05
2017;12;8,822633856057689e-05
