Ano;Mes;MDQI
2008;01;0,004560866241455009
2008;02;0,003272063586644465
2008;03;0,0016378856237676805
2008;04;0,0007422107867263783
2008;05;8,252797816356858e-07
2008;06;0,000501622735844919
2008;07;1,2182701538431551e-06
2008;08;0,004297585514312002
2008;09;2,6436462338396462e-05
2008;10;0,00026670291609859906
2008;12;0,000601845105517129
2009;01;0,0026662628297601863
2009;02;0,0002743283328564676
2009;03;0,004232722453379159
2009;04;9,137026153823662e-07
2009;05;1,0217749677394206e-06
2009;06;0,00017049690803034955
2009;07;7,181899052091503e-05
2009;08;4,552793462023533e-05
2009;09;7,126880399982458e-05
2009;10;0,0012746446227363166
2009;11;0,007142920957008058
2009;12;0,004964843867283064
2010;01;0,001168340727054196
2010;02;0,002417722384774268
2010;03;0,003586941024249235
2010;04;0,000963834432213012
2010;05;0,0007814810046531632
2010;06;9,74616123074524e-07
2010;07;1,257569191063902e-06
2010;09;0,00024217180208145514
2010;10;3,438665756815357e-05
2010;11;0,0047299135677934855
2010;12;0,0030925591360122387
2011;01;0,003968829418441844
2011;02;0,0003903250553616766
2011;03;2,5760518898199617e-05
2011;04;2,030450256405258e-06
2011;05;3,558527820338635e-05
2011;06;8,121801025621033e-07
2011;07;0,000285114515036519
2011;08;0,0012786924235700537
2011;09;0,0027989350694495206
2011;10;0,0003513726917906983
2011;11;0,004266361774256165
2011;12;0,0038894453632559354
2012;01;0,0015215997726314905
2012;02;0,0017105143099692638
2012;03;2,0081808019801685e-05
2012;04;0,00047023197488089383
2012;05;1,0414244863497939e-06
2012;06;2,2131907794817317e-06
2012;07;0,0005165858442667186
2012;08;1,1337772238185492e-05
2012;09;0,0003020294756402822
2012;10;0,0031943239928953625
2012;11;0,00433888945741496
2012;12;0,0029910104238338284
2013;01;0,0035904386385618814
2013;02;9,07176168129635e-06
2013;03;7,466817071941918e-07
2013;04;0,0025065908415322913
2013;05;0,00044730164164654166
2013;06;0,00024629361610195783
2013;07;0,0007197618666979801
2013;08;3,0456753846078876e-06
2013;09;0,0006307390676497294
2013;10;0,002345091448073632
2013;11;0,004149123576451324
2013;12;0,00814568829041171
2014;01;0,0004506420598103051
2014;02;0,0010804315878654722
2014;04;1,2994881640993655e-06
2014;05;8,11525118608424e-06
2014;06;0,0004641609286142421
2014;07;2,416890789075937e-06
2014;09;7,78880718357057e-05
2014;10;0,0003119754069768996
2014;11;0,00034003950444018856
2014;12;0,002409070280669008
2015;01;0,00486461167285155
2015;02;0,007811831039156595
2015;03;0,00017142240035689815
2015;04;0,0005108003710038708
2015;05;0,0005047371845446633
2015;06;0,00040572457023489874
2015;07;0,0011351723396398857
2015;08;8,842283374668062e-07
2015;09;0,00022320739668663006
2015;10;0,0011942977411384995
2015;11;0,0034578567866581545
2015;12;0,0031224460538186163
2016;01;0,0005431912924651642
2016;02;0,0037282007359696026
2016;03;0,0019350256441937482
2016;04;1,9005014399953217e-05
2016;05;6,680836327526979e-06
2016;06;0,00020062878983540357
2016;07;0,00039788310234145234
2016;08;0,0009217589180126195
2016;09;0,00019023288452260867
2016;10;0,00035208007446067184
2016;11;0,0011886661891047665
2016;12;0,0021593248991311612
2017;01;0,0014938350028350323
2017;02;0,0017376665810396785
2017;03;0,004061535847245586
2017;04;6,01622410972878e-05
2017;06;0,0013544727570428197
2017;07;0,0010470442486723607
2017;08;0,0015083756466067089
2017;09;0,00016942076939445476
2017;10;0,0040931715722082864
2017;11;0,001293924730396815
2017;12;0,0018829937189134786
