Ano;Mes;MDQI
2008;01;0,00865524832236163
2008;02;0,00401515989940312
2008;03;0,00324141831188926
2008;04;0,002803274488071894
2008;05;0,0007826889376651399
2008;06;0,00045721044675278477
2008;07;0,0018204595702278209
2008;08;0,00039808136691318283
2008;09;0,0018882233388062453
2008;10;0,004405077449820035
2008;11;0,008442745733283095
2008;12;0,00753665382674885
2009;01;0,01629429973476472
2009;02;0,0081249462236319
2009;03;0,0036882825835869958
2009;04;0,0016897156927725475
2009;05;0,000154599335212878
2009;06;0,0038034216241438837
2009;07;0,00015417793253458452
2009;08;0,00020413632900069276
2009;09;0,0005803509630766382
2009;10;0,007744726943928337
2009;11;0,028203395222157132
2009;12;0,01031408561074866
2010;01;0,006088514612337482
2010;02;0,013167659393155048
2010;03;0,0011801603796492137
2010;04;0,001808387122797657
2010;05;0,008969855425169131
2010;06;0,0036609838223659666
2010;07;0,0011311889526138454
2010;08;0,002008859836057502
2010;09;0,004587666055203988
2010;10;0,0027522585187438582
2010;11;0,01030106057147467
2010;12;0,015001026004626201
2011;01;0,013261542285895723
2011;02;0,003021618001754632
2011;03;0,0017753805731945843
2011;04;0,00026099463984664844
2011;05;0,0007226723246408163
2011;06;0,0008895658981671705
2011;07;0,0014090374816834
2011;08;0,00044424713927464975
2011;09;1,1470654833442884e-05
2011;10;0,0013805262636335965
2011;11;0,0020814941324334654
2011;12;0,005342742767199682
2012;01;0,008582353483389947
2012;02;0,0018827774548655478
2012;03;0,0001927473671426033
2012;04;0,0026080097944036957
2012;05;0,0003966397261716525
2012;06;0,0021790691832893755
2012;07;0,0005291819580391166
2012;08;0,00026528407552990944
2012;09;0,00023272480420818335
2012;10;0,004375224396926191
2012;11;0,017208973100225792
2012;12;0,00990357286482582
2013;01;0,012713663356393373
2013;02;0,008382102851453858
2013;03;0,00615803496471174
2013;04;0,002723220547346188
2013;05;0,0038122969559911003
2013;06;0,0026084681622292076
2013;07;9,204321657462789e-07
2013;08;1,9284717304009386e-05
2013;09;0,0005686855019173527
2013;10;0,0021200879640386485
2013;11;0,00978863972013894
2013;12;0,005920397122786715
2014;01;0,014651006722126807
2014;02;0,010280924309197125
2014;03;0,0010005319432545364
2014;04;0,0010252886113013336
2014;05;0,0018651837018477575
2014;06;8,361775056906366e-05
2014;07;0,00277348390627685
2014;08;0,0015162622842207585
2014;09;0,0019241135395438507
2014;10;0,005891752830206924
2014;11;0,004911170607254862
2014;12;0,007081660919177716
2015;01;0,010105945956304178
2015;02;0,0057618063437845125
2015;03;0,0010538282925144956
2015;04;0,00010252542337144204
2015;05;0,0013435759024737581
2015;06;3,199407422075178e-05
2015;07;0,00011680616869645248
2015;08;0,0003597891709093045
2015;09;0,0005654081719649404
2015;10;0,003598579260831313
2015;11;0,009083337687827675
2015;12;0,025280833834358935
2016;01;0,011071102253670395
2016;02;0,008294019599112764
2016;03;0,0028718481630258803
2016;04;0,0011226573966357635
2016;05;0,0005001717105018604
2016;06;0,0007903980191176052
2016;07;0,000663431979708086
2016;08;0,00016329353783872235
2016;09;0,0012106640191341066
2016;10;0,006345647872905661
2016;11;0,00778036984783105
2016;12;0,004894824988806214
2017;01;0,004363968509598089
2017;02;0,015401686878723338
2017;03;0,001905704896228925
2017;04;0,001233914727083213
2017;05;0,0012679341217200788
2017;06;0,0004600408680753227
2017;07;0,001235020354636525
2017;08;1,780980792998222e-05
2017;09;0,002935949055166401
2017;10;0,004351603667853425
2017;11;0,010330602377828933
2017;12;0,012972659660381379
