Ano;Mes;MDQI
2008;01;0,001252468496331081
2008;02;3,4951784932469463e-05
2008;03;4,920348897539208e-06
2008;04;5,166119088702725e-06
2008;05;5,914308825584817e-06
2008;06;4,512050598738384e-06
2008;07;7,046730833159168e-06
2008;08;6,745081302757268e-06
2008;09;1,2371092298466171e-05
2008;10;7,828052567642781e-06
2008;11;7,910140800506251e-06
2008;12;1,1294549630130204e-05
2009;01;0,0004756469136268404
2009;02;0,0021633643799789867
2009;03;0,001088895463859637
2009;04;3,1374847877976984e-06
2009;05;4,297269539659871e-06
2009;06;6,66843265158957e-06
2009;07;4,653314887019493e-06
2009;08;4,005510157795738e-06
2009;09;4,164576713444827e-06
2009;10;0,0031205891173790128
2009;11;0,0014884146074751034
2009;12;1,3015435475701706e-05
2010;01;0,0004569199173705781
2010;02;7,445868970576203e-06
2010;03;6,636289668841827e-06
2010;04;0,0026063913937668087
2010;05;9,984104948876043e-06
2010;06;7,658733224676203e-05
2010;07;5,375295730276503e-06
2010;08;5,182437833790041e-06
2010;09;7,583106555524081e-06
2010;10;0,0007232517273441125
2010;11;0,0028575434740929595
2010;12;1,3326975154641377e-05
2011;01;0,0004614100448067245
2011;02;7,298046571895645e-06
2011;03;9,746741383969628e-06
2011;04;4,752216372397166e-06
2011;05;4,346720282348709e-06
2011;06;4,128807342899902e-06
2011;07;0,00017937267895521582
2011;08;4,262654019777686e-06
2011;09;0,0031413683194568614
2011;10;0,0003303903020526528
2011;11;0,00031277759586497897
2011;12;8,214757375469482e-05
2012;01;0,00045782486596178385
2012;02;8,500071108803827e-06
2012;03;5,3901309530831535e-06
2012;04;0,0011038478849264603
2012;05;4,796722040817119e-06
2012;06;3,2177103760198865e-05
2012;07;3,7335310730071387e-06
2012;08;4,079686271828993e-06
2012;09;6,647993011278185e-06
2012;10;8,095086578162499e-06
2012;11;3,676580301010495e-05
2012;12;9,76157660677628e-06
2013;01;0,0004632891730289003
2013;02;0,0010548825365990738
2013;03;0,0018031768264799941
2013;04;4,1134776126663636e-06
2013;05;5,2170533536722274e-06
2013;06;0,0007254283842014661
2013;07;0,0014371622093943038
2013;08;0,0011704496287020655
2013;09;6,295409215906783e-06
2013;10;9,534103190407632e-06
2013;11;1,0572403951064232e-05
2013;12;9,796192126658464e-06
2014;01;0,0004581858563834124
2014;02;7,3637454157536726e-06
2014;03;0,0015813853004462953
2014;04;4,0061695010315885e-06
2014;05;5,672000186409521e-06
2014;06;0,00020962895103357132
2014;07;4,4851823618774505e-06
2014;08;5,256613947823295e-06
2014;09;5,3091965708824245e-06
2014;10;7,0417857588902844e-06
2014;11;1,0827899454956552e-05
2014;12;1,3663240204925462e-05
2015;01;0,00673948347868489
2015;02;1,1278301528961013e-05
2015;03;0,0022204866989568145
2015;04;4,78798574294209e-06
2015;05;4,296280524806095e-05
2015;06;0,00016911247402632705
2015;07;3,1401221607411027e-06
2015;08;2,7247359221548787e-06
2015;09;0,0037182669474255655
2015;10;0,0012859467833261115
2015;11;9,683279597518954e-06
2015;12;0,007408809171126827
2016;01;0,0004595259715102799
2016;02;0,00010231273402419035
2016;03;0,0014447726786941152
2016;04;0,0005538222740571502
2016;05;3,451661839680771e-06
2016;06;0,0004145363451552124
2016;07;5,647274815065102e-06
2016;08;5,26155902209218e-06
2016;09;7,4451389834222245e-06
2016;10;0,007436605433592221
2016;11;9,586191306039872e-06
2016;12;1,31984032236504e-05
2017;01;0,0015820232150269811
2017;02;8,475150857685265e-06
2017;03;0,001246415859620656
2017;04;0,0022537309497442388
2017;05;0,0007767376506363578
2017;06;1,6637867213467927e-05
2017;07;1,2224223592680326e-05
2017;08;3,827487484115927e-06
2017;09;0,0026766679870674306
2017;10;3,139627653314215e-05
2017;11;4,269840861048463e-05
2017;12;0,00035665359149469384
