Ano;Mes;MDQI
2008;01;2,094687835533779e-05
2008;02;7,364188478981096e-06
2008;03;6,586363666051476e-06
2008;04;0,00027748772092663494
2008;05;4,302234762365101e-06
2008;06;0,0004080322619050327
2008;07;4,678336308755227e-06
2008;08;6,430419122426302e-06
2008;09;8,151924574602243e-06
2008;10;7,485338094008362e-06
2008;11;1,9375039337775564e-05
2008;12;1,2053595901381111e-05
2009;01;0,0005016002111745971
2009;02;1,1750552407991853e-05
2009;03;1,7832717223961094e-05
2009;04;4,578348336666144e-06
2009;05;0,0006027164879028497
2009;06;4,957507619205783e-06
2009;07;0,004878303079724941
2009;08;4,770068393240623e-06
2009;09;0,0016986904596699645
2009;10;8,072423434714898e-06
2009;11;1,0085636915554403e-05
2009;12;1,2686547284330348e-05
2010;01;0,00046156832950517004
2010;02;1,778324742125647e-05
2010;03;7,393606009522966e-06
2010;04;6,303523072221501e-06
2010;05;0,00036650637035295355
2010;06;7,289337206824564e-06
2010;07;7,73943596803291e-05
2010;08;9,796986623040356e-06
2010;09;1,8161729633648717e-05
2010;10;3,1803513691087e-05
2010;11;1,100509817571303e-05
2010;12;1,2851665036404062e-05
2011;01;0,0004603574659899627
2011;02;1,071463508248177e-05
2011;03;8,980571071120328e-06
2011;04;0,000835866117340698
2011;05;0,0008026465660387716
2011;06;0,004525048020523132
2011;07;6,9441187955445226e-06
2011;08;0,00046398088332713595
2011;09;0,005175069215527028
2011;10;0,0034477412221751817
2011;11;1,2246844826030348e-05
2011;12;1,1072062597387367e-05
2012;01;0,0004602382142801317
2012;02;1,2070993365680065e-05
2012;03;0,0012721405476434798
2012;04;0,002807172101156663
2012;05;6,274474578801126e-06
2012;06;0,0008286526119903814
2012;07;0,0014825280834107372
2012;08;3,038166638156335e-05
2012;09;0,00022164703759060955
2012;10;0,0013529473408666654
2012;11;1,4493363575077708e-05
2012;12;1,5511895486480562e-05
2013;01;0,00046765016670655173
2013;02;1,6706705886902853e-05
2013;03;0,0011551179274654595
2013;04;5,488330614761278e-06
2013;05;7,0358508800299184e-06
2013;06;5,848531933173936e-06
2013;07;4,5866042242698295e-06
2013;08;0,002198185113732007
2013;09;0,0014542938651269767
2013;10;1,266820086743327e-05
2013;11;1,0445838233967061e-05
2013;12;1,1705013980336607e-05
2014;01;0,00046023821428013175
2014;02;1,0948224283332082e-05
2014;03;8,787933693700993e-06
2014;04;2,4190362226028984e-05
2014;05;0,00013434163772886335
2014;06;6,076027502697719e-06
2014;07;4,100424176497228e-06
2014;08;6,678095750536872e-06
2014;09;7,564227686665803e-06
2014;10;9,11816919784842e-06
2014;11;0,0012201440501946224
2014;12;1,4952329771119646e-05
2015;01;0,0004632378534428042
2015;02;1,3030214986563136e-05
2015;03;0,001106564135147339
2015;04;4,8266976667296064e-05
2015;05;9,032858359277001e-05
2015;06;0,003169724207121065
2015;07;0,004438842182580752
2015;08;9,622695662518102e-06
2015;09;0,0002458468787987021
2015;10;2,1153418682332455e-05
2015;11;1,1317904583808231e-05
2015;12;1,176922643947638e-05
2016;01;0,00045999971086046966
2016;02;7,81525728062308e-06
2016;03;7,3110471334861086e-06
2016;04;6,0855064847612105e-06
2016;05;0,0015247615351078137
2016;06;0,0008532410914630772
2016;07;0,003354110283540938
2016;08;0,0016770643149789178
2016;09;0,0016032939841829912
2016;10;0,00027526963912377807
2016;11;0,0007990876669343531
2016;12;1,56586668216572e-05
2017;01;0,00046532934496907116
2017;02;1,3538017597107295e-05
2017;03;1,0604228966511846e-05
2017;04;0,0024936926853349525
2017;05;6,081837201381795e-06
2017;06;0,0033323171864561266
2017;07;0,0004169406704030246
2017;08;1,5209179607678754e-05
2017;09;8,777537390792648e-06
2017;10;0,002390602334148575
2017;11;1,016146877206233e-05
2017;12;1,2750759743470126e-05
