Ano;Mes;MDQI
2008;01;1,2529233605115839e-05
2008;02;8,60953060525353e-06
2008;03;6,476285164669e-06
2008;04;5,971758699999317e-06
2008;05;4,0453849258059905e-06
2008;06;4,464600551904252e-06
2008;07;2,483187527019686e-05
2008;08;0,0024338815316087845
2008;09;0,0015043997643145897
2008;10;8,531083857141883e-06
2008;11;1,2066744166824016e-05
2008;12;1,2319618946388762e-05
2009;01;0,0021728945780393836
2009;02;9,851370644556696e-06
2009;03;0,00035685615506508974
2009;04;3,377361309221836e-05
2009;05;0,0034092504395251103
2009;06;4,322415820951888e-06
2009;07;5,439712609984018e-06
2009;08;0,001881902059634808
2009;09;0,0028488891012180867
2009;10;0,0001778501654002869
2009;11;7,801202238253076e-05
2009;12;0,0005097918863191429
2010;01;0,00045945849156200577
2010;02;1,2126326339794533e-05
2010;03;7,109236547618236e-06
2010;04;0,00014611850850871348
2010;05;0,0017335437593965762
2010;06;5,545204507142223e-06
2010;07;3,5683780864819274e-06
2010;08;8,604469524730201e-06
2010;09;9,583250866189382e-06
2010;10;9,228247699230898e-06
2010;11;1,5507614655871244e-05
2010;12;1,3163554123654411e-05
2011;01;0,00046106380304050025
2011;02;2,0505069413773165e-05
2011;03;3,889440382180816e-06
2011;04;5,014381511586729e-06
2011;05;6,3662066632865236e-06
2011;06;0,004806782325414212
2011;07;0,0009917614314138654
2011;08;1,5484375861134947e-05
2011;09;6,313002054284993e-06
2011;10;0,00015444931064806223
2011;11;7,441000919840419e-06
2011;12;1,1668321146542447e-05
2012;01;0,0014052621486486871
2012;02;1,2031769991624239e-05
2012;03;7,118409756066775e-06
2012;04;0,0033354831664653326
2012;05;3,880267173732275e-06
2012;06;0,002326455004788781
2012;07;0,0004321498500107033
2012;08;0,003144896918455094
2012;09;0,0029171662090214123
2012;10;7,466991677111282e-06
2012;11;0,00018584492233680413
2012;12;1,3044302413823396e-05
2013;01;0,00046010978936185214
2013;02;1,1801332669046269e-05
2013;03;0,001258270656469288
2013;04;4,7110540855550165e-06
2013;05;2,982210066620243e-05
2013;06;0,002356493898947985
2013;07;6,0167074213971626e-05
2013;08;0,0033472762432467757
2013;09;0,006696986138694948
2013;10;7,907305682641186e-06
2013;11;1,2654441054760459e-05
2013;12;1,1549069436711432e-05
2014;01;0,00045895396509733615
2014;02;0,00189979112656781
2014;03;0,0006730016110355606
2014;04;6,948093852538888e-06
2014;05;4,476525722887354e-06
2014;06;0,0034561885240618263
2014;07;0,0010465530054769925
2014;08;5,219555607219066e-06
2014;09;6,170817323332628e-06
2014;10;0,00016148516152809215
2014;11;0,0024772561304368594
2014;12;8,114620193578182e-05
2015;01;0,0004967475839053196
2015;02;9,749810122447866e-06
2015;03;0,002463006468432898
2015;04;4,311041042475698e-05
2015;05;0,0023632661729719264
2015;06;0,0018716818823286746
2015;07;0,001887910511168601
2015;08;5,632349987403351e-06
2015;09;6,3698759466659386e-06
2015;10;1,1356432059292099e-05
2015;11;1,0474275180157535e-05
2015;12;1,2998436371580697e-05
2016;01;0,0019101830612816562
2016;02;1,2433809575696445e-05
2016;03;1,0273993462364416e-05
2016;04;4,549911390475671e-06
2016;05;4,705855934100846e-06
2016;06;0,004174799633277141
2016;07;0,00194370196495262
2016;08;0,0011047019738322855
2016;09;0,0019951171867594545
2016;10;0,0020875653930510674
2016;11;1,927077053507716e-05
2016;12;1,617236649477542e-05
2017;01;0,00046038498561530827
2017;02;0,0006338899987422744
2017;03;0,00022999985543023489
2017;04;0,0027326483441734973
2017;05;5,944239074653699e-06
2017;06;0,0002497427404267968
2017;07;0,00016884207470382095
2017;08;0,0005971666967914832
2017;09;6,009674628253282e-06
2017;10;0,0018034619541913454
2017;11;0,00019711543201029493
2017;12;1,7355710384637032e-05
