Ano;Mes;MDQI
2008;01;0,0005433041081999367
2008;02;7,090128307639878e-06
2008;03;8,738754085059832e-06
2008;04;0,001353277440316908
2008;05;4,759133680126482e-06
2008;06;5,214533540897205e-06
2008;07;0,001364312908675241
2008;08;0,0030624478204754123
2008;09;0,0032431289688394167
2008;10;6,3044845590181265e-06
2008;11;1,147480009541607e-05
2008;12;1,13918343550154e-05
2009;01;0,00045891450834484
2009;02;9,084553207137986e-06
2009;03;0,00010739504824722202
2009;04;0,00040835874181925885
2009;05;0,0024053728321735816
2009;06;4,988429105519548e-06
2009;07;6,096614352299958e-05
2009;08;0,00020655734225468497
2009;09;0,002882068448595722
2009;10;1,760058921357121e-05
2009;11;9,326807959328335e-06
2009;12;9,135348558403706e-06
2010;01;0,00046106158876949477
2010;02;7,403910863817459e-06
2010;03;5,88053874268502e-06
2010;04;0,002107420521464659
2010;05;0,002562684081376153
2010;06;5,6102163028081035e-06
2010;07;0,0001828574035545149
2010;08;0,0017996363146625409
2010;09;6,7690015341185945e-06
2010;10;7,74043006595284e-06
2010;11;1,1206301078405106e-05
2010;12;1,0667023765800735e-05
2011;01;0,00045916067043174307
2011;02;0,001500389666768898
2011;03;5,456592926351915e-06
2011;04;5,6808739388636215e-06
2011;05;0,001340461968559303
2011;06;0,004450244023211881
2011;07;0,002382165217647218
2011;08;0,00017537681124695976
2011;09;0,001051809570322436
2011;10;0,0032465223587929484
2011;11;8,281074945706673e-06
2011;12;0,0005855512263849872
2012;01;0,0004601179674363662
2012;02;1,0203937234500277e-05
2012;03;8,49259199815674e-06
2012;04;0,001886841513226544
2012;05;3,8018366755033395e-06
2012;06;0,00292572073615082
2012;07;0,001124317980586892
2012;08;0,005421118234494879
2012;09;0,0030250795039720893
2012;10;8,533619012640589e-06
2012;11;0,0005603291854474663
2012;12;1,1391834355015401e-05
2013;01;0,00046107526444098937
2013;02;1,2067314843481625e-05
2013;03;0,0013293709989771689
2013;04;1,235095478250449e-05
2013;05;0,0008216616947395381
2013;06;0,0005048346780894627
2013;07;9,337748496524029e-05
2013;08;0,005503842371365813
2013;09;0,006072543347046567
2013;10;8,219078568264413e-06
2013;11;1,1163906496771794e-05
2013;12;9,162699901392939e-06
2014;01;0,0004614171562283548
2014;02;0,0006480920257972239
2014;03;0,0010958178811921117
2014;04;6,203740445674452e-06
2014;05;0,00036188561909053724
2014;06;0,001737640848931713
2014;07;0,002614378119625803
2014;08;0,00014297914547621368
2014;09;6,048293646352315e-06
2014;10;0,0010594132436734427
2014;11;0,0030962741380616285
2014;12;1,1979888229283903e-05
2015;01;0,00045797088701171146
2015;02;8,236661574471775e-06
2015;03;0,0009214804209787427
2015;04;0,0014442986070836255
2015;05;0,002665292644600259
2015;06;0,00018898091339408758
2015;07;0,0032233831226240574
2015;08;5,565998298308845e-06
2015;09;5,511295612330378e-06
2015;10;0,00028824212809202827
2015;11;1,1927008966171384e-05
2015;12;1,0366158992919178e-05
2016;01;0,0004594068325186462
2016;02;9,06366917677675e-06
2016;03;6,249781873039661e-06
2016;04;9,220821505245057e-05
2016;05;5,456592926351915e-06
2016;06;0,0019307340367442315
2016;07;0,001290778254019362
2016;08;0,004542442665294286
2016;09;0,0021693448737037145
2016;10;0,001256876264384208
2016;11;3,303951061956007e-05
2016;12;1,1309780326047703e-05
2017;01;0,0004572871034369806
2017;02;8,963425831042813e-06
2017;03;0,0023393330145260794
2017;04;0,002780561688638365
2017;05;4,4309175642556904e-06
2017;06;0,00026451392633743603
2017;07;0,001508248782126751
2017;08;0,003469121263710818
2017;09;2,0236346966300266e-05
2017;10;0,002219123862088402
2017;11;9,538780867494888e-06
2017;12;1,2280753002165463e-05
