Ano;Mes;MDQI
2008;01;0,04374153858171612
2008;02;0,03062408579303613
2008;03;0,05010820514810715
2008;04;0,025746910446168732
2008;05;0,037015547392622555
2008;06;0,030619076847733264
2008;07;0,022582166266135434
2008;08;0,025705732318224313
2008;09;0,02016690397089068
2008;10;0,023722060280930067
2008;11;0,05210165491591745
2008;12;0,03156509147853329
2009;01;0,03428741914951923
2009;02;0,048320536074534376
2009;03;0,04557081269209883
2009;04;0,05432480305384579
2009;05;0,028588374351933177
2009;06;0,03813222873429162
2009;07;0,023711433316326237
2009;08;0,03308918809357457
2009;09;0,0234863730962008
2009;10;0,02315002892472841
2009;11;0,029696319066055604
2009;12;0,02745511662680739
2010;01;0,030840366119057053
2010;02;0,031033013143447908
2010;03;0,03136239288425175
2010;04;0,03032965665083412
2010;05;0,028442509496223924
2010;06;0,03264061859345024
2010;07;0,027739438616971125
2010;08;0,02869637971903987
2010;09;0,021144066965167175
2010;10;0,02408650730947252
2010;11;0,03997587407055845
2010;12;0,032470841171770556
2011;01;0,06286778742621107
2011;02;0,0451464990049691
2011;03;0,03903471022794459
2011;04;0,02392118556454491
2011;05;0,02695631193037936
2011;06;0,026804712931383718
2011;07;0,03150434618621433
2011;08;0,024546176688136596
2011;09;0,026278238896063198
2011;10;0,018415862073412677
2011;11;0,028516037146184718
2011;12;0,03527342245306621
2012;01;0,07579073517786186
2012;02;0,03155123844978833
2012;03;0,028096092208465817
2012;04;0,04058718283299138
2012;05;0,030893926218463333
2012;06;0,021507110746467925
2012;07;0,026083793136229005
2012;08;0,017059477652200585
2012;09;0,018005284260209704
2012;10;0,023377438055131566
2012;11;0,025982875873743528
2012;12;0,032916748408744326
2013;01;0,033731123019641165
2013;02;0,04352152022569568
2013;03;0,03337969142657441
2013;04;0,033290900640046896
2013;05;0,041041416421183294
2013;06;0,02939862592474043
2013;07;0,037477521175895936
2013;08;0,029354761962124765
2013;09;0,030229798788092847
2013;10;0,030081856012175803
2013;11;0,029035265329014848
2013;12;0,03687015726404311
2014;01;0,03614416102047977
2014;02;0,030989547883332164
2014;03;0,04210120023282201
2014;04;0,035539041348165976
2014;05;0,028534700515818714
2014;06;0,024703247082139144
2014;07;0,03952885171933704
2014;08;0,028666941691917202
2014;09;0,031421986798445115
2014;10;0,025705712537927233
2014;11;0,029021259065491474
2014;12;0,06730438443339676
2015;01;0,035879362183529585
2015;02;0,041547642261210535
2015;03;0,056612332762038794
2015;04;0,03450390131414623
2015;05;0,02269880078784132
2015;06;0,025620133577137365
2015;07;0,04101100421442966
2015;08;0,034047128100645634
2015;09;0,028822963895010562
2015;10;0,030103035765269424
2015;11;0,031225474986581372
2015;12;0,028533503807845657
2016;01;0,03543917145241064
2016;02;0,03278302984907806
2016;03;0,04675765029692797
2016;04;0,03634079134929015
2016;05;0,04163174949725408
2016;06;0,027607694420836663
2016;07;0,03055781941055585
2016;08;0,023521854004080044
2016;09;0,022506486519852816
2016;10;0,02741143184071607
2016;11;0,03456270104941201
2016;12;0,034519328297507056
2017;01;0,03797729510688066
2017;02;0,039722145135578764
2017;03;0,040244295174410596
2017;04;0,029145184604699396
2017;05;0,025287245518071492
2017;06;0,030818445099330516
2017;07;0,02804263595561918
2017;08;0,024051184643969884
2017;09;0,023181127507790566
2017;10;0,01800335881312521
2017;11;0,02116356127211416
2017;12;0,033682775028514286
