Ano;Mes;MDQI
2008;01;1,2650205659319145e-05
2008;02;2,5878024907581187e-05
2008;03;7,895755445919887e-06
2008;04;5,248311602114725e-06
2008;05;0,0015669636801459632
2008;06;5,35144436285497e-06
2008;07;4,8904889770374585e-06
2008;08;4,912668065368694e-06
2008;09;6,3713127746196235e-06
2008;10;7,862486813423034e-06
2008;11;1,152795081163191e-05
2008;12;1,7521479781676157e-05
2009;01;0,00045785400996586277
2009;02;1,0079999591397823e-05
2009;03;9,625724335756266e-06
2009;04;5,477495514870827e-06
2009;05;3,958967267125561e-06
2009;06;5,007668493720819e-06
2009;07;4,67978763789072e-06
2009;08;4,258384959597242e-06
2009;09;0,0002032059162451975
2009;10;8,405874477538308e-06
2009;11;1,2650951984136806e-05
2009;12;0,001300659366552817
2010;01;0,0011269194781100827
2010;02;8,411458855135991e-05
2010;03;9,947321116559185e-06
2010;04;5,95878173165864e-06
2010;05;5,6445779802994705e-06
2010;06;4,870158146067159e-06
2010;07;3,892430002131854e-06
2010;08;0,0016291760229150789
2010;09;1,1539410007269715e-05
2010;10;8,927083053322343e-06
2010;11;1,5160515828816119e-05
2010;12;0,0001701579656772398
2011;01;0,0004588077107641059
2011;02;0,0010349495317379773
2011;03;8,006650887576065e-06
2011;04;4,068014451420803e-06
2011;05;3,1272514547042244e-06
2011;06;4,652433428948861e-06
2011;07;5,2897125669997e-06
2011;08;3,936788178794326e-06
2011;09;1,5756394001981983e-05
2011;10;9,61463479159065e-06
2011;11;8,812121445472105e-06
2011;12;1,1632931829733092e-05
2012;01;0,0004593400088840556
2012;02;7,183730230872287e-06
2012;03;3,981146355456797e-06
2012;04;0,002296927010424201
2012;05;2,8721919388950145e-05
2012;06;3,735697777924455e-06
2012;07;4,6132503728970125e-06
2012;08;3,5264750446664664e-06
2012;09;6,061914492398887e-06
2012;10;0,0016786797480703973
2012;11;0,00019398126375676437
2012;12;0,0023978255976665466
2013;01;0,0010525751740237809
2013;02;4,421203231257437e-05
2013;03;8,827277155831785e-06
2013;04;5,8327305796427855e-06
2013;05;0,002548310711993981
2013;06;3,67840179973543e-06
2013;07;2,827833762232544e-06
2013;08;4,202937238769154e-06
2013;09;7,310966816919639e-06
2013;10;0,0005794952199185249
2013;11;1,385416752610634e-05
2013;12;1,1621842285567474e-05
2014;01;0,0004605155005656111
2014;02;1,6857295297185397e-05
2014;03;5,345160287827788e-06
2014;04;1,6100169871116138e-05
2014;05;4,502354931240835e-06
2014;06;4,4690862987439806e-06
2014;07;5,3673393761590245e-06
2014;08;5,8885479519430615e-06
2014;09;0,0004780776420092279
2014;10;1,1544215476408148e-05
2014;11;1,5378240545934412e-05
2014;12;0,00427592861846725
2015;01;0,004341379108132726
2015;02;0,0008011696630171421
2015;03;6,409756527727099e-06
2015;04;4,37741273364154e-06
2015;05;5,300802111165317e-06
2015;06;4,228443190350074e-06
2015;07;5,611309347802616e-06
2015;08;3,970056811291179e-06
2015;09;0,0013682737959364775
2015;10;9,096753079056296e-05
2015;11;9,56842835756724e-06
2015;12;0,0032875397260740645
2016;01;0,00045982794882734276
2016;02;1,264858111607381e-05
2016;03;0,0008161904505894713
2016;04;8,560019141440394e-06
2016;05;5,511503450312056e-06
2016;06;6,073373688036692e-06
2016;07;4,945936697865547e-06
2016;08;5,422787096987113e-06
2016;09;6,084832883674496e-06
2016;10;0,00015697249766432022
2016;11;1,1929022658955088e-05
2016;12;0,0005196893082333479
2017;01;0,0004548376539528148
2017;02;1,4806917791992418e-05
2017;03;5,533682538643292e-06
2017;04;4,549300668208616e-06
2017;05;4,391459489584657e-06
2017;06;0,0005536854148274657
2017;07;3,3268632496853456e-06
2017;08;3,604101853825791e-06
2017;09;8,77774385855869e-06
2017;10;6,409756527727099e-06
2017;11;1,3945841091208782e-05
2017;12;0,0009527470974448894
