Ano;Mes;MDQI
2008;01;0,0003624227947033611
2008;02;4,856723227043524e-05
2008;03;9,08677248930724e-05
2008;04;1,7120038282880784e-05
2008;05;1,234266265633263e-05
2008;06;0,00019273221143224363
2008;07;6,820069661854959e-06
2008;08;1,484889963776226e-05
2008;09;8,720447880369666e-06
2008;10;0,0006787466402008042
2008;11;0,007264740421716733
2008;12;0,0001389630779393569
2009;01;0,0004964899818388752
2009;02;7,258581922575388e-05
2009;03;0,00010098138917211587
2009;04;4,870158146067159e-06
2009;05;0,00044223993178067294
2009;06;1,5939741132186862e-05
2009;07;1,5015242800246526e-05
2009;08;3,1716096313666964e-06
2009;09;3,3117075393256676e-06
2009;10;0,00015638475182354247
2009;11;0,005397556166101499
2009;12;0,0001717548600370888
2010;01;0,0054676664822253685
2010;02;0,005340263461968369
2010;03;5,822010686949355e-06
2010;04;6,199424840052547e-06
2010;05;3,166064859283887e-05
2010;06;1,277700313615266e-05
2010;07;5,345160287827788e-06
2010;08;3,14943054303546e-05
2010;09;0,0016063844220944293
2010;10;0,0010569888126016967
2010;11;0,007437888867803969
2010;12;0,00014903238404173787
2011;01;0,0004700081503713799
2011;02;0,0006473790724180566
2011;03;3,356805018932513e-05
2011;04;3,4835954738927435e-06
2011;05;7,872467403172089e-05
2011;06;1,7349222195636886e-05
2011;07;1,3285273910410144e-05
2011;08;1,2642080348804315e-06
2011;09;2,0970328017183295e-06
2011;10;6,143607467752271e-06
2011;11;1,874724406344911e-05
2011;12;0,0005884888402368407
2012;01;0,0004541390126703808
2012;02;0,0007118175728930498
2012;03;1,053506695733693e-06
2012;04;0,0002916938249603282
2012;05;1,3850840662856652e-05
2012;06;1,0255980095835546e-05
2012;07;1,0889932370636696e-05
2012;08;7,208203707651583e-07
2012;09;0,0005806718205544967
2012;10;0,0002626114953859955
2012;11;0,005640514032014243
2012;12;0,0002963902469144674
2013;01;0,0026146594547368724
2013;02;0,0022872759121552464
2013;03;0,0005155196396270756
2013;04;9,751775487772122e-06
2013;05;0,00031751582854996934
2013;06;1,981294925776498e-05
2013;07;9,647903424087501e-07
2013;08;4,025504532119268e-06
2013;09;1,3052023831459983e-05
2013;10;0,00038245619918382735
2013;11;0,002697700918660796
2013;12;0,001324890020554692
2014;01;0,003875474089102625
2014;02;0,004487134531873524
2014;03;3,604101853825791e-06
2014;04;1,0863317464639215e-05
2014;05;1,183254362471421e-05
2014;06;1,37624939610039e-05
2014;07;1,576933180350854e-05
2014;08;2,303298323198821e-05
2014;09;0,0015252876945656827
2014;10;0,004016388926815131
2014;11;0,003525868446600606
2014;12;0,00031115043019890477
2015;01;0,0016705400226528337
2015;02;0,0001692236715812865
2015;03;9,869694307399857e-06
2015;04;1,329266693985389e-06
2015;05;2,18464020062671e-06
2015;06;6,061914492398886e-06
2015;07;2,484057893098391e-06
2015;08;4,701966726221955e-06
2015;09;6,932813360872073e-06
2015;10;0,00024187404779629022
2015;11;0,00011696400987507644
2015;12;0,0007518932735172193
2016;01;0,0019053167621831287
2016;02;0,004914868766288456
2016;03;2,5339608418436714e-05
2016;04;2,577173098942362e-05
2016;05;1,9207090494850062e-05
2016;06;3,6566293280236e-05
2016;07;5,1788171253435215e-06
2016;08;1,0246738809030862e-05
2016;09;7,757875446794039e-06
2016;10;0,004431625818552523
2016;11;0,001064490519578265
2016;12;5,512612404728617e-05
2017;01;0,001195685741481079
2017;02;0,000400020056866422
2017;03;7,895755445919887e-06
2017;04;2,2402727471908928e-05
2017;05;1,924035912734692e-05
2017;06;5,202474819563506e-06
2017;07;1,3085662115429024e-06
2017;08;1,1533125932242531e-06
2017;09;0,00016435924303303826
2017;10;8,78291897916931e-06
2017;11;0,0003658921167151162
2017;12;0,00023814796095664265
