Ano;Mes;MDQI
2008;01;1,0538768630028494e-05
2008;02;2,4424899659501846e-05
2008;03;6,2794133267156995e-06
2008;04;4,372358581021936e-06
2008;05;4,515772890673238e-06
2008;06;3,1525072794259e-06
2008;07;3,875742087270731e-06
2008;08;5,333590028354219e-06
2008;09;0,00037758072035305734
2008;10;8,306177537490304e-06
2008;11;1,0963964710730635e-05
2008;12;1,3568653032133134e-05
2009;01;0,00046302672899485743
2009;02;0,00278282777320491
2009;03;9,956034719594542e-06
2009;04;2,513187621360507e-06
2009;05;4,060639874920345e-06
2009;06;5,165996777241044e-06
2009;07;1,3198857456833905e-05
2009;08;3,34238308443531e-06
2009;09;4,747132173680959e-06
2009;10;0,00467344092336476
2009;11;0,003902289616802084
2009;12;1,0766740403904384e-05
2010;01;0,0004621022400566094
2010;02;1,1660497704370024e-05
2010;03;4,686447771580573e-06
2010;04;0,0031888823634192752
2010;05;5,4687076424058595e-06
2010;06;6,033119991628587e-06
2010;07;4,593998877755767e-06
2010;08;4,394878183363876e-06
2010;09;6,885546202382443e-06
2010;10;6,378973673911645e-06
2010;11;0,0033133953782038734
2010;12;1,2665498453998486e-05
2011;01;0,0004646054716432502
2011;02;1,0503108668217158e-05
2011;03;6,599428728416952e-06
2011;04;4,850011199116769e-06
2011;05;5,447373282292442e-06
2011;06;3,2774318103122406e-06
2011;07;6,471422567736451e-06
2011;08;0,0020627268304724525
2011;09;0,00201212267647721
2011;10;0,0011464587323214248
2011;11;7,598350878616272e-06
2011;12;1,0887635111213745e-05
2012;01;0,00045950655957614366
2012;02;6,3095756979105316e-06
2012;03;6,5283141947055635e-06
2012;04;0,0001005936413707719
2012;05;3,6908442996211193e-06
2012;06;0,0019546647407713102
2012;07;3,5201694187137837e-06
2012;08;0,0005319651579746785
2012;09;0,002207284187728942
2012;10;7,395911505984517e-06
2012;11;8,962967666004125e-05
2012;12;1,2025467650595978e-05
2013;01;0,0004613413145458975
2013;02;0,0002306038604073556
2013;03;0,0023250327880669133
2013;04;5,974331977093838e-06
2013;05;5,980732285127863e-06
2013;06;0,0009744260379170935
2013;07;0,0016906911473613176
2013;08;0,002393153399909053
2013;09;6,547515118807638e-06
2013;10;5,653605430055472e-06
2013;11;1,3682910382962764e-05
2013;12;9,820917105542903e-06
2014;01;0,00045935721905534973
2014;02;7,621446170040636e-06
2014;03;0,001847093341352777
2014;04;4,666298653695679e-06
2014;05;5,411816015436748e-06
2014;06;0,0011778178712036904
2014;07;3,6623984861365634e-06
2014;08;4,0606398749203455e-06
2014;09;4,9896327336367965e-06
2014;10;6,322082046942533e-06
2014;11;1,3183212259417398e-05
2014;12;1,2473489212977732e-05
2015;01;0,006830309173564348
2015;02;6,4404369494764885e-06
2015;03;0,0011222300106859544
2015;04;5,327663817211602e-06
2015;05;0,0005314460218785855
2015;06;3,8947059629271025e-06
2015;07;0,0002284909968146947
2015;08;2,5174544933831914e-06
2015;09;0,00458222444440917
2015;10;0,0016356413868153312
2015;11;1,1375480812473874e-05
2015;12;0,004071449284044476
2016;01;0,00045813404907551385
2016;02;8,833405977074739e-06
2016;03;8,107056843098412e-06
2016;04;0,0029640402533293113
2016;05;3,4988350586003674e-06
2016;06;0,001314132579906139
2016;07;4,5655530642712114e-06
2016;08;4,124642955260595e-06
2016;09;3,6154628938870463e-06
2016;10;0,007861733036154232
2016;11;1,0853737183477984e-05
2016;12;1,2885953508503793e-05
2017;01;0,0017890212131240564
2017;02;9,432326974905665e-06
2017;03;0,002927436891682723
2017;04;0,001518031459818098
2017;05;4,09619714177604e-06
2017;06;4,357661577388247e-06
2017;07;0,00014224329032952142
2017;08;4,081974235033763e-06
2017;09;0,0018657331717838689
2017;10;0,0001269394426748304
2017;11;1,4932155691826173e-05
2017;12;5,38123676594085e-05
