Ano;Mes;MDQI
2008;01;0,0033598072529331764
2008;02;0,0022599961586681773
2008;03;0,005796332896799627
2008;04;0,0012268386539251851
2008;05;0,0001310229900939703
2008;06;0,0003304760837325199
2008;07;0,0003759935386094964
2008;08;0,00037778164480304033
2008;09;0,000697337836059822
2008;10;0,003030898946612887
2008;11;0,003736779738380546
2008;12;0,008404786842808095
2009;01;0,005174464931818528
2009;02;0,008127972144078892
2009;03;0,002394136646525124
2009;04;0,00039876012585542874
2009;05;0,000599899803174702
2009;06;0,00023358299749686094
2009;07;0,0001962790413990206
2009;08;2,141797528530708e-06
2009;09;3,5857751528116864e-05
2009;10;0,0022542124245006545
2009;11;0,0069723834399725805
2009;12;0,011387819562086112
2010;01;0,006123988619627605
2010;02;0,007403601763498259
2010;03;5,089225320086729e-05
2010;04;2,7411078461470985e-06
2010;05;0,00026782293865939037
2010;06;0,00030267921972233183
2010;07;1,768456674933612e-05
2010;08;0,0007861772396010426
2010;09;0,0005207698817628207
2010;10;0,00048153110306581217
2010;11;0,004806603673977911
2010;12;0,005544917306179899
2011;01;0,004211835015096333
2011;02;0,0058142160640406336
2011;03;2,5033486709615802e-05
2011;04;5,1817090543462195e-05
2011;05;1,0610740049601673e-05
2011;06;2,168520873840816e-05
2011;07;0,00010170590832729308
2011;08;0,00034978108078325814
2011;09;0,0004533589332501661
2011;10;0,0018354615333949856
2011;11;0,003577633047283501
2011;12;0,009323539384473329
2012;01;0,0042606444193245005
2012;02;6,427425294413887e-06
2012;03;4,9300642193427036e-05
2012;04;5,0172425835773944e-05
2012;05;8,645788188564327e-06
2012;06;1,5796902994832915e-05
2012;07;3,344348067485564e-05
2012;08;8,645788188564326e-07
2012;09;1,664969210252312e-06
2012;10;0,00023414366376121022
2012;11;0,0034878871459503888
2012;12;0,004635734080077919
2013;01;0,003687566209052958
2013;02;0,001019670363942545
2013;03;0,0002703184275229078
2013;04;1,0294382799974661e-05
2013;05;0,0007209015387773818
2013;06;2,747199196916315e-05
2013;07;2,063199454089214e-06
2013;08;1,0414244863497939e-06
2013;09;5,080186541525956e-05
2013;10;4,1755227047043624e-05
2013;11;0,003234507258453576
2013;12;0,0016983864915690206
2014;01;0,006352885861919845
2014;02;0,00429549003350591
2014;03;0,000834927695273379
2014;04;1,6852737128163646e-06
2014;05;0,00014184987484828606
2014;06;4,6700355897320944e-07
2014;07;0,0005998212051002605
2014;08;5,97738356127561e-05
2014;09;7,750228628698871e-05
2014;10;0,0030120550582655383
2014;11;0,0027716255135008696
2014;12;0,003987732255345023
2015;01;0,010065741001424355
2015;02;0,0026949223544219373
2015;03;0,00012695553974162297
2015;04;9,622303765104518e-05
2015;05;6,189598362267642e-05
2015;06;5,604042707678512e-06
2015;07;6,28784595531951e-07
2015;08;0,00020828489726995879
2015;09;0,00010897426526127023
2015;10;0,0025177910671402045
2015;11;0,006093401523974745
2015;12;0,0064730426682222805
2016;01;0,006413091986942031
2016;02;0,0038143408377094437
2016;03;0,0026944795384846827
2016;04;0,0009802810792898947
2016;05;0,0026869930718941303
2016;06;0,0029258991239825417
2016;07;4,322894094282163e-06
2016;08;1,4717489439169731e-05
2016;09;0,00014420257720990144
2016;10;0,003822578051424834
2016;11;0,0019772321551848764
2016;12;0,005231723629049156
2017;01;0,001921487125871201
2017;02;0,0019735541395775593
2017;03;0,0008995942610201182
2017;04;0,00012056813622534425
2017;05;0,0002079705049721928
2017;06;3,7969419794778337e-06
2017;07;6,103140480381998e-05
2017;08;6,254441773681876e-05
2017;09;0,0009843216753001411
2017;10;0,00032258614702650125
2017;11;0,0044726758248095026
2017;12;0,007622323362224414
