Ano;Mes;MDQI
2008;01;1,959875850101766e-05
2008;02;6,512492292317361e-06
2008;03;6,413761326742065e-06
2008;04;8,697066952494596e-06
2008;05;0,00040462081190286505
2008;06;5,881506499601222e-06
2008;07;3,5851788449406296e-06
2008;08;4,56677608731403e-05
2008;09;3,727168410781174e-05
2008;10;6,389035955397647e-06
2008;11;9,34602553238109e-06
2008;12;5,03754715771175e-05
2009;01;0,0004565144212805297
2009;02;0,002066004168285048
2009;03;0,00010529546640733906
2009;04;4,072598332043593e-06
2009;05;9,800642693500461e-05
2009;06;3,214133438965394e-06
2009;07;2,9967150069434783e-06
2009;08;3,342870205765331e-06
2009;09;0,000902435669298066
2009;10;5,123096942563437e-06
2009;11;1,0286248986704833e-05
2009;12;9,153332471703594e-06
2010;01;0,0009248970208063802
2010;02;8,716046618498024e-06
2010;03;6,59672907469076e-06
2010;04;3,1119352374084656e-06
2010;05;0,0012467372894481331
2010;06;5,252987560026113e-06
2010;07;2,97198963559906e-06
2010;08;0,000956050988700347
2010;09;0,00023602674649572588
2010;10;5,943979271198119e-06
2010;11;1,0582623771219921e-05
2010;12;1,1937409285085078e-05
2011;01;0,00045866058351322526
2011;02;0,00014800854540482141
2011;03;6,24562880160002e-06
2011;04;3,0301766761629233e-06
2011;05;2,4082511689463266e-06
2011;06;0,002537249200503469
2011;07;0,0022598494901371288
2011;08;2,7741866648437147e-06
2011;09;4,179906443678367e-06
2011;10;1,0528063118453243e-05
2011;11;8,078767833075182e-06
2011;12;1,0730811163477471e-05
2012;01;0,000463304008251707
2012;02;6,528350633938263e-06
2012;03;3,743421221544906e-06
2012;04;0,003088470530330995
2012;05;4,692875481170562e-06
2012;06;6,812021124777054e-05
2012;07;8,871463238377229e-05
2012;08;3,506057656638492e-06
2012;09;4,869744304187631e-06
2012;10;8,9703647237549e-06
2012;11;0,00010462029893382748
2012;12;1,03896010389245e-05
2013;01;0,0028977739609716544
2013;02;8,46967595403043e-06
2013;03;6,96760964485703e-06
2013;04;6,228980384894779e-06
2013;05;0,00041072797862493624
2013;06;0,00035929821721369275
2013;07;2,823637407532551e-06
2013;08;3,0313305268256637e-06
2013;09;0,0012748459157715128
2013;10;8,37201073721998e-06
2013;11;1,0940317476669173e-05
2013;12;9,865423166422835e-06
2014;01;0,0009317113331489021
2014;02;0,0002597403791927031
2014;03;4,005510157795739e-06
2014;04;1,1057845408459642e-05
2014;05;3,239023646118776e-06
2014;06;2,2636901644859618e-06
2014;07;0,0004736837191420937
2014;08;0,000320188613835946
2014;09;4,047048781654359e-06
2014;10;6,047825830844676e-06
2014;11;9,5120976099111e-05
2014;12;0,00043798028292075397
2015;01;0,0006472360456828336
2015;02;7,916710684892051e-06
2015;03;5,795627043131612e-06
2015;04;3,280562269977398e-06
2015;05;0,0007477595154206998
2015;06;1,6760505055336236e-05
2015;07;2,353855351988607e-06
2015;08;0,001789300948081507
2015;09;4,404742487103608e-06
2015;10;6,967609644857029e-06
2015;11;8,186075944709954e-06
2015;12;0,0001180933186152099
2016;01;0,0004587149793301829
2016;02;9,287702075975325e-06
2016;03;0,00043174948934196055
2016;04;6,816620043847116e-06
2016;05;3,0427041976440965e-05
2016;06;0,0028242166405652454
2016;07;4,603864144330657e-06
2016;08;3,09561649232115e-06
2016;09;4,977052415822407e-06
2016;10;0,0006558800355048421
2016;11;0,00036044794698120825
2016;12;9,34124529392117e-06
2017;01;0,0004585715721763853
2017;02;0,0004602039765145028
2017;03;0,0001483225576208955
2017;04;2,768038289169403e-05
2017;05;3,6643000332427675e-06
2017;06;3,587156874648182e-06
2017;07;3,862103003998114e-06
2017;08;2,744516219230413e-06
2017;09;4,828865023564861e-06
2017;10;5,607714220914033e-06
2017;11;2,2708440385949472e-05
2017;12;1,521599352535492e-05
