Ano;Mes;MDQI
2008;01;0,0010742176380030529
2008;02;0,0005075039346660007
2008;03;0,00040032848743747404
2008;04;0,00012617900955226151
2008;05;5,678923290385958e-05
2008;06;0,0002628691041346531
2008;07;9,506905281928773e-05
2008;08;0,00021156016737137928
2008;09;0,0005773329703253215
2008;10;0,0021129362786828647
2008;11;0,0024951588711922485
2008;12;0,003643055994183643
2009;01;0,0017497057384105554
2009;02;0,0015958632416370189
2009;03;0,00013461975682181897
2009;04;0,00018215807445506895
2009;05;5,803044654534936e-05
2009;06;6,647482020270399e-05
2009;07;8,280526863245633e-05
2009;08;0,000256021330122912
2009;09;0,00019302685319064832
2009;10;0,0005623637360059838
2009;11;0,001450310008024603
2009;12;0,001948700472064702
2010;01;0,00431566521594012
2010;02;0,0009635666185400736
2010;03;0,00019237327920811086
2010;04;0,00011339912444756764
2010;05;0,0007865338427630163
2010;06;0,00017360408498475407
2010;07;0,00019315460094259445
2010;08;2,8844618210398194e-05
2010;09;5,548340362525636e-05
2010;10;0,0005667648521052903
2010;11;0,0017918819471782462
2010;12;0,0022579753069892215
2011;01;0,0037879071096677823
2011;02;0,0012594249371437262
2011;03;0,0005453477354467553
2011;04;6,260661827377426e-05
2011;05;5,934089122660352e-07
2011;06;3,2749413688917664e-05
2011;07;0,00011398890697203648
2011;08;5,295680034547476e-05
2011;09;8,742034161179645e-05
2011;10;0,0005380735311972274
2011;11;0,0013441976153480443
2011;12;0,0024267605819347574
2012;01;0,002736515089063359
2012;02;0,000891740979912725
2012;03;0,00012131256196425312
2012;04;0,0001389742243871889
2012;05;0,000236602023469006
2012;06;4,194725182904122e-05
2012;07;3,181166277172837e-05
2012;08;4,262654019777687e-05
2012;09;0,00019180047477196512
2012;10;0,0006370491926889332
2012;11;0,002996400170548358
2012;12;0,004779750545926309
2013;01;0,004330985056025121
2013;02;0,00031562819570126334
2013;03;0,0004237087985807558
2013;04;0,0005073272022588255
2013;05;0,0007150181786864214
2013;06;7,3827980804725e-05
2013;07;0,00017511991508397585
2013;08;0,00013659284145510353
2013;09;0,0006105627155615567
2013;10;0,0003659256057488506
2013;11;0,0008583729146967965
2013;12;0,0029997018318018835
2014;01;0,006379561193098465
2014;02;0,0023983253452299048
2014;03;0,00016443855466318722
2014;04;0,00016297036211275565
2014;05;4,14990632644714e-05
2014;06;5,2075093603332806e-05
2014;07;0,0006127441526573703
2014;08;9,764049143910722e-05
2014;09;0,00029929254316954227
2014;10;0,0009869379225837943
2014;11;0,0025027215381074612
2014;12;0,005501484135469875
2015;01;0,004041213594017077
2015;02;0,00018849545793232948
2015;03;0,00019858923756409754
2015;04;0,00022424840376628988
2015;05;7,015082357838313e-05
2015;06;0,00012003689763869012
2015;07;2,1659425297710286e-06
2015;08;0,0003504574134357826
2015;09;0,00017475381475226952
2015;10;0,0009695955471228193
2015;11;0,0012777074654151067
2015;12;0,0027597964987212628
2016;01;0,0027045501289892954
2016;02;0,0009275808319759652
2016;03;0,00018388258668843764
2016;04;0,0001008696249366882
2016;05;0,0002340355299234554
2016;06;0,00040268135377460884
2016;07;0,0004667803954627322
2016;08;2,625834436777206e-05
2016;09;8,354191986271103e-05
2016;10;0,0002885005779209397
2016;11;0,002112779190156923
2016;12;0,0008983469170567442
2017;01;0,0011450764526284238
2017;02;0,00017639592085514318
2017;03;0,00016794461231982573
2017;04;0,00010800816931543965
2017;05;8,910529325101407e-05
2017;06;1,7322595163899343e-05
2017;07;0,00016550174563099724
2017;08;6,19469453663052e-05
2017;09;0,0002286735858937049
2017;10;0,0009494888751455385
2017;11;0,0015735252697317132
2017;12;0,004232182472132825
