Ano;Mes;MDQI
2008;01;0,00023711203038240874
2008;02;7,009386996438976e-06
2008;03;3,43682661687412e-06
2008;04;4,471171318115612e-06
2008;05;5,37035065600762e-06
2008;06;3,6791352560494172e-06
2008;07;2,373635649064141e-06
2008;08;2,457701911635162e-06
2008;09;3,3776505614564796e-06
2008;10;7,595634077005251e-06
2008;11;1,584583115140173e-05
2008;12;2,762318486598394e-05
2009;01;0,0004568160708109316
2009;02;6,805305242960457e-06
2009;03;4,153862385862246e-06
2009;04;2,800230722659834e-06
2009;05;3,0016600812123612e-06
2009;06;2,9228685645281487e-06
2009;07;0,00015855391628321575
2009;08;3,15001230927887e-06
2009;09;3,7097947165164965e-06
2009;10;3,936279118031368e-06
2009;11;0,0009848023098428724
2009;12;1,0478612375764404e-05
2010;01;0,0004575281615056509
2010;02;0,0023290513892852715
2010;03;4,124191940248946e-06
2010;04;3,30611182036663e-06
2010;05;3,4368266168741213e-06
2010;06;3,4594091227020223e-06
2010;07;2,1164917870821918e-06
2010;08;1,973084633284567e-06
2010;09;3,3112217304444767e-06
2010;10;4,781886818010468e-06
2010;11;0,000965946741655619
2010;12;8,297834623186725e-06
2011;01;0,00045649464098345425
2011;02;9,906290673059253e-05
2011;03;6,7055207086061975e-06
2011;04;3,7302343568278824e-06
2011;05;3,7236409244693706e-06
2011;06;3,285672180055245e-06
2011;07;2,457701911635163e-06
2011;08;2,5615484712817186e-06
2011;09;2,9637478451509204e-06
2011;10;4,361555505155359e-06
2011;11;0,0003063442190769703
2011;12;7,966514647171524e-06
2012;01;0,00045451661127590074
2012;02;5,999739246574841e-06
2012;03;2,9077036701035723e-06
2012;04;4,1645767134448274e-06
2012;05;2,655504882390508e-06
2012;06;2,381218096276429e-06
2012;07;2,383525797601908e-06
2012;08;2,9225388929102237e-06
2012;09;3,9755100405645105e-06
2012;10;6,037935682306909e-06
2012;11;1,0393557098339608e-05
2012;12;1,0681360420788634e-05
2013;01;0,0005389586994913576
2013;02;6,777930724686279e-06
2013;03;9,074211283401456e-06
2013;04;4,389412756870069e-06
2013;05;3,6247394390916987e-06
2013;06;2,8615496435939923e-06
2013;07;2,8483627788769696e-06
2013;08;2,882978298759155e-06
2013;09;3,520728043636179e-06
2013;10;0,0004345533464524176
2013;11;6,121672273260003e-06
2013;12;8,530253113824257e-06
2014;01;0,00045874464977579624
2014;02;6,799830339305621e-06
2014;03;4,707710703977214e-06
2014;04;3,980619950642357e-06
2014;05;3,095616492321151e-06
2014;06;1,5263301402527237e-05
2014;07;2,8533078531458534e-06
2014;08;2,5714386198194862e-06
2014;09;1,13286706425855e-05
2014;10;7,130797095730191e-06
2014;11;0,002501188565084107
2014;12;4,240895692994599e-05
2015;01;0,0004570435442273002
2015;02;8,031683661643595e-06
2015;03;5,157712462445623e-06
2015;04;3,6586956157380326e-06
2015;05;2,6456147338527404e-06
2015;06;2,6724829707136745e-06
2015;07;2,57638369408837e-06
2015;08;2,5120977285928823e-06
2015;09;3,1374847877976984e-06
2015;10;6,285189395751091e-06
2015;11;6,785960583380038e-06
2015;12;4,588534414097118e-05
2016;01;0,0005146932200539458
2016;02;8,917674104820932e-06
2016;03;0,0004441121750141697
2016;04;4,307654195624527e-06
2016;05;3,5901239192095134e-06
2016;06;2,63671360016875e-06
2016;07;4,979689788765812e-06
2016;08;2,274734163686468e-06
2016;09;3,0148469459293843e-06
2016;10;6,992335016201449e-06
2016;11;0,0003024504675976514
2016;12;0,00018098477316687178
2017;01;0,00045715728093548454
2017;02;0,00018787131891567828
2017;03;4,050015826215691e-06
2017;04;2,7338018916478317e-06
2017;05;3,862103003998111e-06
2017;06;3,0506163164743096e-06
2017;07;2,7445162192304127e-06
2017;08;3,1055066408589178e-06
2017;09;3,2090235288875473e-06
2017;10;4,811557263623769e-06
2017;11;5,9326056003796865e-06
2017;12;7,650029893962973e-06
