Ano;Mes;MDQI
2008;01;0,05787523868639576
2008;02;0,03731666541280046
2008;03;0,03541856532793221
2008;04;0,02621722145982364
2008;05;0,036171067169576764
2008;06;0,01760308323798241
2008;07;0,018071432705510666
2008;08;0,01656817463343846
2008;09;0,020087030966463866
2008;10;0,027633886006701802
2008;11;0,06731369370054374
2008;12;0,03790905802704434
2009;01;0,040639995072332395
2009;02;0,04192311115385916
2009;03;0,03910182972099614
2009;04;0,04215460176018007
2009;05;0,025064178162876424
2009;06;0,018588314780271824
2009;07;0,020433981498063965
2009;08;0,015449356525177808
2009;09;0,021328953731603813
2009;10;0,027508622330396713
2009;11;0,045621619538988
2009;12;0,039618194376152965
2010;01;0,06099545373608075
2010;02;0,045738889055325964
2010;03;0,03486669009445052
2010;04;0,03156837039244518
2010;05;0,028091562520435515
2010;06;0,025213267207008998
2010;07;0,01761425069920383
2010;08;0,018027283082438065
2010;09;0,02475230221888647
2010;10;0,03278687592322064
2010;11;0,07479639052303813
2010;12;0,03711270326678332
2011;01;0,07236924818136982
2011;02;0,031990310997303185
2011;03;0,047237480743386295
2011;04;0,024904230065321
2011;05;0,017435980771810577
2011;06;0,02651096975055872
2011;07;0,019848257231211773
2011;08;0,014674587014100463
2011;09;0,020761247831865153
2011;10;0,026223595330884614
2011;11;0,049711821511249775
2011;12;0,0662869749631681
2012;01;0,06002444389771704
2012;02;0,05478568593099946
2012;03;0,04244355761460536
2012;04;0,03483637250345123
2012;05;0,029705115529000906
2012;06;0,01849983157736383
2012;07;0,02123835716878911
2012;08;0,02333078127940465
2012;09;0,02491593175939927
2012;10;0,031972234278313284
2012;11;0,03780391701178999
2012;12;0,04673353811479289
2013;01;0,051517343621619686
2013;02;0,04100673820482377
2013;03;0,03166920507219037
2013;04;0,02850992569373162
2013;05;0,02321824622426766
2013;06;0,02942976571675482
2013;07;0,019710606143863132
2013;08;0,012109047867883756
2013;09;0,02182657721462481
2013;10;0,026991501078876743
2013;11;0,04428489772208385
2013;12;0,04378712934838678
2014;01;0,04933558674433676
2014;02;0,02714037306957087
2014;03;0,027520678421464252
2014;04;0,0375264795540234
2014;05;0,019840711047877456
2014;06;0,0205966627381678
2014;07;0,016975530071412014
2014;08;0,01362501478082699
2014;09;0,021394892011248338
2014;10;0,024093405688077607
2014;11;0,037398379218281874
2014;12;0,0611207075222373
2015;01;0,03514338183501737
2015;02;0,04041964238630114
2015;03;0,03635861405629844
2015;04;0,0264310967461319
2015;05;0,021905536698998355
2015;06;0,0191596844855363
2015;07;0,015362303437748377
2015;08;0,016659124439391763
2015;09;0,020213838494955703
2015;10;0,02800159183918745
2015;11;0,051919685908135255
2015;12;0,061370903554871466
2016;01;0,03527862961627134
2016;02;0,03436111456822959
2016;03;0,03531685504036981
2016;04;0,04330981957111911
2016;05;0,048480904833074275
2016;06;0,026882557301509628
2016;07;0,0211144632780565
2016;08;0,015053864320375305
2016;09;0,021469670435327548
2016;10;0,022602228432444294
2016;11;0,036401491971104885
2016;12;0,06170254496071416
2017;01;0,061404445993637306
2017;02;0,03242252179143052
2017;03;0,03659113144842135
2017;04;0,02418558253179284
2017;05;0,02104273003071208
2017;06;0,017186528478346452
2017;07;0,014612096110564582
2017;08;0,01764051893372014
2017;09;0,020379573318420573
2017;10;0,025921451293055824
2017;11;0,04140380778235217
2017;12;0,03931779100446683
