Ano;Mes;MDQI
2008;01;6,150462822327379e-05
2008;02;5,678229010870998e-06
2008;03;4,202937238769153e-06
2008;04;4,411790320554955e-06
2008;05;3,65954957465388e-06
2008;06;5,0878828631854555e-06
2008;07;5,278623022834081e-06
2008;08;0,0012104459247655158
2008;09;1,3602065222074628e-05
2008;10;6,675905587701927e-06
2008;11;9,717397900858706e-06
2008;12;1,2032155419695332e-05
2009;01;0,0004587855316757747
2009;02;0,00027146015951986103
2009;03;3,276960300940065e-05
2009;04;2,498104649041507e-06
2009;05;2,4951474372640092e-06
2009;06;4,228443190350074e-06
2009;07;2,9609082922199574e-06
2009;08;4,302743136259714e-06
2009;09;3,0481460396561506e-06
2009;10;0,0002953034715862369
2009;11;1,8357631411763736e-05
2009;12;0,002645089163927327
2010;01;0,00046043787375645175
2010;02;1,7274737423991155e-05
2010;03;4,868309888706222e-06
2010;04;4,709729407137887e-06
2010;05;4,358190857087803e-06
2010;06;4,537841472570811e-06
2010;07;4,923757609534312e-06
2010;08;1,10784546214522e-05
2010;09;6,348394383344013e-06
2010;10;5,2231753020059926e-06
2010;11;9,018386966952599e-06
2010;12;8,971441229984816e-06
2011;01;0,0004575102340967286
2011;02;1,2621485481068164e-05
2011;03;4,214026782934771e-06
2011;04;3,7356977779244555e-06
2011;05;2,672580143913894e-06
2011;06;3,67840179973543e-06
2011;07;4,103131341278592e-06
2011;08;3,437758691341524e-06
2011;09;3,2314931698610323e-06
2011;10;6,45411470438957e-05
2011;11;6,955731752147684e-06
2011;12;0,0012332903857466887
2012;01;0,00045568045930940174
2012;02;4,943259911342811e-06
2012;03;4,103131341278592e-06
2012;04;3,3919219087903033e-06
2012;05;4,491265387075216e-06
2012;06;4,010718473231777e-06
2012;07;4,6132503728970125e-06
2012;08;3,870250913800619e-06
2012;09;4,297198364176904e-06
2012;10;7,87357635758865e-06
2012;11;0,0017666985690673218
2012;12;0,00012629881850222133
2013;01;0,0007426889518597565
2013;02;1,0202776687517164e-05
2013;03;5,48932436198082e-06
2013;04;4,23990238598788e-06
2013;05;3,5153855005008486e-06
2013;06;4,755566189689108e-06
2013;07;0,0011696585813243735
2013;08;3,2714155288572563e-06
2013;09;4,446167907468371e-06
2013;10;5,212085757840375e-06
2013;11;1,0977909421017267e-05
2013;12;0,0001861047301873982
2014;01;0,0004591847552657369
2014;02;8,545285889906072e-06
2014;03;4,347101312922184e-06
2014;04;3,7929937561134814e-06
2014;05;5,877458407777445e-06
2014;06;4,297198364176905e-06
2014;07;4,857220344540604e-06
2014;08;3,958967267125562e-06
2014;09;3,987800081956167e-06
2014;10;7,008591912670461e-06
2014;11;1,019868411764652e-05
2014;12;0,0026320922181652232
2015;01;0,00046552797452847027
2015;02;7,096516155697859e-06
2015;03;0,0023603207592984275
2015;04;3,7127793866488457e-06
2015;05;4,313832680425332e-06
2015;06;4,320116755452515e-06
2015;07;3,260325984691639e-06
2015;08;4,258384959597243e-06
2015;09;5,695220231989124e-06
2015;10;0,0011532904141359217
2015;11;8,754825467283079e-06
2015;12;0,0077700443732584435
2016;01;0,0004592512925307306
2016;02;0,0019468264555873344
2016;03;0,0028742324150214885
2016;04;4,136769625247633e-06
2016;05;4,058773164616122e-06
2016;06;3,987800081956168e-06
2016;07;4,535623563737687e-06
2016;08;5,112279860349815e-06
2016;09;4,23990238598788e-06
2016;10;0,006171275880445488
2016;11;8,64023351090503e-06
2016;12;0,00046821164421654996
2017;01;0,0004591958448099025
2017;02;0,0031581092995105024
2017;03;0,0001883891762855155
2017;04;4,2513615816256845e-06
2017;05;3,925698634628708e-06
2017;06;3,4492178869793283e-06
2017;07;5,023563507024873e-06
2017;08;4,67978763789072e-06
2017;09;0,0026072076507090486
2017;10;2,699195049911377e-05
2017;11;1,1860267485128255e-05
2017;12;0,0028011744980583984
