Ano;Mes;MDQI
2008;01;0,07086040687248282
2008;02;0,05180754506949062
2008;03;0,03511413225780724
2008;04;0,026864342375097057
2008;05;0,019297015608489055
2008;06;0,016173210784111505
2008;07;0,01933782513101853
2008;08;0,020004439809902148
2008;09;0,029959138800194712
2008;10;0,033466414517047245
2008;11;0,03975648750901839
2008;12;0,0529731444952523
2009;01;0,06053881965908258
2009;02;0,05129725297542926
2009;03;0,03822196592067746
2009;04;0,026275213668161858
2009;05;0,018079328211383392
2009;06;0,017462840120385726
2009;07;0,013561148500618219
2009;08;0,016493146351198407
2009;09;0,021243160006123793
2009;10;0,03336677496271917
2009;11;0,06965925852587074
2009;12;0,0550476100745936
2010;01;0,06290236747573319
2010;02;0,046749834889361144
2010;03;0,040853359497560256
2010;04;0,034325103797394084
2010;05;0,015355481104791846
2010;06;0,01762491898348684
2010;07;0,016605150747271154
2010;08;0,015447147276864841
2010;09;0,020008064981889888
2010;10;0,07520053888087336
2010;11;0,05067063796550691
2010;12;0,05112961867315999
2011;01;0,057173497870230856
2011;02;0,05474059802464422
2011;03;0,04057636486339145
2011;04;0,024065353626193706
2011;05;0,02136222141845206
2011;06;0,015947476089242383
2011;07;0,017789746944586612
2011;08;0,017924163309418067
2011;09;0,02183358360216606
2011;10;0,03580119605613226
2011;11;0,06284983778362654
2011;12;0,0766993905807541
2012;01;0,050694930720956106
2012;02;0,06128673790461354
2012;03;0,043824536707677574
2012;04;0,024045128145892974
2012;05;0,020176172490850908
2012;06;0,01627660710635142
2012;07;0,01485944579426376
2012;08;0,017667517988793173
2012;09;0,019736321616534973
2012;10;0,02890740310466427
2012;11;0,04154720455214255
2012;12;0,08203294011584049
2013;01;0,0735835835356288
2013;02;0,04571335064392167
2013;03;0,03781466914256266
2013;04;0,024236622764196334
2013;05;0,019363087112627807
2013;06;0,019384180534585228
2013;07;0,01614966989975673
2013;08;0,019646546951045164
2013;09;0,021478405833372294
2013;10;0,03003647395434248
2013;11;0,03940546942824114
2013;12;0,09954509359087335
2014;01;0,07426867339509234
2014;02;0,04596878839239796
2014;03;0,05350328015408966
2014;04;0,022701881233229464
2014;05;0,019649962530648175
2014;06;0,01840331922477166
2014;07;0,019709757352789185
2014;08;0,01714556641355004
2014;09;0,016884448679763152
2014;10;0,024261560561464512
2014;11;0,06411650289184262
2014;12;0,05046692969291101
2015;01;0,06374003837337146
2015;02;0,04613373942103429
2015;03;0,03739120380905437
2015;04;0,030039868833463053
2015;05;0,01856428506729002
2015;06;0,017412373822796832
2015;07;0,015228893958141318
2015;08;0,015342284547234762
2015;09;0,0216034714945633
2015;10;0,03143823669505324
2015;11;0,04790399852588908
2015;12;0,09024719835974107
2016;01;0,07241492301327933
2016;02;0,038704101061191064
2016;03;0,0380326230435937
2016;04;0,025519353664696605
2016;05;0,021286113876843427
2016;06;0,018960774714963966
2016;07;0,01809383333515202
2016;08;0,017043209920901383
2016;09;0,020848299042836305
2016;10;0,03443841306316365
2016;11;0,04148448837441684
2016;12;0,26074816363802344
2017;01;0,18105516169930497
2017;02;0,057265300285275045
2017;03;0,030037727072833198
2017;04;0,02823898748380816
2017;05;0,018426796898724694
2017;06;0,01429484235355377
2017;07;0,015484252891643001
2017;08;0,017181174939865835
2017;09;0,021762410538059655
2017;10;0,04234855164786634
2017;11;0,05022841614664837
2017;12;0,06692763912742498
