Ano;Mes;MDQI
2008;01;4,0850088894562444e-05
2008;02;0,00014727832407319686
2008;03;4,2362058712660065e-06
2008;04;2,696348733575535e-05
2008;05;0,0002109231300300509
2008;06;3,4033811044281086e-06
2008;07;4,092041797112975e-06
2008;08;2,0781805766367796e-05
2008;09;5,03058688499643e-06
2008;10;3,8358733268872035e-05
2008;11;8,456886380700148e-06
2008;12;1,442749695946878e-05
2009;01;0,0004566452496518104
2009;02;0,0014608632781759685
2009;03;6,731353308530015e-06
2009;04;0,004048785921140566
2009;05;3,3834199249299956e-05
2009;06;3,357544321876888e-06
2009;07;5,48932436198082e-06
2009;08;7,795949548429327e-06
2009;09;5,030586884996429e-06
2009;10;8,58330718418819e-06
2009;11;1,0565378378056282e-05
2009;12;1,0124753823209068e-05
2010;01;0,0004594841729582087
2010;02;8,729451534085083e-06
2010;03;8,450232654200777e-06
2010;04;6,875517382683048e-06
2010;05;4,701966726221955e-06
2010;06;4,835780559153743e-05
2010;07;3,870250913800619e-06
2010;08;6,1214283794210365e-06
2010;09;5,597817069067779e-05
2010;10;1,0246738809030865e-05
2010;11;1,1608165181096545e-05
2010;12;1,235375220049825e-05
2011;01;0,000457266264125085
2011;02;4,34262588974106e-05
2011;03;0,0002641307629366852
2011;04;0,0014029149443495622
2011;05;0,0003564290390271223
2011;06;2,9679316701915153e-06
2011;07;3,1838081299488764e-05
2011;08;4,735235358718809e-06
2011;09;4,618055842035446e-06
2011;10;0,0004755861910866857
2011;11;5,25977079775253e-05
2011;12;1,3041303938766553e-05
2012;01;0,0004707844184629732
2012;02;3,5325934138612898e-06
2012;03;1,6623226704261107e-05
2012;04;0,0012251599016159297
2012;05;8,938172597487961e-06
2012;06;9,121519727692842e-05
2012;07;3,0274455572136645e-06
2012;08;9,359575275781438e-06
2012;09;5,6734477602772946e-05
2012;10;0,00023300241246379595
2012;11;0,000305112543052198
2012;12;1,4582750577787433e-05
2013;01;0,0004543940721861901
2013;02;1,1835712065904386e-05
2013;03;3,3235363864356596e-05
2013;04;6,701337608988409e-05
2013;05;4,347101312922185e-06
2013;06;4,205524799074463e-06
2013;07;3,6041018538257913e-06
2013;08;2,960908292219958e-06
2013;09;0,00011494719144282274
2013;10;0,001720054837352317
2013;11;7,666201881691598e-06
2013;12;8,672023537513133e-06
2014;01;0,0004584528453508061
2014;02;0,0001923671541997821
2014;03;0,0006013527114689574
2014;04;4,033636864507387e-06
2014;05;5,145548492846668e-06
2014;06;2,6012374097817524e-05
2014;07;4,025504532119268e-06
2014;08;3,1937887196979315e-06
2014;09;0,00011095939136086656
2014;10;1,4216795620322042e-05
2014;11;0,0005681698381136514
2014;12;8,99362031831605e-06
2015;01;0,0004549263703061397
2015;02;6,15113251557894e-06
2015;03;0,0004042693325575975
2015;04;0,0008971404264837595
2015;05;2,3642908161097188e-05
2015;06;3,1741971916720073e-06
2015;07;2,6947592322451296e-06
2015;08;0,00014018292779757483
2015;09;4,205524799074464e-06
2015;10;5,332961789245608e-05
2015;11;6,233802426965964e-06
2015;12;0,000601685397793926
2016;01;0,0004596505161206929
2016;02;8,250620859219656e-06
2016;03;5,54477208280891e-06
2016;04;6,738007035029387e-06
2016;05;0,0002001108244685735
2016;06;3,6325650171842096e-06
2016;07;2,8611023947293975e-06
2016;08;2,192402881542643e-05
2016;09;4,675351820224472e-06
2016;10;0,00011767115314137066
2016;11;1,108104218175751e-05
2016;12;7,31909914930776e-06
2017;01;0,0004553699520727644
2017;02;0,00016242182045627507
2017;03;0,00010067088193547856
2017;04;3,5523506477195734e-06
2017;05;4,036594076284886e-06
2017;06;0,00010929780799338485
2017;07;2,5361787506767947e-05
2017;08;0,00035209302725836575
2017;09;9,166210590680281e-05
2017;10;0,00011629604966483408
2017;11;7,482854751486716e-06
2017;12;0,0003258440762183484
