Ano;Mes;MDQI
2008;01;0,0003678785813080729
2008;02;0,0013685801679977736
2008;03;0,0023304602056225176
2008;04;6,664344723527294e-05
2008;05;4,242873722702153e-06
2008;06;5,549362344541205e-06
2008;07;5,543428255418546e-06
2008;08;0,00017615343560617254
2008;09;6,9699173461825085e-06
2008;10;7,630249596887436e-06
2008;11;1,1344000372819038e-05
2008;12;1,3702800799076529e-05
2009;01;0,000456544091726143
2009;02;5,3922326096474276e-05
2009;03;0,00038130478672507875
2009;04;4,282104645235295e-06
2009;05;9,697290641280793e-06
2009;06;0,0002793996632364862
2009;07;0,00023903500000929678
2009;08;5,410900265012464e-05
2009;09;0,00325829839176822
2009;10;7,2791493237966995e-06
2009;11;0,0016281042192731905
2009;12;0,003750077291510823
2010;01;0,0013054402660940508
2010;02;8,39850220651757e-06
2010;03;5,7263960033672395e-06
2010;04;0,0002846526507965123
2010;05;0,0002426053436314307
2010;06;8,651077761793978e-06
2010;07;4,5989190700617725e-06
2010;08;6,7351911542194995e-06
2010;09;1,9325679914415136e-05
2010;10;0,0004012087106573353
2010;11;1,1139603969705182e-05
2010;12;0,0021035554727947925
2011;01;0,00045757266717407077
2011;02;5,896471236257771e-06
2011;03;4,534633104566286e-06
2011;04;3,469628942857715e-06
2011;05;3,6544098847050007e-06
2011;06;5,51359297399628e-06
2011;07;4,401116099306429e-06
2011;08;4,707710703977213e-06
2011;09;7,363380422176683e-06
2011;10;5,825297488744913e-06
2011;11;0,0008505240928172242
2011;12;0,0006342305003556695
2012;01;0,0007408710269641449
2012;02;9,234840937238984e-06
2012;03;6,17639776183565e-06
2012;04;0,0035958794911510657
2012;05;3,5851788449406287e-06
2012;06;7,158984019062825e-06
2012;07;0,0005544021664330811
2012;08;8,874430282938555e-05
2012;09;4,910623584810404e-06
2012;10;7,452226923207626e-06
2012;11;0,0012428169994035713
2012;12;0,0017025198397368686
2013;01;0,001930749852468654
2013;02;1,6780579702070637e-05
2013;03;1,2313234929520232e-05
2013;04;3,806883007995578e-06
2013;05;5,311009764781016e-06
2013;06;0,00016290393328174366
2013;07;0,0022560615632471635
2013;08;6,42365147527983e-06
2013;09;0,0004336882881269808
2013;10;3,4303980203245726e-05
2013;11;0,001307559560089885
2013;12;0,00082071419610954
2014;01;0,004252625409160392
2014;02;0,0008968603924095585
2014;03;4,351665356617592e-06
2014;04;4,358753296402992e-06
2014;05;0,0027156073150545186
2014;06;1,7245946512731645e-05
2014;07;0,00010702624240144833
2014;08;0,002323744794765374
2014;09;7,133434468673595e-06
2014;10;7,541238260047532e-06
2014;11;0,001508649851383375
2014;12;0,004945613281978934
2015;01;0,004321604250137048
2015;02;0,00010952544761498305
2015;03;5,3011196162432475e-06
2015;04;5,840627218978452e-06
2015;05;0,0012538285259497124
2015;06;8,191185854787803e-06
2015;07;4,692875481170563e-06
2015;08;4,984634863034696e-06
2015;09;0,0034589134614244703
2015;10;0,001803829576283487
2015;11;9,325585892069704e-06
2015;12;0,00016333085802695732
2016;01;0,0005965144189068941
2016;02;0,002362586306909826
2016;03;0,0043582769209150884
2016;04;4,982162325900253e-06
2016;05;9,76157660677628e-06
2016;06;0,0029586634846234623
2016;07;5,019250382916882e-06
2016;08;5,177492759521157e-06
2016;09;6,45892633839787e-06
2016;10;0,0032509857807752045
2016;11;8,211625495099189e-06
2016;12;3,345837250326661e-05
2017;01;0,0004564847508349163
2017;02;0,003131913160844961
2017;03;0,0017034297334023428
2017;04;5,309196570882424e-06
2017;05;4,539578178835169e-06
2017;06;3,827322648306964e-06
2017;07;4,984634863034696e-06
2017;08;4,490127436146332e-06
2017;09;6,7501912128351136e-06
2017;10;7,1901379869567935e-06
2017;11;0,000770022569450832
2017;12;0,0031114605102786535
